Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed,Brake
1,0.6861249608909711,0.6861249608909711,0.5,0.00431862473487854,2.0,0.002082681516185403,0.0
2,0.6861491368282586,1.3722740977192296,0.5,0.0032573342323303223,2.0,0.0024856138043105602,0.0
3,0.6861267581945285,2.0584008559137583,0.5,0.0032570064067840576,2.0,0.002112636575475335,0.0
4,0.6860351385097019,2.74443599442346,0.5,0.0032570064067840576,2.0,0.000585641828365624,0.0
5,0.6860825387937948,3.430518533217255,0.5,0.0032559633255004883,2.0,0.0013756465632468462,0.0
6,0.6860561069475952,4.11657464016485,0.5,0.003256291151046753,2.0,0.0009351157932542264,0.0
7,0.6860082855252548,4.802582925690105,0.5,0.0032564103603363037,2.0,0.00013809208758175373,0.0
8,0.6860248202332295,5.488607745923335,0.5,0.0032559633255004883,2.0,0.00041367055382579565,0.0
9,0.6861135974889621,6.174721343412297,0.5,0.0032556653022766113,2.0,0.0018932914827018976,0.0
10,0.686014582061558,6.860735925473855,0.5,0.003255784511566162,2.0,0.0002430343593005091,0.0
11,0.686065735145472,7.546801660619327,0.5,0.003255188465118408,2.0,0.0010955857578665018,0.0
12,0.6860133126258151,8.232814973245143,0.5,0.0032549798488616943,2.0,0.00022187709691934288,0.0
13,0.6860131011958001,8.918828074440942,0.5,0.0032560229301452637,2.0,0.00021835326333530247,0.0
14,0.6860343159656039,9.604862390406545,0.5,0.003255397081375122,2.0,0.0005719327600672841,0.0
15,0.6860546186428982,10.290917009049444,0.5,0.0032550394535064697,2.0,0.0009103107149712741,0.0
16,0.6860171750067966,10.97693418405624,0.5,0.003255397081375122,2.0,0.00028625011327676475,0.0
17,0.6860394743913784,11.66297365844762,0.5,0.003255397081375122,2.0,0.0006579065229743719,0.0
18,0.6860169206614373,12.348990579109056,0.5,0.003255397081375122,2.0,0.00028201102395541966,0.0
19,0.686019769668579,13.035010348777636,0.5,0.0032549798488616943,2.0,0.0003294944763183594,0.0
20,0.6860031305314769,13.721013479309113,0.5,0.0032543838024139404,2.0,5.217552461544983e-05,0.0
21,0.6964915651679039,14.417505044477016,0.5,0.003254622220993042,2.0,0.174859419465065,0.0
22,0.7176590178012847,15.135164062278301,0.5,0.0039404332637786865,2.0,0.5276502966880798,0.0
23,0.7303321871757507,15.865496249454052,0.5,0.0032573342323303223,2.0,0.7388697862625122,0.0
24,0.7360786626338958,16.601574912087948,0.5,0.005181372165679932,2.0,0.8346443772315979,0.0
25,0.7458030400276183,17.347377952115565,0.5,0.0025556981563568115,2.0,0.9967173337936401,0.0
26,0.7509143147468567,18.098292266862423,0.5,0.005633831024169922,2.0,1.0819052457809448,0.0
27,0.7532969245910643,18.85158919145349,0.5,0.005643337965011597,2.0,1.1216154098510742,0.0
28,0.756562388896942,19.60815158035043,0.5,0.003716796636581421,2.0,1.1760398149490356,0.0
29,0.7598874912261963,20.368039071576625,0.5,0.0047953128814697266,2.0,1.2314581871032715,0.0
30,0.7631709585189819,21.131210030095605,0.5,0.004795372486114502,2.0,1.2861826419830322,0.0
31,0.7650796113014221,21.89628964139703,0.5,0.004793286323547363,2.0,1.3179935216903687,0.0
32,0.7666752753257751,22.662964916722803,0.5,0.006593137979507446,2.0,1.3445879220962524,0.0
33,0.7698843274116516,23.432849244134456,0.5,0.006355971097946167,2.0,1.3980721235275269,0.0
34,0.7730509219169616,24.205900166051418,0.5,0.006352931261062622,2.0,1.4508486986160278,0.0
35,0.7765639219284057,24.982464087979825,0.5,0.0056397318840026855,2.0,1.5093986988067627,0.0
36,0.7799791750907897,25.762443263070615,0.5,0.005636751651763916,2.0,1.5663195848464966,0.0
37,0.783087619304657,26.54553088237527,0.5,0.005635261535644531,2.0,1.6181269884109497,0.0
38,0.7862710080146789,27.33180189038995,0.5,0.00563386082649231,2.0,1.671183466911316,0.0
39,0.7879960689544677,28.119797959344417,0.5,0.004350513219833374,2.0,1.699934482574463,0.0
40,0.7902310714721679,28.910029030816585,0.5,0.004350721836090088,2.0,1.7371845245361328,0.0
41,0.7922510681152343,29.70228009893182,0.5,0.0043479204177856445,2.0,1.7708511352539062,0.0
42,0.79549636220932,30.49777646114114,0.5,0.004347056150436401,2.0,1.8249393701553345,0.0
43,0.798292046546936,31.296068507688076,0.5,0.004345715045928955,2.0,1.8715341091156006,0.0
44,0.8010604224205017,32.097128930108575,0.5,0.003270655870437622,2.0,1.9176737070083618,0.0
45,0.8044380030632018,32.90156693317178,0.5,0.0032706856727600098,2.0,1.9739667177200317,0.0
46,0.8065868673324584,33.708153800504235,0.5,0.005183547735214233,2.0,2.0097811222076416,0.0
47,0.8090708789825439,34.51722467948678,0.5,0.004108011722564697,2.0,2.0511813163757324,0.0
48,0.8116077337265014,35.328832413213284,0.5,0.005184203386306763,2.0,2.0934622287750244,0.0
49,0.8138071165084838,36.14263952972177,0.5,0.004108130931854248,2.0,2.1301186084747314,0.0
50,0.8151445446014404,36.95778407432321,0.5,0.004107356071472168,2.0,2.152409076690674,0.0
51,0.8163911352157592,37.77417520953897,0.5,0.004106193780899048,2.0,2.1731855869293213,0.0
52,0.8183318672180175,38.59250707675699,0.5,0.004103988409042358,2.0,2.205531120300293,0.0
53,0.8195809183120727,39.41208799506906,0.5,0.004787802696228027,2.0,2.226348638534546,0.0
54,0.8200776920318603,40.23216568710092,0.5,0.004787832498550415,2.0,2.234628200531006,0.0
55,0.8210692510604858,41.0532349381614,0.5,0.004073977470397949,2.0,2.2511541843414307,0.0
56,0.8241293439865112,41.877364282147916,0.5,0.004785865545272827,2.0,2.3021557331085205,0.0
57,0.8249930152893066,42.702357297437224,0.5,0.004783838987350464,2.0,2.3165502548217773,0.0
58,0.8262904748916625,43.52864777232889,0.5,0.004073113203048706,2.0,2.33817458152771,0.0
59,0.8274692163467406,44.35611698867563,0.5,0.0040705204010009766,2.0,2.3578202724456787,0.0
60,0.828821078300476,45.18493806697611,0.5,0.002784907817840576,2.0,2.3803513050079346,0.0
61,0.8311261615753174,46.01606422855143,0.5,0.002784907817840576,2.0,2.418769359588623,0.0
62,0.8340693244934081,46.850133553044834,0.5,0.0027850568294525146,2.0,2.4678220748901367,0.0
63,0.8365086469650268,47.686642200009864,0.5,0.002782851457595825,2.0,2.5084774494171143,0.0
64,0.8386370334625244,48.52527923347239,0.5,0.0040705204010009766,2.0,2.5439505577087402,0.0
65,0.8406027565002441,49.365881989972635,0.5,0.0040701329708099365,2.0,2.5767126083374023,0.0
66,0.8425303993225097,50.20841238929515,0.5,0.004069656133651733,2.0,2.608839988708496,0.0
67,0.8437930402755737,51.05220542957072,0.5,0.0040705204010009766,2.0,2.6298840045928955,0.0
68,0.8450812158584594,51.897286645429176,0.5,0.004070103168487549,2.0,2.651353597640991,0.0
69,0.8463498220443725,52.74363646747355,0.5,0.0040694475173950195,2.0,2.672497034072876,0.0
70,0.8481521091461182,53.59178857661967,0.5,0.004069000482559204,2.0,2.7025351524353027,0.0
71,0.8500142059326171,54.44180278255229,0.5,0.004071354866027832,2.0,2.733570098876953,0.0
