Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed,Brake
1,0.7840186550353344,0.7840186550353344,0.0,-0.3,2.0,0.001678953180089593,0.0
2,0.7840027120907261,1.5680213671260606,0.0,-0.3,2.0,0.00024408816534560174,0.0
3,0.784005556583508,2.352026923709569,0.0,-0.3,2.0,0.0005000925157219172,0.0
4,0.784008293151364,3.136035216860933,0.0,-0.3,2.0,0.0007463836227543652,0.0
5,0.78401948526155,3.9200547021224827,0.0,-0.3,2.0,0.0017536735394969583,0.0
6,0.7840026427375916,4.704057344860074,0.0,-0.3,2.0,0.0002378463832428679,0.0
7,0.7840102863310733,5.488067631191147,0.0,-0.3,2.0,0.0009257697965949774,0.0
8,0.7840072779651318,6.272074909156279,0.0,-0.3,2.0,0.0006550168618559837,0.0
9,0.784002598762674,7.056077507918953,0.0,-0.3,2.0,0.00023388864065054804,0.0
10,0.7840015944375062,7.8400791023564596,0.0,-0.3,2.0,0.00014349937555380166,0.0
11,0.784020254134304,8.624099356490763,0.0,-0.3,2.0,0.0018228720873594284,0.0
12,0.7840003017319614,9.408099658222724,0.0,-0.3,2.0,2.715587652346585e-05,0.0
13,0.7840034105511279,10.192103068773852,0.0,-0.3,2.0,0.000306949601508677,0.0
14,0.7840018043517938,10.976104873125646,0.0,-0.3,2.0,0.00016239166143350303,0.0
15,0.7840006081793092,11.760105481304954,0.0,-0.3,2.0,5.4736137826694176e-05,0.0
16,0.7840016520818462,12.5441071333868,0.0,-0.3,2.0,0.0001486873661633581,0.0
17,0.7840017306009088,13.32810886398771,0.0,-0.3,2.0,0.00015575408178847283,0.0
18,0.7840062153073183,14.112115079295029,0.0,-0.3,2.0,0.0005593776586465538,0.0
19,0.7840031613777133,14.896118240672742,0.0,-0.3,2.0,0.00028452399419620633,0.0
20,0.7840007384088854,15.680118979081627,0.0,-0.3,2.0,6.645679968642071e-05,0.0
21,0.7840013535817238,16.46412033266335,0.0,-0.3,2.0,0.00012182235514046624,0.0
22,0.7840065844855272,17.248126917148877,0.0,-0.3,2.0,0.0005926036974415183,0.0
23,0.7840001084073625,18.03212702555624,0.0,-0.3,2.0,9.756662620930001e-06,0.0
24,0.784001435014969,18.816128460571207,0.0,-0.3,2.0,0.00012915134720969945,0.0
25,0.7840041849875642,19.60013264555877,0.0,-0.3,2.0,0.00037664888077415526,0.0
26,0.7840040362676373,20.384136681826405,0.0,-0.3,2.0,0.00036326408735476434,0.0
27,0.7840034453602792,21.168140127186685,0.0,-0.3,2.0,0.0003100824251305312,0.0
28,0.7840005430645818,21.952140670251268,0.0,-0.3,2.0,4.887581235379912e-05,0.0
29,0.784001410166442,22.73614208041771,0.0,-0.3,2.0,0.00012691497977357358,0.0
30,0.7840001364285507,23.52014221684626,0.0,-0.3,2.0,1.2278569556656294e-05,0.0
