Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed
1,0.7500951964815613,0.7500951964815613,0.5,0.011898666620254517,0.0,0.0019039296312257648
2,0.7501522583886981,1.5002474548702596,0.5,0.01130542904138565,0.0,0.003045167773962021
3,0.7500872456992511,2.2503347005695105,0.5,0.011303499341011047,0.0,0.0017449139850214124
4,0.7500006780624062,3.0003353786319167,0.5,0.011306047439575195,0.0,1.356124812446069e-05
5,0.7500535137660336,3.7503888923979503,0.5,0.011306285858154297,0.0,0.0010702753206714988
6,0.7500697476847563,4.500458640082707,0.5,0.01130569726228714,0.0,0.0013949536951258779
7,0.7500293855671771,5.250488025649884,0.5,0.01130666583776474,0.0,0.0005877113435417414
8,0.75004618477833,6.0005342104282136,0.5,0.011307194828987122,0.0,0.000923695566598326
9,0.7500262258050497,6.750560436233263,0.5,0.011306822299957275,0.0,0.0005245161009952426
10,0.750028295753873,7.500588731987136,0.5,0.011306151747703552,0.0,0.0005659150774590671
11,0.7500234575272771,8.250612189514413,0.5,0.011306948959827423,0.0,0.00046915054554119706
12,0.7500080754769443,9.000620264991358,0.5,0.011307582259178162,0.0,0.00016150953888427466
13,0.7500007445827123,9.75062100957407,0.5,0.011307738721370697,0.0,1.4891654245730024e-05
14,0.7500149738785694,10.50063598345264,0.5,0.01130666583776474,0.0,0.00029947757138870656
15,0.7500031809806387,11.250639164433277,0.5,0.011308476328849792,0.0,6.361961277434602e-05
16,0.7500097856522189,12.000648950085496,0.5,0.011307962238788605,0.0,0.00019571304437704384
17,0.7500139257899718,12.750662875875468,0.5,0.011306822299957275,0.0,0.0002785157994367182
18,0.7500152380467625,13.50067811392223,0.5,0.011307738721370697,0.0,0.0003047609352506697
19,0.7500185370445251,14.250696650966756,0.5,0.011307582259178162,0.0,0.0003707408905029297
20,0.750018345832359,15.000714996799115,0.5,0.011307738721370697,0.0,0.0003669166471809149
21,0.7500398831354687,15.750754879934583,0.5,0.01130896806716919,0.0,0.0007976627093739808
22,0.7501193991862237,16.500874279120808,0.5,0.011308744549751282,0.0,0.002387983724474907
23,0.771718131005764,17.27259241012657,0.5,0.011307835578918457,0.0,0.43436262011528015
24,0.7789786577224731,18.051571067849043,0.5,0.01130896806716919,0.0,0.5795731544494629
25,0.7901520818471909,18.841723149696232,0.5,0.011299416422843933,0.0,0.8030416369438171
26,0.7959572285413742,19.637680378237608,0.5,0.011615797877311707,0.0,0.9191445708274841
27,0.7998924136161805,20.43757279185379,0.5,0.011714749038219452,0.0,0.9978482723236084
28,0.8039836049079895,21.24155639676178,0.5,0.011766158044338226,0.0,1.07967209815979
29,0.8052813529968261,22.046837749758605,0.5,0.01195158064365387,0.0,1.1056270599365234
30,0.8081318438053131,22.85496959356392,0.5,0.012129642069339752,0.0,1.1626368761062622
31,0.8094353258609772,23.664404919424896,0.5,0.01212901622056961,0.0,1.1887065172195435
32,0.8129168212413788,24.477321740666277,0.5,0.012328915297985077,0.0,1.2583364248275757
33,0.8069329309463501,25.284254671612626,0.5,0.012490205466747284,1.0,1.288658618927002
34,0.8093067276477814,26.09356139926041,0.5,0.012812286615371704,1.0,1.3361345529556274
35,0.8120077359676362,26.905569135228045,0.5,0.013282723724842072,1.0,1.3901547193527222
36,0.8153562831878662,27.720925418415913,0.5,0.012549169361591339,1.0,1.4571256637573242
37,0.8181110548973084,28.53903647331322,0.5,0.011774487793445587,1.0,1.512221097946167
38,0.8198466229438782,29.3588830962571,0.5,0.012556888163089752,1.0,1.5469324588775635
39,0.8224822092056275,30.181365305462727,0.5,0.01204625517129898,1.0,1.5996441841125488
40,0.8245540428161622,31.005919348278887,0.5,0.012045472860336304,1.0,1.6410808563232422
41,0.8279005455970765,31.833819893875962,0.5,0.012406319379806519,1.0,1.7080109119415283
42,0.8289590108394623,32.662778904715424,0.5,0.012410581111907959,1.0,1.7291802167892456
