Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake
30,0.791756055355072,22.3486129900135,0.5,0.01,2.0,1.1351211071014404,-1.0
31,0.795580414533615,23.144193404547114,0.5,0.01,2.0,1.2116082906723022,-1.0
32,0.7987178838253021,23.942911288372414,0.5,0.01,2.0,1.2743576765060425,-1.0
33,0.7991705095767975,24.74208179794921,0.5,0.01,2.0,1.2834101915359497,-1.0
34,0.7992457365989685,25.54132753454818,0.5,0.01,2.0,1.2849147319793701,-1.0
35,0.8024271047115326,26.343754639259714,0.5,0.01,2.0,1.3485420942306519,-1.0
36,0.803931120634079,27.147685759893793,0.5,0.01,2.0,1.3786224126815796,-1.0
37,0.806312016248703,27.953997776142497,0.5,0.01,2.0,1.42624032497406,-1.0
38,0.8085504508018494,28.762548226944347,0.5,0.01,2.0,1.4710090160369873,-1.0
39,0.8084962582588195,29.571044485203167,0.5,0.01,2.0,1.4699251651763916,-1.0
40,0.8110173797607422,30.38206186496391,0.5,0.01,2.0,1.5203475952148438,-1.0
41,0.8142844235897064,31.196346288553617,0.5,0.01,2.0,1.5856884717941284,-1.0
42,0.8171886181831359,32.01353490673675,0.5,0.01,2.0,1.6437723636627197,-1.0
43,0.8197978353500366,32.83333274208679,0.5,0.01,2.0,1.6959567070007324,-1.0
44,0.8221549904346466,33.655487732521436,0.5,0.01,2.0,1.7430998086929321,-1.0
45,0.8309082853794099,34.486396017900844,0.5,0.01,1.0,1.7681657075881958,-1.0
46,0.8324519741535187,35.318847992054366,0.5,0.01,1.0,1.7990394830703735,-1.0
47,0.83504230260849,36.15389029466286,0.5,0.01,1.0,1.8508460521697998,-1.0
48,0.8370665180683137,36.99095681273117,0.5,0.01,1.0,1.891330361366272,-1.0
49,0.839271901845932,37.8302287145771,0.5,0.01,1.0,1.9354380369186401,-1.0
50,0.840426265001297,38.6706549795784,0.5,0.01,1.0,1.95852530002594,-1.0
51,0.8427768874168396,39.51343186699524,0.5,0.01,1.0,2.005537748336792,-1.0
52,0.8449800777435303,40.35841194473877,0.5,0.01,1.0,2.0496015548706055,-1.0
53,0.8469390678405763,41.20535101257934,0.5,0.01,1.0,2.0887813568115234,-1.0
54,0.8479933428764344,42.05334435545578,0.5,0.01,1.0,2.1098668575286865,-1.0
55,0.8496490287780762,42.90299338423385,0.5,0.01,1.0,2.1429805755615234,-1.0
56,0.8520717668533325,43.75506515108719,0.5,0.01,1.0,2.1914353370666504,-1.0
57,0.8526980686187745,44.60776321970596,0.4,-0.04,1.0,2.2039613723754883,-1.0
58,0.8537446427345277,45.461507862440484,0.4,-0.04,1.0,2.2248928546905518,-1.0
59,0.8544815587997437,46.315989421240225,0.4,-0.04,1.0,2.239631175994873,-1.0
60,0.8481845235824584,47.164173944822686,0.5,0.01,2.0,2.26369047164917,-1.0
61,0.8490668153762817,48.01324076019897,0.5,0.01,2.0,2.2813363075256348,-1.0
62,0.8498833632469177,48.863124123445886,0.5,0.01,2.0,2.2976672649383545,-1.0
63,0.8507750606536865,49.713899184099574,0.5,0.01,2.0,2.3155012130737305,-1.0
64,0.8524141049385071,50.56631328903808,0.5,0.01,2.0,2.3482820987701416,-1.0
65,0.8541049695014954,51.42041825853957,0.5,0.01,2.0,2.3820993900299072,-1.0
66,0.8551179623603821,52.27553622089995,0.5,0.01,2.0,2.4023592472076416,-1.0
67,0.8559935426712036,53.13152976357115,0.5,0.01,2.0,2.4198708534240723,-1.0
68,0.8650124955177307,53.99654225908888,0.5,0.01,1.0,2.4502499103546143,-1.0
69,0.8666398215293885,54.86318208061827,0.5,0.01,1.0,2.4827964305877686,-1.0
70,0.8681694555282593,55.73135153614653,0.5,0.01,1.0,2.5133891105651855,-1.0
71,0.8691459822654725,56.600497518412006,0.5,0.01,1.0,2.5329196453094482,-1.0
72,0.8707100558280945,57.4712075742401,0.5,0.01,1.0,2.5642011165618896,-1.0
73,0.8717296767234803,58.34293725096358,0.5,0.01,1.0,2.5845935344696045,-1.0
74,0.8727481293678284,59.21568538033141,0.5,0.01,1.0,2.6049625873565674,-1.0
