Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance,Mean veal
54,-20.96156655156612,151,False,140.0,-1.0,10,2.0798561203278854
55,-12.557804833752787,234,False,142.0,-1.0,10,1.5551471057692223
56,-25.337634921993534,161,False,135.0,-1.0,10,1.6470306545918263
57,-26.017205155244902,151,False,143.0,-1.0,10,1.620828389338162
58,-21.3632444758841,157,False,140.0,-1.0,10,2.4124100020345876
59,-18.979829605536796,179,False,149.0,-1.0,10,1.881313779864814
60,-20.75269397804567,211,False,133.0,-1.0,10,1.5661442426697603
61,-23.278441520256656,175,False,124.0,-1.0,10,2.463938130291977
62,-23.565708236157896,189,False,147.0,-1.0,10,1.4201133887150459
63,-18.85460270636423,212,False,134.0,-1.0,10,1.4645811764321308
64,-12.866298752742157,224,False,124.0,-1.0,10,1.9155797061028872
65,-24.291580642240383,138,False,138.0,-1.0,10,2.4968653347181236
66,-15.134431477086885,214,False,139.0,-1.0,10,2.273712192167975
67,-21.390404159350048,133,False,144.0,-1.0,10,2.4271176472819724
68,-26.091393170433392,159,False,131.0,-1.0,10,1.9758394862197153
69,-20.157517913409645,170,False,124.0,-1.0,10,2.2349453535281474
70,-11.53169669199843,268,False,138.0,-1.0,10,1.7013592212953963
71,-26.769016049189226,115,False,153.0,-1.0,10,2.3075780807467905
72,-20.482461253753733,154,False,151.0,-1.0,10,1.6688604546872632
73,-23.73764553143297,143,False,149.0,-1.0,10,1.9116591657479327
74,-8.127051103170427,269,False,136.0,-1.0,10,1.9095641704020856
75,-17.036832556835254,394,False,-124.0,-1.0,10,2.648572012455676
76,-25.658363583428518,124,False,138.0,-1.0,10,2.5009560443295706
77,-14.29252604833669,226,False,143.0,-1.0,10,3.5253140160160252
78,-16.28056976180843,295,False,-140.0,-1.0,10,1.7941133288016455
79,-19.421013263928042,156,False,151.0,-1.0,10,1.9795986737769384
80,-25.135454926895243,119,False,142.0,-1.0,10,3.8308425605130294
81,-25.901683886008605,99,False,-155.0,-1.0,10,3.0329887059075062
82,-24.007014681501055,135,False,141.0,-1.0,10,2.096291344102334
83,17.093029912439818,899,False,127.0,-1.0,10,2.3135630413841324
84,2.074784271077398,455,False,-134.0,-1.0,10,2.4274031608132645
85,-26.28206824633054,128,False,-147.0,-1.0,10,2.1720919423642044
86,-22.791613513435642,137,False,142.0,-1.0,10,2.573258294057726
87,-18.05940628612692,152,False,-150.0,-1.0,10,2.5277123716544962
88,-12.50841850076829,217,False,147.0,-1.0,10,2.4475524854120176
89,-24.39765208278277,112,False,-182.0,-1.0,10,3.541423158420782
90,-21.067766055315722,152,False,-140.0,-1.0,10,3.11298775345686
91,-11.447895586327768,281,False,-146.0,-1.0,10,1.4819669089846816
92,-22.92676072386971,125,False,-151.0,-1.0,10,3.087149907052517
93,-23.731148510092076,137,False,-142.0,-1.0,10,2.6224125653824406
94,-19.770921448907682,159,False,135.0,-1.0,10,3.12395797677795
95,-22.056766740690385,173,False,-170.0,-1.0,10,7.641609813533508
96,-19.245568210531562,259,False,157.0,-1.0,10,4.259408619881055
97,-11.61806886251485,429,False,147.0,-1.0,10,3.2921954689386363
98,-19.00551905325907,162,False,142.0,-1.0,10,2.2605543477089936
99,-19.015495770127643,198,False,-180.0,-1.0,10,4.230050512311999
100,-22.8163091114983,145,False,130.0,-1.0,10,2.534908061666848
101,-10.893122477704914,293,False,-148.0,-1.0,10,6.35363427103726
102,-20.896240130051442,152,False,-137.0,-1.0,10,4.2385863732013505
103,-27.36301923246682,98,False,147.0,-1.0,10,2.4108810698333176
104,-26.64281475558025,107,False,135.0,-1.0,10,2.776428482168578
105,-20.735483422597337,194,False,135.0,-1.0,10,5.746173118925221
106,-25.150672500097322,138,False,-148.0,-1.0,10,2.435043950598903
107,-21.03776214404192,185,False,162.0,-1.0,10,4.888011554205897
108,-26.971443062590698,86,False,-140.0,-1.0,10,3.7206323799822036
109,-25.140216087611662,119,False,-146.0,-1.0,10,2.286818401465396
110,-27.25091356103335,87,False,-158.0,-1.0,10,2.789162235313106
111,-25.87095271182273,155,False,121.0,-1.0,10,4.069040050051145
112,-15.033412103491163,275,False,-184.0,-1.0,10,4.131926629167388
113,-24.4447738553243,184,False,118.0,-1.0,10,7.090850089795624
114,-25.56316573070628,114,False,-153.0,-1.0,10,1.947558215758028
115,-24.120657706247904,119,False,-146.0,-1.0,10,3.0887523788778783
116,-28.83380553305149,77,False,-145.0,-1.0,10,3.2604925440648547
117,-21.36664393995489,152,False,-160.0,-1.0,10,4.953204410567292
118,-26.279066530440534,92,False,-147.0,-1.0,10,2.117347756603166
119,-24.91513450915472,148,False,-184.0,-1.0,10,2.910640979402799
