X,Y
134.0962371826172,-28.991859436035156
134.0962371826172,-28.991859436035156
134.0962371826172,-28.991859436035156
134.0961456298828,-28.99266242980957
134.0953369140625,-28.9993839263916
134.0938262939453,-29.011825561523438
134.09146118164062,-29.031309127807617
134.08993530273438,-29.043758392333984
134.0862579345703,-29.07354736328125
134.0814208984375,-29.112491607666016
134.076416015625,-29.1524715423584
134.06947326660156,-29.207490921020508
134.06346130371094,-29.254911422729492
134.05386352539062,-29.32996368408203
134.04429626464844,-29.40445327758789
134.0338897705078,-29.48528480529785
134.02529907226562,-29.552099227905273
134.01429748535156,-29.638093948364258
134.00823974609375,-29.68568229675293
133.9957275390625,-29.78472328186035
133.9834442138672,-29.882930755615234
133.9716033935547,-29.979082107543945
133.95797729492188,-30.091562271118164
133.94488525390625,-30.201799392700195
133.93865966796875,-30.25494384765625
133.92620849609375,-30.363643646240234
133.91273498535156,-30.48236656188965
133.90003967285156,-30.596899032592773
133.88409423828125,-30.743637084960938
133.87277221679688,-30.84858512878418
133.86630249023438,-30.90931510925293
133.85311889648438,-31.03234100341797
133.8405303955078,-31.149499893188477
133.82591247558594,-31.284244537353516
133.8108367919922,-31.420927047729492
133.79246520996094,-31.583982467651367
133.78201293945312,-31.67462158203125
133.77523803710938,-31.732633590698242
133.7543182373047,-31.908172607421875
133.7356719970703,-32.060302734375
133.71971130371094,-32.18815231323242
133.70008850097656,-32.342750549316406
133.67788696289062,-32.51597595214844
133.6588134765625,-32.66433334350586
133.64195251464844,-32.796058654785156
133.63304138183594,-32.86659622192383
133.6120147705078,-33.03487777709961
133.59571838378906,-33.168487548828125
133.5787353515625,-33.311676025390625
133.56321716308594,-33.44650650024414
133.546142578125,-33.5999641418457
133.5286865234375,-33.76315689086914
133.5081329345703,-33.96349334716797
133.49630737304688,-34.08230972290039
133.48199462890625,-34.22891616821289
133.47491455078125,-34.302364349365234
133.46075439453125,-34.449527740478516
133.44570922851562,-34.60624694824219
133.43154907226562,-34.75406265258789
133.4144744873047,-34.92995071411133
133.39712524414062,-35.106197357177734
133.3832550048828,-35.24557113647461
133.37767028808594,-35.3013801574707
133.3599853515625,-35.478294372558594
133.3441619873047,-35.6368293762207
133.3284912109375,-35.795597076416016
133.31231689453125,-35.96394348144531
133.29763793945312,-36.123165130615234
133.28298950195312,-36.29198455810547
133.2760467529297,-36.37647247314453
133.264404296875,-36.526798248291016
133.2530975341797,-36.68667984008789
133.24351501464844,-36.837303161621094
133.23336791992188,-37.01633071899414
133.22621154785156,-37.157779693603516
133.218505859375,-37.32765197753906
133.21231079101562,-37.47875213623047
133.21011352539062,-37.53544616699219
133.2037353515625,-37.70558166503906
133.1970672607422,-37.88528060913086
133.18963623046875,-38.08399200439453
133.18405151367188,-38.2259635925293
133.17727661132812,-38.38692092895508
133.17044067382812,-38.53841018676758
133.16314697265625,-38.68995666503906
133.1559295654297,-38.832035064697266
133.14739990234375,-38.993106842041016
133.13961791992188,-39.13525390625
133.13131713867188,-39.28692626953125
133.12303161621094,-39.43864822387695
133.1150665283203,-39.59041976928711
133.1075897216797,-39.74223709106445
133.10079956054688,-39.89409255981445
133.0955810546875,-40.0269660949707
133.09039306640625,-40.18831253051758
133.087158203125,-40.32118606567383
133.084716796875,-40.47304153442383
133.0836181640625,-40.634342193603516
133.08396911621094,-40.77662658691406
133.08587646484375,-40.93782043457031
133.08889770507812,-41.079994201660156
133.09373474121094,-41.241058349609375
133.09922790527344,-41.383121490478516
133.10482788085938,-41.50620651245117
133.11428833007812,-41.686038970947266
133.12326049804688,-41.83744812011719
133.13304138183594,-41.98881530761719
133.142822265625,-42.13072204589844
133.15451049804688,-42.29154968261719
133.16090393066406,-42.37669372558594
133.17860412597656,-42.60380554199219
133.18777465820312,-42.717376708984375
133.2026824951172,-42.89719772338867
133.2147216796875,-43.039207458496094
133.23028564453125,-43.21910095214844
133.23777770996094,-43.30431365966797
133.25466918945312,-43.49371337890625
133.2675323486328,-43.63579177856445
133.28231811523438,-43.79681396484375
133.29466247558594,-43.929439544677734
133.30970764160156,-44.09052658081055
133.32411193847656,-44.24213790893555
133.3358154296875,-44.36532211303711
133.35476684570312,-44.56437683105469
133.36849975585938,-44.70656967163086
133.38040161132812,-44.829803466796875
133.39688110351562,-45.00046920776367
133.41244506835938,-45.161685943603516
133.42330932617188,-45.27548599243164
133.44117736816406,-45.46522521972656
133.4542236328125,-45.6075439453125
133.46766662597656,-45.7593994140625
133.4773712158203,-45.873321533203125
133.4919891357422,-46.053733825683594
133.50357055664062,-46.205711364746094
133.51451110839844,-46.35773468017578
133.52484130859375,-46.50978088378906
133.53468322753906,-46.66188049316406
133.5447235107422,-46.823486328125
133.5534210205078,-46.96613693237305
133.5632781982422,-47.1278076171875
133.571533203125,-47.26093292236328
133.5819549560547,-47.42253875732422
133.59173583984375,-47.5650749206543
133.60289001464844,-47.7170295715332
133.61497497558594,-47.86888122558594
133.62892150878906,-48.03008270263672
133.641357421875,-48.16270065307617
133.6577911376953,-48.32353973388672
133.67359924316406,-48.46525192260742
133.68954467773438,-48.59729766845703
133.7106475830078,-48.75731658935547
133.73666381835938,-48.93564987182617
133.75917053222656,-49.07599639892578
133.77520751953125,-49.169307708740234
133.81532287597656,-49.38308334350586
133.83810424804688,-49.494117736816406
133.8746337890625,-49.65998840332031
133.9071807861328,-49.797584533691406
133.9463653564453,-49.95283508300781
133.9853057861328,-50.09830093383789
134.0262451171875,-50.243160247802734
134.06626892089844,-50.378448486328125
134.11351013183594,-50.53118896484375
134.15676879882812,-50.66546630859375
