Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed
1,0.7911746001867577,0.7911746001867577,0.1,0.005610700696706772,-1.0,0.0022416876163333654
2,0.7916558432155288,1.5828304434022864,0.1,0.004124600440263748,-1.0,0.001535501447506249
3,0.7916531532028068,2.374483596605093,0.1,0.004124300554394722,-1.0,0.0013960027135908604
4,0.7916623627940813,3.1661459593991745,0.1,0.004124470055103302,-1.0,0.0018593072891235352
5,0.7916576643881077,3.9578036237872825,0.1,0.004124489612877369,-1.0,0.0016247129533439875
6,0.7916408362743289,4.7494444600616115,0.1,0.004124320112168789,-1.0,0.0007804822525940835
7,0.7916304067110176,5.541074866772629,0.1,0.004124527797102928,-1.0,0.0002624655026011169
8,0.7916262084464638,6.332701075219092,0.1,0.004124615341424942,-1.0,5.40113469469361e-05
9,0.7916394187412223,7.1243404939603145,0.1,0.004124527797102928,-1.0,0.0007130670128390193
10,0.7916496999665783,7.915990193926893,0.1,0.004124489612877369,-1.0,0.0012264918768778443
11,0.7916415480930978,8.707631742019991,0.1,0.004124506376683712,-1.0,0.0008191775996237993
12,0.7916356220685411,9.499267364088533,0.1,0.004124527797102928,-1.0,0.0005232333787716925
13,0.7916334265646291,10.290900790653163,0.1,0.004124712198972702,-1.0,0.00041653154767118394
14,0.7916302894097752,11.082531080062939,0.1,0.004124659113585949,-1.0,0.0002587890485301614
15,0.7916307600385043,11.874161840101443,0.1,0.004124633967876434,-1.0,0.00028190138982608914
16,0.7916276384712739,12.665789478572718,0.1,0.004124725237488747,-1.0,0.00012734418851323426
17,0.7916256815451997,13.457415160117918,0.1,0.004124432802200317,-1.0,2.462396332703065e-05
18,0.7916261104088287,14.249041270526746,0.1,0.004124615341424942,-1.0,4.910946518066339e-05
19,0.7916271606803347,15.04066843120708,0.1,0.004124633967876434,-1.0,0.00010193348134635016
20,0.7916274584940596,15.83229588970114,0.1,0.004124579951167107,-1.0,0.00011592388909775764
21,0.7916284311751174,16.623924320876256,0.1,0.004124615341424942,-1.0,0.00016514777962584049
22,0.7916281171808757,17.41555243805713,0.1,0.0041247885674238205,-1.0,0.00015233516751322895
23,0.7916505094876823,18.20720294754481,0.1,0.004124725237488747,-1.0,0.0012708950089290738
24,0.7916345911916578,18.99883753873647,0.1,0.004124712198972702,-1.0,0.00047476289910264313
25,0.7916252824353445,19.790462821171815,0.1,0.004124725237488747,-1.0,9.542392035655212e-06
26,0.7916315112283531,20.582094332400168,0.1,0.004124937579035759,-1.0,0.00032452106825076044
27,0.7916255788734827,21.37371991127365,0.1,0.004124803468585014,-1.0,2.5668150556157343e-05
28,0.7916267572541449,22.165346668527796,0.1,0.004124674946069717,-1.0,8.244514174293727e-05
29,0.7916301264261905,22.956976794953988,0.1,0.004124750383198261,-1.0,0.0002521610294934362
30,0.7916252980581533,23.748602093012142,0.1,0.004124725237488747,-1.0,1.0323532478651032e-05
31,0.7916254530123672,24.54022754602451,0.1,0.004124579951167107,-1.0,1.5649804481654428e-05
32,0.7916443481908645,25.331871894215375,0.1,0.004124659113585949,-1.0,0.0009617281029932201
33,0.791638746064389,26.123510640279765,0.1,0.004124712198972702,-1.0,0.0006825065356679261
34,0.7916348791294343,26.9151455194092,0.1,0.004124579951167107,-1.0,0.00048695565783418715
35,0.7916315033421851,27.706777022751385,0.1,0.004124659113585949,-1.0,0.00031948566902428865
36,0.7916303669501407,28.498407389701526,0.1,0.0041246917098760605,-1.0,0.0002632093382999301
37,0.7916279571991569,29.290035346900684,0.1,0.004124615341424942,-1.0,0.0001414489815942943
38,0.7916269115019725,30.081662258402655,0.1,0.0041246917098760605,-1.0,9.04369298950769e-05
39,0.7916380801741809,30.873300338576836,0.1,0.004124823026359081,-1.0,0.0006510591483674943
40,0.7916279897698355,31.664928328346672,0.1,0.0041247885674238205,-1.0,0.00014596461551263928
41,0.7916437137176593,32.45657204206433,0.1,0.0041246917098760605,-1.0,0.0009305477142333984
42,0.7916282060017886,33.24820024806612,0.1,0.004124725237488747,-1.0,0.00015572071424685419
43,0.7916274296248544,34.03982767769097,0.1,0.004124841652810574,-1.0,0.00011884212290169671
44,0.7916444576705495,34.83147213536152,0.1,0.004124841652810574,-1.0,0.0009702444076538086
45,0.7916271627959407,35.62309929815746,0.1,0.0041246917098760605,-1.0,0.00010300162830390036
46,0.7916354162563414,36.414734714413804,0.1,0.004124725237488747,-1.0,0.0005162334418855608
47,0.7916447877359265,37.20637950214973,0.1,0.004124841652810574,-1.0,0.0009867476765066385
48,0.7916277102817743,37.9980072124315,0.1,0.004124725237488747,-1.0,0.00013093471352476627
49,0.7916255890362129,38.78963280146772,0.1,0.004124750383198261,-1.0,2.5291530619142577e-05
50,0.7916319237099572,39.581264725177675,0.1,0.004124725237488747,-1.0,0.0003416061226744205
51,0.7916339560170502,40.37289868119473,0.1,0.0041247643530368805,-1.0,0.00044387340312823653
52,0.7916275278442675,41.164526209038996,0.1,0.004124725237488747,-1.0,0.00012181283818790689
53,0.7916297307156686,41.956155939754666,0.1,0.004124674946069717,-1.0,0.0002311182179255411
54,0.7916552949467053,42.74781123470137,0.1,0.0041246917098760605,-1.0,0.001509609166532755
55,0.7916343273778523,43.53944556207922,0.1,0.0041247643530368805,-1.0,0.00046244144323281944
56,0.7916361180439901,44.33108168012321,0.1,0.004124674946069717,-1.0,0.0005504846340045333
57,0.7916295790841298,45.12271125920734,0.1,0.004124579951167107,-1.0,0.0002219533926108852
58,0.7916365988233591,45.9143478580307,0.1,0.004124659113585949,-1.0,0.0005742597277276218
59,0.7916349344598905,46.705982792490595,0.1,0.004124725237488747,-1.0,0.0004921436193399131
60,0.7916286740929548,47.49761146658355,0.1,0.0041247643530368805,-1.0,0.00017977719835471362
61,0.7916413592468792,48.28925282583043,0.1,0.004124674946069717,-1.0,0.0008125447784550488
62,0.7916272913507613,49.080880117181195,0.1,0.0041246917098760605,-1.0,0.00010942936933133751
63,0.7916289558963229,49.87250907307752,0.1,0.004124823026359081,-1.0,0.00019484525546431541
64,0.7916280245463907,50.66413709762391,0.1,0.0041247643530368805,-1.0,0.00014729987015016377
65,0.7916279004111808,51.455764998035086,0.1,0.0041247885674238205,-1.0,0.0001414966827724129
66,0.7916301324064455,52.24739513044153,0.1,0.004124937579035759,-1.0,0.00025557997287251055
67,0.7916305062637742,53.039025636705304,0.1,0.004124725237488747,-1.0,0.00027073381352238357
68,0.7916397043763038,53.830665341081605,0.1,0.004124823026359081,-1.0,0.0007322692545130849
69,0.7916345119718073,54.62229985305341,0.1,0.004124878905713558,-1.0,0.00047358035226352513
70,0.7916336385842878,55.4139334916377,0.1,0.004124857485294342,-1.0,0.00042955396929755807
71,0.7916494244712715,56.20558291610897,0.1,0.004124674946069717,-1.0,0.0012158059980720282
72,0.7916302227639438,56.997213138872915,0.1,0.0041247643530368805,-1.0,0.0002572107478044927
73,0.7916266229063039,57.78883976177922,0.1,0.004124896600842476,-1.0,7.942199590615928e-05
74,0.791630164573163,58.580469926352386,0.1,0.004124750383198261,-1.0,0.0002540683781262487
75,0.791636684717688,59.37210661107007,0.1,0.004124674946069717,-1.0,0.0005788183188997209
76,0.791630570405512,60.16373718147558,0.1,0.004124712198972702,-1.0,0.0002737235918175429
77,0.7916282221456834,60.955365403621265,0.1,0.0041247643530368805,-1.0,0.00015717983478680253
78,0.7916405561022305,61.747005959723495,0.1,0.0041246917098760605,-1.0,0.0007726669427938759
79,0.791633849370526,62.53863980909402,0.1,0.004124633967876434,-1.0,0.0004363679909147322
80,0.7916256702897784,63.3302654793838,0.1,0.004124750383198261,-1.0,2.935420889116358e-05
81,0.791633133932987,64.12189861331679,0.1,0.004124841652810574,-1.0,0.00040405752952210605
82,0.7916400472136059,64.91353866053039,0.1,0.004124750383198261,-1.0,0.0007482004002667964
83,0.7916310285149374,65.70516968904533,0.1,0.004124600440263748,-1.0,0.00029476641793735325
84,0.7916250832056005,66.49679477225094,0.1,0.004124750383198261,-1.0,0.0
85,0.7916401420703623,67.2884349143213,0.1,0.004124857485294342,-1.0,0.0007547282730229199
86,0.7916287580430507,68.08006367236435,0.1,0.004124712198972702,-1.0,0.00018310546875
87,0.7916254616240936,68.87168913398844,0.1,0.004124615341424942,-1.0,1.6670228433213197e-05
88,0.7916291925891418,69.66331832657758,0.1,0.004124659113585949,-1.0,0.00020394801686052233
89,0.7916352702672592,70.45495359684485,0.1,0.004124600440263748,-1.0,0.0005068540340289474
90,0.791627916285477,71.24658151313032,0.1,0.004124527797102928,-1.0,0.0001379442255711183
91,0.7916288370269661,72.03821035015729,0.1,0.004124674946069717,-1.0,0.00018643378280103207
92,0.791625893654583,72.82983624381187,0.1,0.0041247643530368805,-1.0,4.075527976965532e-05
93,0.7916251631182812,73.62146140693015,0.1,0.004124633967876434,-1.0,2.055378672594088e-06
94,0.7916310596048133,74.41309246653496,0.1,0.004124600440263748,-1.0,0.0002963209117297083
95,0.7916267504632997,75.20471921699826,0.1,0.004124712198972702,-1.0,8.27264811960049e-05
96,0.7916380196366615,75.99635723663492,0.1,0.004124917089939117,-1.0,0.0006495999987237155
97,0.7916370146231881,76.78799425125811,0.1,0.004124841652810574,-1.0,0.0005980920395813882
98,0.7916307556498408,77.57962500690795,0.1,0.004124725237488747,-1.0,0.00028320311685092747
99,0.7916267234299642,78.37125173033792,0.1,0.004124750383198261,-1.0,8.20112181827426e-05
100,0.7916335720447822,79.1628853023827,0.1,0.004124896600842476,-1.0,0.00042687891982495785
101,0.791632398545742,79.95451770092845,0.1,0.004124633967876434,-1.0,0.0003638267517089844
102,0.791629951395463,80.74614765232391,0.1,0.004124674946069717,-1.0,0.00024215220764745027
103,0.791635038655096,81.53778269097901,0.1,0.004124803468585014,-1.0,0.0004986572312191129
104,0.7916268539776695,82.32940954495669,0.1,0.004124725237488747,-1.0,8.811950829112902e-05
105,0.7916330493427037,83.1210425942994,0.1,0.004124615341424942,-1.0,0.00039605615893378854
106,0.7916272533957284,83.91266984769513,0.1,0.004124823026359081,-1.0,0.0001097202257369645
107,0.7916340592908284,84.70430390698596,0.1,0.0041246917098760605,-1.0,0.0004478263726923615
108,0.7916351736600045,85.49593908064595,0.1,0.004124600440263748,-1.0,0.0005020236712880433
109,0.7916293889496786,86.28756846959563,0.1,0.004124750383198261,-1.0,0.00021528720390051603
110,0.7916301672524617,87.07919863684809,0.1,0.004124823026359081,-1.0,0.0002554130624048412
111,0.7916389361038648,87.87083757295196,0.1,0.0041247643530368805,-1.0,0.000692877743858844
112,0.791641885803081,88.66247945875504,0.1,0.004124659113585949,-1.0,0.0008386087138205767
113,0.7916256389799139,89.45410509773495,0.1,0.004124674946069717,-1.0,2.6531430194154382e-05
114,0.7916303276502683,90.24573542538522,0.1,0.004124841652810574,-1.0,0.00026374339358881116
115,0.791628229292129,91.03736365467735,0.1,0.004124823026359081,-1.0,0.00015851504576858133
116,0.7916313004000112,91.82899495507736,0.1,0.004124659113585949,-1.0,0.00030933856032788754
117,0.7916322834629875,92.62062723854035,0.1,0.0041247643530368805,-1.0,0.00036024569999426603
118,0.7916390095945293,93.41226624813488,0.1,0.004124878905713558,-1.0,0.0006984614883549511
119,0.7916422671851081,94.20390851532,0.1,0.004124823026359081,-1.0,0.0008604096947237849
120,0.7916255234680356,94.99553403878804,0.1,0.004124712198972702,-1.0,2.1376717995735817e-05
121,0.7916255287713477,95.78715956755939,0.1,0.0041246917098760605,-1.0,2.1300398657331243e-05
122,0.7916277736156867,96.57878734117507,0.1,0.004124841652810574,-1.0,0.00013604166451841593
123,0.7916473396653309,97.3704346808404,0.1,0.004124633967876434,-1.0,0.001110882731154561
124,0.7916389077637189,98.16207358860412,0.1,0.004124750383198261,-1.0,0.0006912279059179127
125,0.79162873126287,98.95370231986699,0.1,0.004124857485294342,-1.0,0.00018418789841234684
126,0.7916312617229608,99.74533358158995,0.1,0.004124803468585014,-1.0,0.00030981062445789576
127,0.7916440751433838,100.53697765673333,0.1,0.004124633967876434,-1.0,0.000947656633798033
128,0.7916250915875037,101.32860274832083,0.1,0.004124725237488747,-1.0,0.0
129,0.7916293860032068,102.12023213432404,0.1,0.004124823026359081,-1.0,0.00021635059965774417
130,0.7916273322557584,102.9118594665798,0.1,0.004124750383198261,-1.0,0.00011245250789215788
131,0.7916278809049204,103.70348734748472,0.1,0.004124615341424942,-1.0,0.00013763426977675408
132,0.7916335102697679,104.49512085775449,0.1,0.0041247643530368805,-1.0,0.00042158603901043534
133,0.7916251370875986,105.28674599484208,0.1,0.004124841652810574,-1.0,4.215260105411289e-06
134,0.79163580404742,106.0783817988895,0.1,0.0041247643530368805,-1.0,0.0005362749216146767
135,0.7916314761297156,106.8700132750192,0.1,0.004124674946069717,-1.0,0.0003183889202773571
136,0.7916263394799121,107.66163961449912,0.1,0.004124841652810574,-1.0,6.433487578760833e-05
137,0.7916281040646522,108.45326771856378,0.1,0.004124972969293594,-1.0,0.00015475272084586322
138,0.7916347196693532,109.24490243823313,0.1,0.004124857485294342,-1.0,0.000483608222566545
139,0.7916313829945477,110.03653382122768,0.1,0.0041246917098760605,-1.0,0.00031401155865751207
140,0.7916364424135536,110.82817026364123,0.1,0.004124896600842476,-1.0,0.0005703973583877087
141,0.7916344546966332,111.61980471833786,0.1,0.004125026986002922,-1.0,0.00047318459837697446
142,0.7916372168653178,112.41144193520317,0.1,0.004124857485294342,-1.0,0.0006084680208005011
143,0.7916617178291393,113.20310365303231,0.1,0.004124725237488747,-1.0,0.0018313120817765594
144,0.7916263546885068,113.99473000772082,0.1,0.004124803468585014,-1.0,6.44589017610997e-05
145,0.7916270425010783,114.7863570502219,0.1,0.004124937579035759,-1.0,0.0001010847045108676
146,0.7916258310023306,115.57798288122423,0.1,0.0041247643530368805,-1.0,3.762266715057194e-05
147,0.791626659905858,116.36960954113009,0.1,0.004124633967876434,-1.0,7.68947575124912e-05
148,0.7916265846599903,117.16123612579008,0.1,0.004124725237488747,-1.0,7.465362432412803e-05
149,0.7916322184153444,117.95286834420543,0.1,0.004124823026359081,-1.0,0.00035797120654024184
150,0.7916366493677875,118.74450499357322,0.1,0.004124615341424942,-1.0,0.0005760574131272733
151,0.7916379524572597,119.53614294603048,0.1,0.004124725237488747,-1.0,0.0006430434877984226
152,0.7916266714343704,120.32776961746485,0.1,0.004124878905713558,-1.0,8.15534804132767e-05
153,0.7916348411499057,121.11940445861475,0.1,0.004124712198972702,-1.0,0.000487260811496526
154,0.7916403412309785,121.91104479984573,0.1,0.004124750383198261,-1.0,0.0007629012688994408
155,0.7916283177498261,122.70267311759555,0.1,0.004124857485294342,-1.0,0.00016351224621757865
156,0.7916369493832656,123.49431006697881,0.1,0.004124725237488747,-1.0,0.000592889788094908
157,0.7916259299742474,124.28593599695306,0.1,0.004124615341424942,-1.0,4.008773612440564e-05
158,0.7916348242896686,125.07757082124273,0.1,0.004124674946069717,-1.0,0.00048579691792838275
159,0.7916342770712993,125.86920509831403,0.1,0.004124674946069717,-1.0,0.000458435999462381
160,0.7916339769737484,126.66083907528777,0.1,0.004124542698264122,-1.0,0.00044122699182480574
161,0.7916301667654575,127.45246924205323,0.1,0.004124841652810574,-1.0,0.0002556991530582309
162,0.7916403019307181,128.24410954398394,0.1,0.004124633967876434,-1.0,0.0007589960005134344
163,0.7916339408085525,129.0357434847925,0.1,0.004124579951167107,-1.0,0.0004400396137498319
164,0.791625459877597,129.8273689446701,0.1,0.004124674946069717,-1.0,1.757631434884388e-05
165,0.7916285527982787,130.61899749746837,0.1,0.004124917089939117,-1.0,0.0001762580795912072
166,0.7916281845105502,131.41062568197893,0.1,0.0041247885674238205,-1.0,0.00015570165123790503
167,0.7916287270489264,132.20225440902786,0.1,0.004124712198972702,-1.0,0.00018155576253775507
168,0.7916307846184354,132.9938851936463,0.1,0.004124857485294342,-1.0,0.000286855676677078
169,0.791628894741026,133.78551408838732,0.1,0.004125046543776989,-1.0,0.00019551278091967106
170,0.7916254677711743,134.5771395561585,0.1,0.004124803468585014,-1.0,2.011303513427265e-05
171,0.7916254105219389,135.36876496668043,0.1,0.004124823026359081,-1.0,1.7576536265551113e-05
172,0.7916307467999479,136.16039571348037,0.1,0.004124823026359081,-1.0,0.0002843904367182404
173,0.7916252103746119,136.95202092385497,0.1,0.004124712198972702,-1.0,5.722046807932202e-06
174,0.7916380159548329,137.74365893980982,0.1,0.004124579951167107,-1.0,0.0006437969277612865
175,0.7916305765615542,138.53528951637136,0.1,0.004124659113585949,-1.0,0.0002731466374825686
176,0.7916298654486502,139.32691938182,0.1,0.004124803468585014,-1.0,0.00023999690893106163
177,0.7916301759859391,140.11854955780595,0.1,0.004124674946069717,-1.0,0.000253381731454283
178,0.7916273861478548,140.91017694395381,0.1,0.004124600440263748,-1.0,0.00011264806380495429
179,0.7916350510024931,141.7018119949563,0.1,0.004124896600842476,-1.0,0.0005008268053643405
180,0.7916514055193401,142.49346340047563,0.1,0.004124712198972702,-1.0,0.001315479283221066
181,0.7916261212886893,143.28508952176432,0.1,0.004124600440263748,-1.0,4.94051055284217e-05
182,0.7916302382479576,144.07671976001228,0.1,0.0041247885674238205,-1.0,0.0002583885216154158
183,0.7916448810381504,144.86836464105042,0.1,0.004124917089939117,-1.0,0.0009926700731739402
184,0.7916269361430216,145.65999157719344,0.1,0.004124803468585014,-1.0,9.353162749903277e-05
185,0.7916325213571156,146.45162409855055,0.1,0.004124674946069717,-1.0,0.0003706502902787179
186,0.7916291710861647,147.2432532696367,0.1,0.0041247885674238205,-1.0,0.00020503043197095394
187,0.7916354731178532,148.03488874275456,0.1,0.004124950617551804,-1.0,0.0005228328518569469
188,0.7916390350456349,148.8265277778002,0.1,0.004124857485294342,-1.0,0.0006993770366534591
189,0.791641777835631,149.61816955563583,0.1,0.004124725237488747,-1.0,0.0008343124063685536
190,0.7916398673880224,150.40980942302386,0.1,0.004124993458390236,-1.0,0.0007432603742927313
191,0.7916322757846209,151.20144169880848,0.1,0.004124857485294342,-1.0,0.00036141398595646024
192,0.7916257343246446,151.99306743313312,0.1,0.004124803468585014,-1.0,3.344070864841342e-05
193,0.791632638969575,152.7847000721027,0.1,0.004124896600842476,-1.0,0.0003802251594606787
194,0.7916332395139227,153.57633331161662,0.1,0.004124823026359081,-1.0,0.00040902613545767963
195,0.7916277036062286,154.36796101522285,0.1,0.004124725237488747,-1.0,0.00013060093624517322
196,0.7916265109186933,155.15958752614154,0.1,0.004124857485294342,-1.0,7.317068957490847e-05
197,0.7916333126518487,155.95122083879338,0.1,0.004124750383198261,-1.0,0.0004114723124075681
198,0.7916259693328368,156.74284680812622,0.1,0.004124579951167107,-1.0,4.146582796238363e-05
199,0.7916253834694434,157.53447219159565,0.1,0.004124712198972702,-1.0,1.4376788385561667e-05
200,0.7916311491557474,158.3261033407514,0.1,0.004124823026359081,-1.0,0.0003045082266908139
201,0.7916274556686597,159.11773079642003,0.1,0.0041246917098760605,-1.0,0.00011764526425395161
202,0.7916320567476408,159.90936285316766,0.1,0.004124725237488747,-1.0,0.00034825800685212016
203,0.7916297915805092,160.70099264474817,0.1,0.004124725237488747,-1.0,0.0002349996502744034
204,0.7916294659122358,161.4926221106604,0.1,0.004124659113585949,-1.0,0.00021761417156085372
205,0.7916325055063934,162.28425461616678,0.1,0.004124712198972702,-1.0,0.00037047863588668406
206,0.7916321502171146,163.0758867663839,0.1,0.004124841652810574,-1.0,0.00035487173590809107
207,0.7916304939412123,163.8675172603251,0.1,0.004124674946069717,-1.0,0.0002692794951144606
