Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake,Dist
1,0.28808315538177665,0.28808315538177665,0.10492990165948868,-0.006761497352272272,3.0,0.0,-1.0,10.0
2,0.2889325453808495,0.5770157007626262,0.10571053624153137,-0.00606889883056283,3.0,0.0013033199356868863,-1.0,10.0
3,0.2871825796345781,0.8641982803972044,0.10453297942876816,-0.0061224051751196384,3.0,0.002179221948608756,-1.0,10.0
4,0.2883682764601048,1.1525665568573091,0.10514040291309357,-0.006094092968851328,3.0,0.0012104320339858532,-1.0,10.0
5,0.28807020178219955,1.4406367586395086,0.10616772621870041,-0.006047493312507868,3.0,0.0001926183613250032,-1.0,10.0
6,0.2893361113388031,1.7299728699783117,0.10562475770711899,-0.006072754506021738,3.0,0.0003584909427445382,-1.0,10.0
7,0.2901576684206389,2.0201305383989507,0.10770957171916962,-0.005977606866508722,3.0,0.0007132434984669089,-1.0,10.0
8,0.28978868287925236,2.309919221278203,0.10540617257356644,-0.006082574371248484,3.0,0.00013959413627162576,-1.0,10.0
9,0.2909038113099726,2.600823032588176,0.10456671565771103,-0.0061213732697069645,3.0,0.00023781303025316447,-1.0,10.0
10,0.29092651033863476,2.8917495429268105,0.1077587828040123,-0.0059754387475550175,3.0,0.00015575885481666774,-1.0,10.0
11,0.29392691350975986,3.1856764564365703,0.10698839277029037,-0.00601047882810235,3.0,0.00033104897011071444,-1.0,10.0
12,0.2925206799875865,3.4781971364241566,0.10879157483577728,-0.005928608123213053,3.0,0.00016418458835687488,-1.0,10.0
13,0.2946953689592619,3.7728925053834184,0.10714194923639297,-0.006003516260534525,3.0,0.00012870787759311497,-1.0,10.0
14,0.29514657891331436,4.068039084296733,0.10859747976064682,-0.005937481764703989,3.0,0.00037306788726709783,-1.0,10.0
15,0.29551423546771965,4.363553319764453,0.11176661401987076,-0.005794955883175135,3.0,0.00019027710368391126,-1.0,10.0
16,0.29741733984672464,4.660970659611177,0.11102179437875748,-0.00582834193482995,3.0,0.0,-1.0,10.0
17,0.2989931361348367,4.959963795746014,0.113196961581707,-0.005731499288231134,3.0,0.00043097970774397254,-1.0,10.0
18,0.3027367980723101,5.262700593818324,0.11239095777273178,-0.005767127964645624,3.0,0.00043266775901429355,-1.0,10.0
19,0.289534549696239,5.552235143514563,0.1533847153186798,-0.004107548389583826,3.0,7.514000026276335e-05,-1.0,10.0
20,0.30526217357119123,5.8574973170857545,0.1173262968659401,-0.005549988243728876,3.0,0.00020942212722729892,-1.0,10.0
21,0.29415290417705126,6.1516502212628055,0.1547677218914032,-0.004057502839714289,3.0,0.0003573560679797083,-1.0,10.0
22,0.3102242011763269,6.4618744224391325,0.12082190066576004,-0.005398845765739679,3.0,0.000853314355481416,-1.0,10.0
23,0.3120424285758673,6.773916851015,0.12138399481773376,-0.005374560598284006,3.0,0.00020832537848036736,-1.0,10.0
24,0.3147292729736529,7.088646123988653,0.1213482990860939,-0.00537636736407876,3.0,0.000170989049365744,-1.0,10.0
25,0.3170084209546386,7.405654544943292,0.12412339448928833,-0.005258465651422739,3.0,0.0001092100574169308,-1.0,10.0
26,0.3200343025023737,7.7256888474456655,0.12421608716249466,-0.005254591349512339,3.0,0.000771913502831012,-1.0,10.0
27,0.3225205231480077,8.048209370593673,0.12569156289100647,-0.005192233715206385,3.0,0.0007567405700683594,-1.0,10.0
28,0.3253239385924882,8.373533309186161,0.13132567703723907,-0.0049592130817472935,3.0,0.0004950714064761996,-1.0,10.0
29,0.32665567164371945,8.70018898082988,0.13009491562843323,-0.005009713117033243,3.0,0.0009983443887904286,-1.0,10.0
30,0.3310564329399821,9.031245413769863,0.13460242748260498,-0.004501974675804377,3.0,0.0,-1.0,10.0
31,0.32112386477316274,9.352369278543026,0.17641887068748474,-0.0029902406968176365,3.0,0.00033943651942536235,-1.0,10.0
32,0.33781182670757703,9.690181105250604,0.13716425001621246,-0.004399495664983988,3.0,0.0004070377326570451,-1.0,10.0
33,0.3397861932201274,10.029967298470732,0.14264214038848877,-0.004184162709861994,3.0,0.0008632087265141308,-1.0,10.0
34,0.34546036567718624,10.375427664147917,0.14167693257331848,-0.004221467766910791,3.0,0.0007582282996736467,-1.0,10.0
35,0.3473286422631211,10.72275630641104,0.14698323607444763,-0.004344596061855555,3.0,0.0001394224091200158,-1.0,10.0
36,0.35084957186025134,11.073605878271291,0.1501254141330719,-0.004227417055517435,3.0,0.000108790431113448,-1.0,10.0
37,0.3540775189417944,11.427683397213086,0.14907509088516235,-0.004266465548425913,3.0,0.00027421474806033075,-1.0,10.0
38,0.3572271312202466,11.784910528433333,0.15193092823028564,-0.004160790238529444,3.0,0.00031651975587010384,-1.0,10.0
39,0.35792561712178994,12.142836145555123,0.15685418248176575,-0.003982527647167444,3.0,0.0004995536874048412,-1.0,10.0
40,0.3512020750989613,12.494038220654083,0.19676491618156433,-0.0027197771705687046,3.0,0.0006731509929522872,-1.0,10.0
41,0.36830780369725746,12.862346024351341,0.16210690140724182,-0.0037975781597197056,3.0,0.00034957408206537366,-1.0,10.0
42,0.5967900439320177,13.459136068283359,0.20249205827713013,-0.002228474710136652,3.0,0.0007164287380874157,-1.0,10.0
43,0.6096991086797293,14.068835176963088,0.16938942670822144,-0.0035506137646734715,3.0,0.000817098596598953,-1.0,10.0
