Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake,Dist
1,0.18420968299932092,0.18420968299932092,0.41293206810951233,-0.011508341878652573,3.0,0.0,-1.0,10.0
2,0.18411035405269477,0.36832003705201566,0.4126047194004059,-0.01126265898346901,3.0,0.0016789340879768133,-1.0,10.0
3,0.18468501649943053,0.5530050535514461,0.4129466116428375,-0.011142753064632416,3.0,0.0010570574086159468,-1.0,10.0
4,0.18452674499633212,0.7375317985477783,0.4127068817615509,-0.011187609285116196,3.0,0.0011638641590252519,-1.0,10.0
5,0.18475012462000506,0.9222819231677833,0.41274020075798035,-0.011181361973285675,3.0,0.001451249117963016,-1.0,10.0
6,0.18514382064373716,1.1074257438115205,0.41293397545814514,-0.011145081371068954,3.0,0.0006155967712402344,-1.0,10.0
7,0.18573673196001977,1.2931624757715403,0.4130515158176422,-0.011122982949018478,3.0,0.00026679039001464844,-1.0,10.0
8,0.18630404782717375,1.4794665235987141,0.41264835000038147,-0.011198468506336212,3.0,0.00034307956229895353,-1.0,10.0
9,0.18687442491815429,1.6663409485168683,0.41306981444358826,-0.011119496077299118,3.0,0.00032891749287955463,-1.0,10.0
10,0.18776924433125605,1.8541101928481243,0.412737637758255,-0.011181652545928955,3.0,0.00022121428628452122,-1.0,10.0
11,0.19072222371501607,2.0448324165631404,0.4133804738521576,-0.011061947792768478,3.0,0.0005923890857957304,-1.0,10.0
12,0.18986113829923013,2.2346935548623703,0.41281673312187195,-0.011166855692863464,3.0,0.0003477621066849679,-1.0,10.0
13,0.1907190961031593,2.4254126509655296,0.4132474362850189,-0.011086545884609222,3.0,0.00011336804163875058,-1.0,10.0
14,0.1935300089851881,2.6189426599507177,0.4133284389972687,-0.011071529239416122,3.0,0.00012466430780477822,-1.0,10.0
15,0.1933106733160298,2.8122533332667476,0.41323021054267883,-0.011089682579040527,3.0,0.00030077932751737535,-1.0,10.0
16,0.19396898466470136,3.006222317931449,0.4132969081401825,-0.011077381670475006,3.0,0.00036593436379916966,-1.0,10.0
17,0.1959322001627344,3.2021545180941833,0.4133428633213043,-0.011068940162658691,3.0,1.267910010938067e-05,-1.0,10.0
18,0.1985690694431161,3.4007235875372994,0.4139910638332367,-0.01095055416226387,3.0,5.020618482376449e-05,-1.0,10.0
19,0.198966002349188,3.5996895898864874,0.41356393694877625,-0.011028226464986801,3.0,4.010677366750315e-05,-1.0,10.0
20,0.2018245362627838,3.801514126149271,0.4142780601978302,-0.010899022221565247,3.0,6.831646169302985e-05,-1.0,10.0
21,0.2049497720461676,4.006463898195439,0.414093941450119,-0.01093205064535141,3.0,0.0003785419394262135,-1.0,10.0
22,0.20592662889912602,4.212390527094565,0.4148363471031189,-0.010800302028656006,3.0,7.005692168604583e-05,-1.0,10.0
23,0.20842523746093794,4.4208157645555035,0.414723664522171,-0.010820012539625168,3.0,0.0001926231343531981,-1.0,10.0
24,0.21239046766497643,4.63320623222048,0.4147596061229706,-0.010813724249601364,3.0,0.00010613921040203422,-1.0,10.0
25,0.21609370607438438,4.849299938294864,0.4151945412158966,-0.01073787733912468,3.0,1.3513769772544038e-05,-1.0,10.0
26,0.2205221652181228,5.069822103512987,0.4155762791633606,-0.010672289878129959,3.0,0.0001832103735068813,-1.0,10.0
27,0.22206603066421463,5.291888134177202,0.41613373160362244,-0.010578256100416183,3.0,0.0006363820866681635,-1.0,10.0
28,0.22420689681005468,5.516095030987256,0.4164147675037384,-0.010531675070524216,3.0,0.0006622123764827847,-1.0,10.0
29,0.22842956388599947,5.744524594873256,0.4165087640285492,-0.010516177862882614,3.0,9.499073348706588e-05,-1.0,10.0
30,0.2304002509357818,5.974924845809038,0.4170079529285431,-0.010434754192829132,3.0,0.00048185823834501207,-1.0,10.0
31,0.23504313195011495,6.2099679777591525,0.4167422652244568,-0.010477904230356216,3.0,0.0,-1.0,10.0
32,0.23845512762070054,6.448423105379853,0.41718852519989014,-0.010405667126178741,3.0,0.0002806806587614119,-1.0,10.0
33,0.24025819516589886,6.688681300545753,0.4233070909976959,-0.00955425575375557,3.0,0.0029597568791359663,-1.0,10.0
34,0.2454492371899324,6.934130537735685,0.4177526533603668,-0.010317079722881317,3.0,0.00035369396209716797,-1.0,10.0
35,0.25055867951515826,7.184689217250844,0.4181588292121887,-0.010253548622131348,3.0,0.2554851770401001,-1.0,10.0
36,0.25410749942476857,7.438796716675612,0.41908106207847595,-0.010230500251054764,3.0,0.44437989592552185,-1.0,10.0
37,0.25662565706461493,7.695422373740227,0.419169157743454,-0.01063387468457222,3.0,0.5899717211723328,-1.0,10.0
38,0.2590497558154988,7.954472129555726,0.41951486468315125,-0.01066090539097786,3.0,0.7198973298072815,-1.0,10.0
39,0.262069242323971,8.216541371879696,0.4202688932418823,-0.00967198982834816,3.0,0.8139688968658447,-1.0,10.0
40,0.26471204845292273,8.481253420332619,0.42030754685401917,-0.010106824338436127,3.0,0.8890269994735718,-1.0,10.0
41,0.26784879181813065,8.74910221215075,0.4208999574184418,-0.010217875242233276,3.0,0.9022707343101501,-1.0,10.0
42,0.269327250427278,9.018429462578027,0.4212384819984436,-0.010060824453830719,3.0,0.9435175657272339,-1.0,10.0
