Steps,Reward,Accumulated reward,Throttle,Steer,deviation,velocity,Brake,Distance,Distance back-right
1628,0.9324845318528158,1535.0981805360937,0.5028033256530762,-0.017481127753853798,-2.0,16.895553588867188,-1.0,20,20
1629,0.930664826129164,1536.028845362223,0.5028014183044434,-0.018499895930290222,-2.0,16.898611068725586,-1.0,20,20
1630,0.9293911371358803,1536.9582364993587,0.5028108954429626,-0.019214488565921783,-2.0,16.90191078186035,-1.0,20,20
1631,0.9316542298378688,1537.8898907291966,0.5027613043785095,-0.017940213903784752,-2.0,16.904756546020508,-1.0,20,20
1632,0.9314758259515676,1538.8213665551482,0.5028245449066162,-0.018048973754048347,-2.0,16.90728187561035,-1.0,20,20
1633,0.9326887520008853,1539.754055307149,0.5027889609336853,-0.017364753410220146,-2.0,16.909841537475586,-1.0,20,20
1634,0.9402199592696768,1540.6942752664186,0.5027309656143188,-0.01649915799498558,-1.0,16.915027618408203,-1.0,20,20
1635,0.9353517012649348,1541.6296269676834,0.5026798844337463,-0.015858231112360954,-2.0,16.917810440063477,-1.0,20,20
1636,0.9307624148981911,1542.5603893825817,0.5028376579284668,-0.01845031976699829,-2.0,16.920740127563477,-1.0,20,20
1637,0.9361475249864161,1543.496536907568,0.5026409029960632,-0.015407112427055836,-2.0,16.92354393005371,-1.0,20,20
1638,0.930487975156733,1544.4270248827247,0.5028992891311646,-0.018612634390592575,-2.0,16.926679611206055,-1.0,20,20
1639,0.9339270342386194,1545.3609519169634,0.5027093291282654,-0.016660166904330254,-2.0,16.929563522338867,-1.0,20,20
1640,0.9280882912267532,1546.28904020819,0.5028947591781616,-0.019955823197960854,-2.0,16.932634353637695,-1.0,20,20
1641,0.9341835859343409,1547.2232237941244,0.5026655793190002,-0.0165103729814291,-2.0,16.935394287109375,-1.0,20,20
1642,0.9296145109970655,1548.1528383051213,0.5028396844863892,-0.019093429669737816,-2.0,16.938234329223633,-1.0,20,20
1643,0.9290460049552577,1549.0818843100767,0.5028859972953796,-0.019418276846408844,-2.0,16.940879821777344,-1.0,20,20
1644,0.9345615879478198,1550.0164458980246,0.5026463866233826,-0.016296004876494408,-2.0,16.945980072021484,-1.0,20,20
1645,0.9302182218304702,1550.946664119855,0.5028448104858398,-0.018756069242954254,-2.0,16.948501586914062,-1.0,20,20
1646,0.9302360102246914,1551.8769001300798,0.5028446912765503,-0.018746091052889824,-2.0,16.953290939331055,-1.0,20,20
1647,0.9356722441347581,1552.8125723742146,0.5026590824127197,-0.01567581482231617,-2.0,16.955894470214844,-1.0,20,20
1648,0.9347997490827527,1553.7473721232973,0.5027161240577698,-0.016172397881746292,-2.0,16.958295822143555,-1.0,20,20
