Steps,Reward,Accumulated reward,Throttle,Steer,deviation,velocity,Brake,Distance,Distance back-right
1,0.6810257239618999,0.6810257239618999,0.0,-0.019439123570919037,3.0,0.0,-1.0,8.026543973790128,19.5
2,0.6478764771407652,1.328902201102665,0.13294711709022522,-0.0031817490234971046,3.0,0.001663794508203864,-1.0,8.009263352568048,19.5
3,0.6869687358594838,2.015870936962149,0.0,-0.011087932623922825,3.0,0.002410612069070339,-1.0,8.025686649681434,19.5
4,0.6873297240296566,2.7032006609918056,0.0,-0.011115998961031437,3.0,0.0007279777200892568,-1.0,8.040451777392029,19.5
5,0.6908281918647399,3.3940288528565454,0.0,-0.006061025895178318,3.0,0.0008543300209566951,-1.0,8.036102972928784,19.5
6,0.675118042428823,4.069146895285368,0.0,-0.028932176530361176,3.0,0.0011122369905933738,-1.0,8.060375458796528,19.5
7,0.6942650931941899,4.763411988479558,0.0,-0.002698899246752262,3.0,0.0021248769480735064,-1.0,8.07622403685461,19.5
8,0.6941762468534166,5.457588235332975,0.0,-0.002729439176619053,3.0,0.00026340008480474353,-1.0,8.073626542779888,19.5
9,0.6828964765969913,6.140484711929966,0.0,-0.01946166157722473,3.0,0.00030691621941514313,-1.0,8.099659458217312,19.5
10,0.6953223555605774,6.835807067490544,0.0,-0.0028565386310219765,3.0,0.00010475635644979775,-1.0,8.12155618650959,19.5
11,0.6765050665555516,7.512312134046096,0.0,-0.02966109663248062,3.0,0.0001185655637527816,-1.0,8.134298110819502,19.5
12,0.6767099040796655,8.189022038125762,0.0,-0.030177123844623566,3.0,0.00039203165215440094,-1.0,8.156518460929298,19.5
13,0.6775892436164189,8.86661128174218,0.0,-0.030258558690547943,3.0,0.0005646228673867881,-1.0,8.192846868178185,19.5
14,0.5670175517094487,9.433628833451628,0.3740184009075165,-0.010924567468464375,3.0,0.00014681815810035914,-1.0,8.204127561465365,19.5
15,0.6915631727917544,10.125192006243383,0.0,-0.012006581760942936,3.0,0.0004246855969540775,-1.0,8.229147976563727,19.5
16,0.6958106567519672,10.82100266299535,0.0,-0.007038717158138752,3.0,0.0,-1.0,8.256234584765783,19.5
17,0.6930145029151362,11.514017165910486,0.0,-0.012248695828020573,3.0,0.00030762195819988847,-1.0,8.29208839034424,19.5
18,0.680890446242823,12.19490761215331,0.0,-0.03057839721441269,3.0,0.0003637742775026709,-1.0,8.329621143379743,19.5
19,0.6689499755258063,12.863857587679115,0.07596491277217865,-0.012715705670416355,3.0,4.130363595322706e-05,-1.0,8.353727575928945,19.5
20,0.7015831813575257,13.565440769036641,0.0,-0.004217357374727726,3.0,3.2902401017054217e-06,-1.0,8.401828704940336,19.5
21,0.5895218700320174,14.154962639068659,0.2979618012905121,-0.022523481398820877,3.0,0.0026881981175392866,-1.0,8.414813519127152,19.5
22,0.7027738208773668,14.857736459946025,0.0,-0.0048229629173874855,3.0,0.0011377953924238682,-1.0,8.464728282604224,19.5
23,0.5475541788671492,15.405290638813174,0.4508708417415619,-0.012992489151656628,3.0,0.0008769416599534452,-1.0,8.499836342616272,19.5
24,0.6466764422796533,16.051967081092826,0.1709650158882141,-0.006253988482058048,3.0,0.0009492063545621932,-1.0,8.5388617271401,19.5
25,0.6407073008456263,16.692674381938453,0.18696241080760956,-0.007961132563650608,3.0,0.00027065275935456157,-1.0,8.561441823681639,19.5
26,0.6413833018001392,17.334057683738592,0.18924732506275177,-0.0081825265660882,3.0,0.0003903579490724951,-1.0,8.623278206174929,19.5
27,0.646217605101871,17.980275288840463,0.1819189488887787,-0.006358069367706776,3.0,0.0005957173998467624,-1.0,8.665450897986108,19.5
28,0.7022018037744482,18.68247709261491,0.00432814285159111,-0.013207861222326756,3.0,0.00014990329509600997,-1.0,8.730549805020416,19.5
29,0.573747618687515,19.256224711302426,0.3956984877586365,-0.011828788556158543,3.0,0.0003098392335232347,-1.0,8.7699796599887,19.5
30,0.6654838219361157,19.921708533238544,0.120145283639431,-0.015173160471022129,3.0,0.000659084296785295,-1.0,8.858096086261494,19.5
31,0.5666044846073552,20.4883130178459,0.43079081177711487,-0.00986903253942728,3.0,0.00039916037349030375,-1.0,8.892215819396181,19.5
32,0.5780737338518168,21.066386751697717,0.39819958806037903,-0.01100365910679102,3.0,1.1177808119100519e-05,-1.0,8.947084097100765,19.5
33,0.6990523799655508,21.765439131663268,0.0,-0.031101204454898834,3.0,2.9988288588356227e-05,-1.0,9.047866632684615,19.5
34,0.5781035770329153,22.343542708696184,0.4105704426765442,-0.009880841709673405,3.0,0.00045235632569529116,-1.0,9.076952744299767,19.5
35,0.7174581861068206,23.061000894803005,0.0,-0.008982148952782154,3.0,0.0002108240150846541,-1.0,9.148867763010946,19.5
36,0.5951967253666735,23.656197620169678,0.33961614966392517,-0.024267444387078285,3.0,9.588241664459929e-05,-1.0,9.221019900640929,19.5
37,0.5741747795901914,24.23037239975987,0.43699780106544495,-0.01031359750777483,3.0,4.261970752850175e-05,-1.0,9.27804328485306,19.5
38,0.6962170174451242,24.926589417204994,0.06358771026134491,-0.01683204621076584,3.0,0.0008438062504865229,-1.0,9.364387676874632,19.5
39,0.5682949138209057,25.4948843310259,0.4598311483860016,-0.01297567505389452,3.0,0.00042507171747274697,-1.0,9.418811726025767,19.5
40,0.5966829902711618,26.091567321297063,0.35825303196907043,-0.02373240888118744,3.0,0.00011478900705697015,-1.0,9.504530043664689,19.5
41,0.7106226598239043,26.802189981120968,0.0,-0.03350650891661644,3.0,0.0028154754545539618,-1.0,9.562790368546922,19.5
42,0.5682315286868167,27.370421509807784,0.4809534251689911,-0.01226231548935175,3.0,0.002260141307488084,-1.0,9.669440186865314,19.5
43,0.589131866618345,27.95955337642613,0.42452576756477356,-0.010814656503498554,3.0,0.001267824089154601,-1.0,9.710401905013413,19.5
44,0.642000673445411,28.60155404987154,0.26423388719558716,-0.01374089252203703,3.0,0.0019049453549087048,-1.0,9.769625414116202,19.5
45,0.591909382807734,29.193463432679277,0.42178481817245483,-0.013517691753804684,3.0,0.0009318446973338723,-1.0,9.857442881950991,19.5
46,0.7205802808041748,29.91404371348345,0.0,-0.03423171117901802,3.0,0.0007758569554425776,-1.0,9.968720744152451,19.5
47,0.6804795910157996,30.59452330449925,0.017197342589497566,-0.024402618408203125,3.0,0.0006229543359950185,-1.0,10.058383207940222,19.5
48,0.7785683481444824,31.373091652643733,0.4912138879299164,-0.007873640395700932,3.0,0.000100183482572902,-1.0,10.129496188703449,19.5
49,0.7699605022262228,32.143052154869956,0.4497990012168884,-0.010890957899391651,3.0,0.0004277801781427115,-1.0,10.208415750163839,19.5
