velocity,deviation
0.0,-7.0
0.00010712751827668399,-7.0
0.00036873831413686275,-7.0
0.0006975997821427882,-7.0
5.137305197422393e-05,-7.0
0.00030339346267282963,-7.0
0.0006955661810934544,-7.0
0.5456863045692444,-7.0
0.7093186974525452,-7.0
0.9704535007476807,-6.0
1.0500538349151611,-6.0
1.1312650442123413,-6.0
1.244724154472351,-6.0
1.3163292407989502,-6.0
1.443558692932129,-5.0
1.5490304231643677,-5.0
1.6905853748321533,-5.0
1.8065650463104248,-5.0
1.8543020486831665,-5.0
1.9339603185653687,-5.0
2.0329837799072266,-4.0
2.121161937713623,-4.0
2.1982510089874268,-3.0
2.30425763130188,-3.0
2.3709137439727783,-3.0
2.4952516555786133,-3.0
2.5815699100494385,-3.0
2.6568455696105957,-2.0
2.7910501956939697,-2.0
2.8504793643951416,-1.0
2.956327199935913,-1.0
3.0552423000335693,-1.0
3.1907155513763428,-1.0
3.2674405574798584,0.0
3.32261061668396,0.0
3.437662124633789,0.0
3.5587751865386963,0.0
3.664043426513672,1.0
3.75951886177063,1.0
3.8959453105926514,1.0
3.985294818878174,1.0
4.082979202270508,1.0
4.192304611206055,1.0
4.246459007263184,2.0
4.366170406341553,1.0
4.4613118171691895,2.0
4.559568405151367,2.0
4.651880741119385,2.0
4.741284370422363,2.0
4.810003757476807,2.0
4.919161796569824,1.0
4.967034816741943,1.0
5.062436580657959,2.0
5.021560192108154,1.0
5.005842685699463,2.0
5.029661655426025,2.0
5.105865955352783,1.0
5.036279678344727,1.0
5.11160135269165,1.0
5.034515857696533,1.0
5.2505927085876465,1.0
5.181850910186768,1.0
5.099221706390381,1.0
5.108092308044434,1.0
5.1620659828186035,1.0
5.200865745544434,0.0
5.2243547439575195,0.0
5.2641777992248535,0.0
5.274936199188232,0.0
5.302010536193848,0.0
5.363462448120117,0.0
5.45548152923584,0.0
5.447187900543213,0.0
5.582542896270752,0.0
5.537436485290527,0.0
5.572967052459717,0.0
5.626178741455078,-1.0
5.684467792510986,-1.0
5.756100654602051,0.0
5.818436622619629,0.0
5.862538814544678,-1.0
5.961906433105469,0.0
6.015671730041504,0.0
6.0583648681640625,-1.0
6.063169956207275,0.0
6.092095375061035,0.0
6.066153526306152,0.0
6.033714294433594,-1.0
6.12047815322876,0.0
6.165744781494141,0.0
6.190393924713135,0.0
6.302551746368408,0.0
6.339345455169678,0.0
6.385593891143799,0.0
6.344586372375488,0.0
6.3318657875061035,0.0
6.365685939788818,0.0
6.374467849731445,0.0
6.425796031951904,-1.0
6.465488910675049,-1.0
6.4408793449401855,-1.0
6.421446800231934,-1.0
6.385796546936035,-1.0
6.8722615242004395,-1.0
7.23017692565918,-2.0
7.460747718811035,-3.0
7.579055309295654,-5.0
7.661599636077881,-6.0
7.674874782562256,-7.0
7.770538806915283,-9.0
7.746781826019287,-10.0
7.7657341957092285,-11.0
7.8124213218688965,-13.0
7.842734336853027,-14.0
7.8233442306518555,-15.0
7.868371963500977,-16.0
7.901072025299072,-17.0
7.94114351272583,-17.0
7.969339370727539,-18.0
8.000431060791016,-18.0
8.007728576660156,-19.0
8.03451919555664,-19.0
8.105430603027344,-19.0
8.157453536987305,-19.0
8.186673164367676,-19.0
8.210062026977539,-18.0
8.204930305480957,-18.0
