Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake,Dist
51,0.6979067916870118,32.88077630231441,0.5,0.0,16.0,1.943009376525879,-1.0,nan
52,0.6983207451502482,33.57909704746466,0.5,0.0,16.0,1.9740558862686157,-1.0,nan
53,0.7067528851826986,34.28584993264736,0.5,0.0,15.0,2.0064663887023926,-1.0,nan
54,0.7074590301513672,34.99330896279873,0.5,0.0,15.0,2.059427261352539,-1.0,nan
55,0.7078007125854493,35.70110967538418,0.5,0.0,15.0,2.0850534439086914,-1.0,nan
56,0.7162831350962321,36.417392810480415,0.5,0.0,14.0,2.1212351322174072,-1.0,nan
57,0.724678305943807,37.14207111642422,0.5,0.0,13.0,2.1508729457855225,-1.0,nan
58,0.7250921910603841,37.8671633074846,0.5,0.0,13.0,2.1819143295288086,-1.0,nan
59,0.725508358637492,38.592671666122094,0.5,0.0,13.0,2.2131268978118896,-1.0,nan
60,0.725972677230835,39.31864434335293,0.5,0.0,13.0,2.247950792312622,-1.0,nan
61,0.7343057638804118,40.05295010723334,0.5,0.0,12.0,2.272932291030884,-1.0,nan
62,0.7348391571044922,40.78778926433784,0.5,0.0,12.0,2.312936782836914,-1.0,nan
63,0.7434955266316733,41.531284790969515,0.5,0.0,11.0,2.3621644973754883,-1.0,nan
64,0.7439247659047445,42.27520955687426,0.5,0.0,11.0,2.394357442855835,-1.0,nan
65,0.7523352654774983,43.02754482235176,0.5,0.0,10.0,2.425144910812378,-1.0,nan
66,0.7528595225016276,43.78040434485339,0.5,0.0,10.0,2.4644641876220703,-1.0,nan
67,0.7532259654998779,44.53363031035327,0.5,0.0,10.0,2.4919474124908447,-1.0,nan
68,0.7617676366170247,45.29539794697029,0.5,0.0,9.0,2.5325727462768555,-1.0,nan
69,0.770198996225993,46.06559694319628,0.5,0.0,8.0,2.564924716949463,-1.0,nan
70,0.7704600741068524,46.83605701730313,0.5,0.0,8.0,2.584505558013916,-1.0,nan
71,0.7787536818186443,47.614810699121776,0.5,0.0,7.0,2.6065261363983154,-1.0,nan
72,0.7789894110361736,48.39380011015795,0.5,0.0,7.0,2.6242058277130127,-1.0,nan
73,0.7880194969177247,49.181819607075674,0.5,0.0,6.0,2.7014622688293457,-1.0,nan
74,0.7885189584096273,49.9703385654853,0.5,0.0,6.0,2.738921880722046,-1.0,nan
75,0.7967639287312825,50.76710249421658,0.5,0.0,5.0,2.7572946548461914,-1.0,nan
76,0.8050665772755942,51.572169071492176,0.5,0.0,4.0,2.7799932956695557,-1.0,nan
77,0.8135356515248617,52.385704723017035,0.5,0.0,3.0,2.815173864364624,-1.0,nan
78,0.8140656496683758,53.199770372685414,0.5,0.0,3.0,2.854923725128174,-1.0,nan
79,0.8225858949025472,54.02235626758796,0.5,0.0,2.0,2.89394211769104,-1.0,nan
80,0.8231290791829428,54.8454853467709,0.5,0.0,2.0,2.934680938720703,-1.0,nan
81,0.83161119333903,55.67709654010993,0.5,0.0,1.0,2.970839500427246,-1.0,nan
82,0.8399983183542887,56.51709485846422,0.5,0.0,0.0,2.9998738765716553,-1.0,nan
83,0.8405189291636149,57.357613787627834,0.5,0.0,0.0,3.038919687271118,-1.0,nan
84,0.8329462642669678,58.1905600518948,0.5,0.0,-1.0,3.070969820022583,-1.0,nan
85,0.8255247249603271,59.01608477685512,0.5,0.0,-2.0,3.114354372024536,-1.0,nan
