Episode,Reward,Num_steps
1,119.55859375,170
2,18.63671875,54
3,98.4453125,154
4,88.64453125,135
5,88.30078125,131
6,27.1015625,72
7,89.9453125,128
8,143.30078125,212
9,61.1484375,107
10,66.109375,113
11,49.625,96
12,40.2421875,96
13,20.4921875,62
14,86.24609375,124
15,74.3359375,122
16,30.9765625,79
17,46.953125,87
18,128.8828125,230
19,22.44921875,59
20,68.8203125,111
21,72.36328125,118
22,79.76171875,128
23,18.53125,51
24,86.2578125,134
25,30.35546875,68
26,26.22265625,63
27,24.36328125,66
28,136.13671875,224
29,119.0078125,179
30,64.8984375,118
31,29.04296875,73
32,118.8984375,177
33,47.86328125,90
34,5.3359375,38
35,14.82421875,46
36,220.09375,296
37,16.67578125,57
38,64.69921875,105
39,187.44140625,281
40,189.015625,261
41,76.03125,126
42,66.62109375,119
43,8.640625,43
44,38.11328125,80
45,137.28515625,193
46,48.06640625,95
47,22.88671875,71
48,75.03125,114
49,53.625,117
50,30.38671875,71
51,20.609375,58
52,41.15625,81
53,22.23828125,54
54,9.8359375,43
55,8.41796875,40
56,76.01953125,132
57,54.86328125,112
58,175.50390625,265
59,54.3125,98
60,54.27734375,96
61,36.84765625,77
62,62.03125,125
63,8.28515625,39
64,78.28125,118
65,28.86328125,66
66,54.86328125,99
67,17.28125,53
68,45.42578125,100
69,69.73046875,143
70,22.40234375,62
71,11.88671875,51
72,56.3515625,90
73,68.54296875,110
74,34.8515625,74
75,13.75,48
76,36.45703125,82
77,44.20703125,91
78,51.12890625,88
79,36.9921875,79
80,68.86328125,107
81,48.63671875,97
82,57.15234375,94
83,88.0078125,142
84,67.43359375,115
85,53.734375,106
86,21.08984375,63
87,184.78125,262
88,62.59765625,111
89,95.58984375,169
90,34.921875,74
91,43.62890625,95
92,3.73046875,32
93,24.10546875,63
94,25.16015625,61
95,49.921875,103
96,64.49609375,123
97,35.12109375,85
98,49.51953125,98
99,42.55078125,88
100,304.35546875,386
101,40.0234375,81
102,68.32421875,110
103,44.42578125,97
104,6.62109375,39
105,39.3125,76
106,37.3203125,79
107,211.4296875,331
108,38.65234375,88
109,140.59765625,205
110,123.19921875,175
111,7.55078125,39
112,71.546875,115
113,71.48828125,122
114,174.515625,261
115,21.0390625,56
116,36.1796875,77
117,9.41015625,43
118,60.515625,117
119,28.37890625,66
120,32.9140625,73
121,88.8671875,145
122,11.0234375,41
123,72.375,117
124,30.87890625,65
125,256.37109375,330
126,246.76171875,303
127,42.2890625,93
128,67.5546875,114
129,23.65234375,72
130,11.2109375,44
131,62.4375,121
132,24.40625,61
133,27.82421875,66
134,84.46484375,123
135,111.21875,165
136,43.9921875,82
137,10.69921875,41
138,56.453125,112
139,39.02734375,83
140,174.19140625,233
141,36.09375,79
142,23.01953125,61
143,64.09375,111
144,24.46484375,67
145,26.10546875,65
146,35.62890625,75
147,61.81640625,118
148,42.67578125,87
149,30.03515625,71
150,60.1796875,99
151,47.1015625,91
152,39.0859375,80
153,23.8203125,70
154,24.1015625,62
155,13.5234375,48
156,230.7109375,316
157,17.84765625,54
158,51.3359375,99
159,116.15234375,175
160,28.73046875,70
161,41.27734375,77
162,32.06640625,73
163,55.21484375,89
164,35.67578125,80
165,51.3828125,102
166,63.32421875,108
167,111.13671875,144
168,56.796875,113
169,170.09765625,287
170,133.59375,197
171,72.03515625,121
172,137.2421875,218
173,86.77734375,139
174,42.80859375,83
175,118.31640625,185
176,82.66796875,131
177,93.671875,154
178,47.45703125,85
179,75.78125,120
180,121.0546875,175
181,68.9140625,124
182,194.546875,263
183,19.390625,56
184,24.48828125,67
185,21.265625,63
186,24.16015625,61
187,27.484375,61
188,52.1015625,102
189,199.25390625,310
190,62.61328125,109
191,42.3671875,91
192,9.18359375,40
193,11.125,44
194,51.58984375,103
195,93.1796875,134
196,11.6953125,46
197,26.9921875,61
198,21.890625,61
199,5.93359375,39
200,16.05078125,52
201,29.09765625,73
202,71.55859375,125
203,15.9609375,50
204,113.3671875,163
205,187.66015625,296
206,47.0703125,91
207,22.35546875,61
208,30.8828125,69
209,36.16015625,81
210,117.41015625,194
211,24.90234375,68
212,39.0859375,81
213,18.21875,58
214,6.0078125,37
215,9.3046875,42
216,43.87890625,80
217,7.69140625,39
218,217.07421875,311
219,22.6953125,68
220,99.9296875,145
221,51.79296875,88
222,11.171875,44
223,67.46875,130
224,108.984375,145
225,105.125,162
226,115.2578125,178
227,36.9921875,86
228,12.1484375,50
229,10.578125,42
230,120.72265625,190
231,32.08203125,69
232,7.12890625,41
233,23.4140625,69
234,20.109375,60
235,7.1015625,39
236,64.37890625,104
237,159.30078125,237
238,150.0234375,241
239,25.453125,62
240,56.6328125,106
241,44.32421875,94
242,75.26171875,123
243,41.59765625,85
244,144.96484375,244
245,34.37109375,83
246,41.5078125,81
247,36.38671875,80
248,10.80078125,43
249,55.47265625,110
250,28.57421875,69
251,79.2890625,146
252,58.17578125,113
253,37.1015625,92
254,64.86328125,120
255,46.30859375,91
256,9.4453125,41
257,31.6328125,78
258,133.16796875,216
259,44.10546875,93
260,26.01171875,69
261,71.2734375,124
262,26.6328125,61
263,37.61328125,86
264,110.9765625,164
265,37.48828125,85
266,60.40234375,101
267,8.109375,39
268,15.19140625,49
269,25.33203125,68
270,111.92578125,201
271,59.4921875,109
272,46.5,93
273,102.39453125,194
274,39.56640625,85
275,25.5859375,64
276,86.6953125,160
277,286.09375,367
278,22.97265625,59
279,52.58984375,94
280,150.8359375,224
281,73.203125,123
282,95.96875,174
283,24.95703125,64
284,49.37890625,107
285,76.6953125,124
286,12.26953125,49
287,56.4375,94
288,73.89453125,110
289,98.125,155
290,62.2890625,101
291,27.62109375,74
292,28.98828125,67
293,64.6953125,104
294,75.4765625,125
295,23.37109375,60
296,79.56640625,140
297,28.77734375,71
298,28.75,70
299,21.90625,67
300,14.9375,52
301,29.328125,75
302,41.2265625,80
303,21.53515625,59
304,28.5703125,70
305,54.953125,115
306,50.296875,108
307,39.8125,89
308,24.01953125,68
309,33.21875,76
310,225.29296875,294
311,14.3984375,50
312,23.84765625,62
313,26.62109375,62
314,34.45703125,83
315,28.78125,64
316,246.94921875,301
317,16.18359375,51
318,61.08984375,107
319,9.859375,40
320,32.4140625,77
321,81.734375,117
322,28.1484375,69
323,62.35546875,101
324,19.328125,60
325,78.70703125,120
326,16.46484375,56
327,50.5390625,95
328,73.72265625,124
329,89.75,166
330,43.23046875,81
331,39.1015625,86
332,80.80078125,134
333,13.11328125,50
334,48.265625,99
335,169.89453125,276
336,169.49609375,230
337,16.984375,54
338,9.65625,42
339,14.95703125,53
340,27.80078125,71
341,91.28515625,157
342,23.88671875,66
343,35.87109375,76
344,90.1171875,142
345,24.703125,68
346,124.671875,189
347,79.54296875,134
348,9.25,43
349,17.50390625,62
350,40.61328125,91
351,43.3671875,88
352,83.25,140
353,23.87109375,64
354,23.4453125,58
355,33.64453125,71
356,18.80078125,54
357,241.15234375,316
358,20.390625,60
359,40.83203125,77
360,57.99609375,109
361,17.8828125,58
362,102.5703125,152
363,32.22265625,66
364,234.453125,314
365,27.30078125,64
366,5.25390625,37
367,49.97265625,101
368,59.00390625,104
369,31.6953125,71
370,25.68359375,68
371,18.28125,62
372,42.6328125,87
373,21.33203125,67
374,22.29296875,63
375,27.34765625,66
376,6.3828125,38
377,56.62890625,100
378,22.97265625,65
379,24.32421875,61
380,11.6796875,45
381,38.10546875,83
382,14.30078125,52
383,271.98046875,363
384,170.0625,224
385,223.06640625,290
386,143.9140625,197
387,30.4609375,64
388,24.35546875,59
389,169.04296875,238
390,38.9609375,91
391,49.89453125,92
392,65.6328125,113
393,185.37109375,258
394,19.22265625,53
395,129.77734375,199
396,84.8203125,127
397,43.0703125,91
398,60.515625,113
399,125.2578125,193
400,47.86328125,93
401,7.14453125,40
402,29.77734375,71
403,71.390625,118
404,46.91796875,96
405,67.7421875,115
406,80.59375,128
407,37.65625,88
408,76.66015625,125
409,53.734375,101
410,42.66796875,98
411,53.16015625,117
412,28.08984375,67
413,29.8359375,68
414,136.71875,206
415,81.58203125,133
416,22.453125,60
417,30.671875,70
418,47.21484375,101
419,26.4609375,69
420,37.30859375,82
421,62.25390625,98
422,221.84765625,353
423,143.07421875,213
424,86.94921875,130
425,172.2421875,228
426,78.59375,134
427,33.62109375,75
428,99.171875,151
429,11.3046875,44
430,48.90234375,100
431,48.9375,94
432,61.53515625,122
433,37.96875,87
434,26.875,62
435,209.375,284
436,56.4140625,107
437,6.21875,37
438,70.71484375,120
439,26.046875,68
440,29.21875,71
441,75.4140625,148
442,48.2578125,99
443,185.0390625,257
444,48.09765625,96
445,32.98046875,75
446,20.41015625,66
447,12.5078125,44
448,98.05078125,153
449,24.32421875,61
450,231.50390625,335
451,38.56640625,82
452,103.60546875,148
453,16.8984375,57
454,30.58203125,70
455,31.48828125,75
456,26.171875,66
457,45.39453125,97
458,260.41796875,355
459,73.03125,123
460,43.71484375,88
461,61.99609375,102
462,45.81640625,89
463,19.9140625,57
464,15.7890625,52
465,82.7890625,129
466,22.203125,62
467,58.13671875,114
468,24.11328125,61
469,164.32421875,227
470,60.7734375,113
471,260.2890625,378
472,53.23046875,102
473,18.44140625,57
474,53.0546875,108
475,156.49609375,216
476,34.3984375,68
477,6.7890625,38
478,136.578125,177
479,18.87890625,52
480,64.6484375,102
481,53.21484375,106
482,120.57421875,182
483,22.96875,64
484,50.49609375,88
485,25.421875,66
486,66.8515625,106
487,50.44140625,98
488,7.7109375,39
489,78.421875,142
490,110.64453125,190
491,70.37890625,125
492,184.28125,262
493,58.92578125,117
494,180.37890625,299
495,27.7734375,65
496,58.15625,106
