Episode,Reward,Num_steps,Index_loc
1,115.3046875,182,0
2,26.6171875,63,3
3,56.234375,107,2
4,28.00390625,69,0
5,58.12109375,95,0
6,36.5703125,81,1
7,32.234375,71,3
8,98.1875,181,2
9,66.734375,118,2
10,66.4453125,120,0
11,48.74609375,86,2
12,37.0703125,80,3
13,24.13671875,62,1
14,41.70703125,93,3
15,16.78515625,47,0
16,19.61328125,59,1
17,44.55859375,88,2
18,62.77734375,113,0
19,34.09765625,77,3
20,70.19921875,121,2
21,47.16015625,95,0
22,130.79296875,184,2
23,24.42578125,65,3
24,80.21484375,131,2
25,39.109375,86,3
26,236.3828125,331,0
27,33.39453125,70,1
28,57.38671875,108,2
29,53.99609375,105,0
30,90.09375,138,0
31,13.4453125,46,1
32,211.1484375,284,2
33,50.93359375,98,3
34,11.234375,42,1
35,30.08984375,66,0
36,86.58984375,137,2
37,8.125,41,1
38,52.90625,98,3
39,122.1875,188,2
40,274.63671875,330,2
41,23.71875,61,0
42,91.4609375,146,0
43,30.52734375,75,1
44,109.8984375,175,0
45,84.03125,147,2
46,55.05859375,112,2
47,7.4921875,39,1
48,64.00390625,104,3
49,40.78515625,89,3
50,18.35546875,53,1
51,37.0703125,86,1
52,9.6015625,40,1
53,46.53515625,97,0
54,19.66015625,53,1
55,27.859375,72,1
56,47.39453125,79,0
57,185.65625,289,2
58,102.328125,156,2
59,194.7890625,281,2
60,65.4765625,118,3
61,46.02734375,90,3
62,46.2109375,96,2
63,18.95703125,58,1
64,59.64453125,126,3
65,72.0859375,121,0
66,37.65625,84,1
67,17.6796875,55,3
68,37.19140625,82,3
69,20.6953125,57,0
70,54.234375,89,3
71,27.41015625,76,1
72,33.4921875,68,0
73,31.1640625,69,3
74,90.84765625,129,3
75,23.3359375,62,3
76,168.5390625,234,0
77,72.99609375,108,3
78,16.76953125,51,3
79,158.3984375,226,2
80,26.9375,64,3
81,25.328125,62,0
82,36.48046875,85,1
83,70.7734375,123,2
84,46.36328125,88,3
85,48.47265625,96,3
86,22.859375,69,1
87,78.57421875,155,0
88,64.7734375,116,0
89,47.59375,97,0
90,234.31640625,321,2
91,37.01171875,77,2
92,21.25,62,1
93,206.70703125,268,2
94,50.40234375,96,3
95,102.59375,169,2
96,84.08203125,141,2
97,53.76953125,103,3
98,43.734375,92,3
99,39.35546875,80,3
100,116.85546875,223,2
101,65.1640625,103,3
102,39.125,79,3
103,38.5390625,74,3
104,22.015625,62,1
105,64.20703125,117,3
106,23.6171875,62,3
107,223.50390625,347,2
108,55.48828125,100,3
109,73.671875,135,2
110,75.11328125,127,2
111,8.42578125,40,1
112,43.4921875,92,3
113,121.40625,175,2
114,57.921875,105,2
115,66.31640625,110,3
116,29.1328125,66,3
117,8.5546875,40,1
118,140.78125,200,2
119,52.5546875,101,0
120,29.2265625,72,3
121,52.765625,94,0
122,9.72265625,44,1
123,93.84375,138,0
124,15.25,51,0
125,38.91796875,81,2
126,88.859375,157,2
127,77.0390625,115,3
128,81.5078125,130,0
129,21.640625,62,1
130,34.375,71,1
131,165.48828125,239,2
132,28.359375,65,0
133,25.1875,64,3
134,72.40234375,114,3
135,172.3671875,243,0
136,19.328125,62,3
137,27.1015625,70,1
138,43.59375,83,0
139,45.921875,98,2
140,163.9921875,234,2
141,16.48828125,58,1
142,23.33984375,62,1
143,79.4296875,129,2
144,15.9375,57,1
145,37.73828125,78,0
146,48.61328125,90,0
147,74.1640625,117,0
148,121.28125,175,0
149,45.17578125,96,3
150,89.44140625,121,3
151,16.26953125,46,0
152,68.21484375,117,0
153,23.94140625,64,1
154,53.47265625,95,0
155,36.41015625,84,1
156,112.0234375,169,2
157,37.58203125,71,3
158,27.03515625,65,3
159,80.25,129,0
160,39.46484375,77,1
161,14.34375,49,1
162,22.1640625,60,3
163,29.8125,68,3
164,47.7109375,91,3
165,87.2890625,127,3
166,37.7578125,81,2
167,92.7578125,128,3
168,31.38671875,70,0
169,263.66796875,358,2
170,83.0234375,157,2
171,102.140625,157,2
172,40.859375,85,2
173,29.35546875,63,0
