Episode,Reward,Num_steps,Finish
1,3.4500000000000064,76,False
2,1.5699999999999932,62,False
3,39.29999999999997,190,False
4,81.15000000000003,193,False
5,38.78999999999999,106,False
6,-0.7699999999999925,55,False
7,-0.26000000000000156,61,False
8,37.78999999999997,142,False
9,12.660000000000004,101,False
10,18.059999999999995,83,False
11,76.4199999999999,150,False
12,4.41,53,False
13,-6.709999999999997,35,False
14,2.6500000000000057,50,False
15,14.020000000000003,103,False
16,19.159999999999997,69,False
17,5.459999999999994,81,False
18,7.459999999999997,62,False
19,15.689999999999984,77,False
20,29.78000000000003,175,False
21,64.74999999999999,216,False
22,69.21000000000002,212,False
23,-4.720000000000001,46,False
24,4.010000000000002,125,False
25,-2.389999999999997,54,False
26,6.3799999999999955,55,False
27,3.039999999999999,71,False
28,72.49999999999999,151,False
29,31.119999999999997,80,False
30,7.609999999999992,56,False
31,-5.029999999999999,55,False
32,55.62999999999998,139,False
33,7.420000000000002,59,False
34,-1.4399999999999977,60,False
35,26.080000000000005,109,False
36,28.43999999999999,78,False
37,-4.809999999999999,52,False
38,13.479999999999997,66,False
39,45.25,110,False
40,50.83000000000003,135,False
41,10.419999999999998,92,False
42,8.489999999999998,58,False
43,19.849999999999994,82,False
44,11.160000000000007,73,False
45,55.41000000000005,162,False
46,3.830000000000002,79,False
47,-4.579999999999998,55,False
48,-2.030000000000001,44,False
49,3.600000000000005,56,False
50,2.169999999999998,85,False
51,-3.6600000000000037,63,False
52,1.6600000000000037,48,False
53,10.619999999999994,126,False
54,0.8000000000000007,64,False
55,-3.7799999999999976,52,False
56,5.84,102,False
57,25.03,92,False
58,68.65000000000002,142,False
59,0.5800000000000054,53,False
60,-3.8900000000000006,62,False
61,19.029999999999994,80,False
62,2.9399999999999977,59,False
63,-1.9699999999999989,56,False
64,-6.02,54,False
65,37.35999999999999,102,False
66,14.090000000000003,70,False
67,12.850000000000001,64,False
68,-1.2300000000000004,62,False
69,56.16999999999996,213,False
70,7.880000000000006,63,False
71,-3.2799999999999976,45,False
72,12.280000000000001,83,False
73,-2.8200000000000003,49,False
74,1.5,62,False
75,13.659999999999997,60,False
76,21.219999999999978,89,False
77,1.7600000000000016,57,False
78,1.5800000000000054,53,False
79,47.97000000000001,147,False
80,3.639999999999997,69,False
81,36.59,153,False
82,2.230000000000004,84,False
83,106.97999999999995,270,False
84,1.6999999999999993,57,False
85,5.390000000000001,59,False
86,-5.399999999999999,49,False
87,75.11999999999999,194,False
88,36.69000000000001,135,False
89,94.86000000000004,209,False
90,25.929999999999986,105,False
91,17.910000000000004,84,False
92,-1.620000000000001,53,False
93,72.49999999999996,178,False
94,17.00999999999999,72,False
95,34.93000000000001,107,False
96,101.79000000000002,169,False
97,-1.7899999999999956,52,False
98,3.4100000000000072,78,False
99,-2.3000000000000007,54,False
100,12.690000000000005,78,False
101,-1.1800000000000033,48,False
102,-6.879999999999997,37,False
103,0.7300000000000004,52,False
104,-0.039999999999995595,60,False
105,-0.059999999999991616,51,False
106,2.869999999999994,54,False
107,12.840000000000003,77,False
108,3.899999999999988,67,False
109,80.73999999999997,195,False
110,60.88999999999997,143,False
111,-1.399999999999995,43,False
112,-5.3100000000000005,41,False
113,6.549999999999994,55,False
114,54.22,141,False
115,3.649999999999995,54,False
116,-2.749999999999993,46,False
117,-1.4799999999999969,49,False
118,80.2,165,False
119,26.059999999999995,124,False
120,1.0300000000000011,53,False
121,1.110000000000003,55,False
122,13.339999999999996,85,False
123,98.59000000000005,262,False
124,20.85000000000003,80,False
125,78.24000000000005,187,False
126,73.48,157,False
127,15.569999999999986,77,False
128,87.57,217,False
129,-3.4999999999999964,59,False
130,7.060000000000002,88,False
131,33.51999999999998,116,False
132,29.93,128,False
133,-3.119999999999994,55,False
134,24.289999999999985,97,False
135,40.87999999999999,102,False
136,2.7099999999999937,69,False
137,-2.240000000000002,58,False
