Episode,Reward,Num_steps,Index_loc
1,31.8203125,67,0
2,23.05078125,62,3
3,93.00390625,148,2
4,25.71484375,62,0
5,23.16015625,60,0
6,26.21875,70,1
7,43.89453125,82,3
8,118.99609375,173,2
9,51.8359375,95,2
10,101.23046875,159,0
11,253.51171875,364,2
12,68.83984375,115,3
13,21.57421875,63,1
14,44.984375,98,3
15,113.5078125,168,0
16,27.421875,73,1
17,88.74609375,137,2
18,198.55078125,265,0
19,22.03125,58,3
20,173.56640625,217,2
21,177.79296875,243,0
22,189.62109375,303,2
23,33.00390625,77,3
24,46.1015625,86,2
25,50.625,94,3
26,27.74609375,64,0
27,23.01953125,64,1
28,268.7109375,391,2
29,32.171875,68,0
30,41.94921875,91,0
31,26.4375,70,1
32,28.4921875,73,2
33,62.3828125,98,3
34,14.67578125,48,1
35,28.41796875,70,0
36,173.6484375,279,2
37,33.21875,72,1
38,44.78125,95,3
39,58.0859375,101,2
40,268.48046875,374,2
41,81.0,130,0
42,62.41015625,102,0
43,20.18359375,60,1
44,113.7109375,187,0
45,36.23046875,77,2
46,121.07421875,215,2
47,16.94140625,50,1
48,100.015625,139,3
49,16.125,54,3
50,24.41796875,68,1
51,26.91796875,71,1
52,23.234375,67,1
53,48.8203125,95,0
54,22.33984375,60,1
55,32.296875,78,1
56,32.73828125,67,0
57,141.73046875,207,2
58,97.24609375,142,2
59,212.25390625,311,2
60,23.796875,62,3
61,56.64453125,97,3
62,52.27734375,97,2
63,31.3125,68,1
64,42.3828125,86,3
65,19.02734375,54,0
66,12.046875,44,1
67,25.16796875,62,3
68,46.421875,86,3
69,60.48046875,102,0
70,44.828125,90,3
71,20.83203125,64,1
72,59.44921875,106,0
73,68.80859375,104,3
74,45.53125,91,3
75,27.390625,62,3
76,53.82421875,113,0
77,37.6953125,88,3
78,73.1796875,112,3
79,37.4140625,84,2
80,61.3359375,103,3
81,50.0,98,0
82,33.62890625,75,1
83,176.49609375,254,2
84,21.09375,59,3
85,81.1015625,126,3
86,3.96484375,34,1
87,14.0390625,48,0
88,51.484375,119,0
89,57.3046875,100,0
90,61.5234375,108,2
91,30.23828125,78,2
