Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance,Mean veal
1,677.259662092655,1697,False,131.0,0.999788,10,0.8629878565980584
2,187.34798143687087,568,False,-137.0,0.9997170000000001,10,0.7931321654078333
3,960.2811856583578,1666,False,-129.0,0.9995087500000001,10,0.822779443630305
4,453.2562796691464,1104,False,-119.0,0.99937075,10,0.8632475448921205
5,118.56953007117522,452,False,-132.0,0.99931425,10,0.8357604279053301
6,175.91371526313202,543,False,-135.0,0.999246375,10,0.7776349557592713
7,141.5480718240438,464,False,-136.0,0.999188375,10,0.8535077003006932
8,629.8005012335096,1258,False,131.0,0.9990311249999999,10,0.8600240759570265
9,503.25050885453106,1136,False,123.0,0.998889125,10,0.7988874737633856
10,941.146683904873,1882,False,-121.0,0.9986538749999999,10,0.9002288190098698
11,477.39285668832366,993,False,123.0,0.9985297500000001,10,0.877709007153908
12,1865.0925042470788,3801,False,-125.0,0.9980546250000001,10,0.860584423960736
13,720.5595008588372,1513,False,121.0,0.9978655,10,0.899467821684863
14,156.27591106026435,489,False,-136.0,0.997804375,10,0.8295145882069798
15,540.0701192866534,1536,False,-118.0,0.997612375,10,0.8661039006952743
16,630.6003001677382,1234,False,124.0,0.997458125,10,0.8598046420953188
17,182.22555316054036,555,False,-135.0,0.99738875,10,0.8125178531741226
18,507.6193406490987,1074,False,122.0,0.9972545,10,0.8178531527276153
19,1282.462129128819,2753,False,121.0,0.996910375,10,0.8923595734100974
20,768.4188669850514,2229,False,132.0,0.99663175,10,0.8702621464951285
21,832.5496173596124,1841,False,124.0,0.996401625,10,0.8467504154128764
22,710.7459706884091,1461,False,122.0,0.996219,10,0.8437791810095322
23,138.99888074583052,414,False,-138.0,0.99616725,10,0.9225772271306046
24,132.35864190640538,443,False,-137.0,0.996111875,10,0.7864528793757377
25,623.6264553179063,1385,False,125.0,0.9959387500000001,10,0.8932630928809039
26,494.0461980850622,1012,False,127.0,0.9958122500000001,10,0.8694811752126698
27,572.5364113350432,1065,False,124.0,0.995679125,10,0.8481648225552881
28,924.7444549414914,1773,False,126.0,0.9954575,10,0.8200881827796782
29,554.4102045975623,1526,False,114.0,0.9952667500000001,10,0.8850697985995069
30,571.6348275137352,2161,False,131.0,0.994996625,10,0.8296173987277167
31,296.57622485650563,741,False,125.0,0.994904,10,0.8303479591974697
32,704.2349939456642,1455,False,118.0,0.994722125,10,0.85015936223424
33,128.509692950082,407,False,-141.0,0.99467125,10,0.7920286901445638
34,2575.8226042696447,4358,False,133.0,0.9941265,10,0.8587405269023776
35,1174.9348773022969,3115,False,-129.0,0.993737125,10,0.8596721814984395
36,121.4629055524781,406,False,-140.0,0.993686375,10,0.8814230332694566
37,527.1912185556221,1239,False,122.0,0.9935315,10,0.8374986605848525
38,427.567602464112,2144,False,117.0,0.9932635000000001,10,0.8567771263334221
39,1482.7168336428572,2461,False,121.0,0.992955875,10,0.8850041826745737
40,1038.407258717289,1999,False,-123.0,0.992706,10,0.9038990537272206
41,518.255273676163,1169,False,119.0,0.992559875,10,0.8540266972462939
42,144.37625861170469,487,False,-135.0,0.992499,10,0.8097404507680412
43,130.9575705675562,422,False,-139.0,0.99244625,10,0.8097372667110024
44,326.31591209032854,706,False,129.0,0.992358,10,0.8930281251444262
45,704.1681122834947,1456,False,127.0,0.992176,10,0.8845356749200189
46,1029.0785028267555,2829,False,-122.0,0.991822375,10,0.8788366898685038
47,108.95325388203699,385,False,-139.0,0.99177425,10,0.8515911331010965
48,179.45150100507456,536,False,-137.0,0.9917072499999999,10,0.838318278104086
49,497.9177721362955,993,False,125.0,0.991583125,10,0.8649552200199234
