Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance
1,-14.940936891126881,45,False,2.0,0.99999296875,3.980112098000871
2,-21.09723800605846,37,False,0.0,0.99998703125,3.9992720971691824
3,-18.76714104951118,40,False,-1.0,0.9999806250000001,3.9910648805374977
4,-21.167985302853083,37,False,2.0,0.9999746875,3.9614806886207434
5,-19.607307332750175,39,False,0.0,0.9999684375,3.9942403784804195
6,-18.06476505807773,41,False,3.0,0.9999618749999999,3.971410075695845
7,-20.329502960179074,38,False,2.0,0.9999557812500001,3.968482195286152
8,-24.24350441486062,33,False,1.0,0.99995046875,3.9651891878758696
9,-19.575433611527696,39,False,2.0,0.99994421875,3.9662493861508703
10,-22.03224828275122,36,False,4.0,0.9999384375,3.9966797484738246
11,-15.704178352920884,44,False,1.0,0.99993140625,3.9928612710956166
12,-22.648906016480787,35,False,-1.0,0.99992578125,3.9705159636848633
13,-20.358551507790093,38,False,0.0,0.9999196875,3.9887978643244395
14,-16.453165852471706,43,False,1.0,0.9999128125000001,3.992921664504463
15,-21.07992328031531,37,False,-2.0,0.999906875,3.9971082839424636
16,-19.611924541629303,39,False,2.0,0.999900625,3.985847908982675
17,-18.12053151442006,41,False,3.0,0.9998940625,3.9634234739102974
