Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel
1,-3.11180028900273,526,False,-181.0,-1.0,19.5,1.0290485914228236
2,-11.481391040642535,447,False,-122.0,-1.0,19.5,0.9318839214458698
3,-20.47674215657441,225,False,134.0,-1.0,19.5,1.1284851125252318
4,-21.146765101455504,222,False,136.0,-1.0,19.5,0.7806655623555983
5,-14.64351591438625,337,False,133.0,-1.0,19.5,1.2845798010244127
6,-32.71405294936186,92,False,143.0,-1.0,19.5,1.2145772183680295
7,-24.142963883453895,167,False,151.0,-1.0,19.5,1.4443876280231138
8,-32.70949676717463,73,False,142.0,-1.0,19.5,1.8707216077636488
9,-35.67959820612839,82,False,140.0,-1.0,19.5,1.3038269939985716
10,-28.14386060193181,132,False,146.0,-1.0,19.5,2.3425601538637597
11,-32.300280202391605,162,False,-176.0,-1.0,19.5,1.370472328143916
12,-32.96985789405022,82,False,137.0,-1.0,19.5,1.7450455001347929
13,-24.326650117095035,169,False,146.0,-1.0,19.5,1.174425815358846
14,-21.793317326420826,282,False,133.0,-1.0,19.5,1.387220738252236
15,-24.255698270557897,140,False,148.0,-1.0,19.5,1.4488237697974715
16,-23.139122660749017,208,False,127.0,-1.0,19.5,1.0354363515104454
17,-27.97113225179982,132,False,137.0,-1.0,19.5,1.3542696161101488
18,-24.97122616735527,196,False,140.0,-1.0,19.5,0.9667640224971383
19,-8.142916369408347,337,False,142.0,-1.0,19.5,1.1289516630212366
20,-32.24351788955217,124,False,134.0,-1.0,19.5,1.0215137368551341
21,-25.511991920746503,146,False,150.0,-1.0,19.5,1.6616332644185754
22,-21.762954074812757,365,False,123.0,-1.0,19.5,0.9854013173202251
23,-30.845544490470417,164,False,-119.0,-1.0,19.5,1.7702244686249131
24,-18.491645247801944,257,False,-126.0,-1.0,19.5,0.9426823276464807
25,-2.302470814477772,419,False,123.0,-1.0,19.5,1.1399813277511024
26,-24.183424827799904,253,False,-188.0,-1.0,19.5,0.9914732196801038
27,7.148422427570523,552,False,-180.0,-1.0,19.5,0.7329385399874994
28,-11.002225776279236,359,False,-187.0,-1.0,19.5,0.8082707390510113
29,-9.942138495439565,340,False,-122.0,-1.0,19.5,0.8889754115942597
30,-16.09650009407459,297,False,-184.0,-1.0,19.5,0.7861144036785153
31,15.115977883862058,927,False,126.0,-1.0,19.5,0.8684406544017951
32,-16.111148632672407,380,False,147.0,-1.0,19.5,0.9897436214506931
33,-9.179078751524283,360,False,-143.0,-1.0,19.5,0.7633757245923221
34,6.677456477231601,476,False,-133.0,-1.0,19.5,0.8303362372102943
35,-28.636941152273543,185,False,130.0,-1.0,19.5,0.812791546919659
36,43.69815314815487,1040,False,-139.0,-1.0,19.5,0.8820451630851118
37,-20.81338583981992,227,False,144.0,-1.0,19.5,0.8243313203634669
38,-1.4383874636490575,783,False,139.0,-1.0,19.5,1.127272874317149
39,-5.315695250295477,347,False,147.0,-1.0,19.5,0.8162338929905852
40,-11.19527680865782,344,False,136.0,-1.0,19.5,0.9315873195090807
41,-22.0643431066147,281,False,136.0,-1.0,19.5,0.9644968974707712
42,-13.991898440722924,306,False,133.0,-1.0,19.5,0.8592537757560148
43,-24.323961695401437,191,False,136.0,-1.0,19.5,0.8890106565766006
44,-32.30139842305155,157,False,140.0,-1.0,19.5,0.7747505992724394
45,-27.26659969976616,172,False,134.0,-1.0,19.5,0.9506416023173928
46,-32.812441961178465,108,False,135.0,-1.0,19.5,1.4846676873776148
47,-20.323819376884448,274,False,133.0,-1.0,19.5,0.7764794701870821
48,-29.53143368712241,208,False,119.0,-1.0,19.5,1.1653587993646046
49,-31.545043486739203,101,False,148.0,-1.0,19.5,1.1373847242211923
50,-13.033643000083284,247,False,137.0,-1.0,19.5,1.0420381294104821
51,-15.397770791234372,328,False,148.0,-1.0,19.5,1.0235729914976501
52,-31.235449093698747,106,False,-140.0,-1.0,19.5,1.4510216687587398
53,-24.006664142265024,177,False,140.0,-1.0,19.5,1.4051214370165892
54,-31.89309957745033,89,False,138.0,-1.0,19.5,1.9765583932771886
55,-28.99128876050952,136,False,133.0,-1.0,19.5,1.8393464877438366
56,-26.065943268250848,162,False,140.0,-1.0,19.5,1.158365949584965
57,-27.27641489604329,159,False,144.0,-1.0,19.5,1.1779549775715425
58,-30.878810861017023,144,False,145.0,-1.0,19.5,1.2024622865297312
59,-27.845714547900933,335,False,-175.0,-1.0,19.5,1.5262287511356631
60,-29.108497571410176,180,False,-119.0,-1.0,19.5,1.6957258113478828
61,-28.473308995883386,203,False,-188.0,-1.0,19.5,1.5809988332584728
62,-31.483386454478616,97,False,143.0,-1.0,19.5,1.2941635695067362
63,-26.596777136498268,242,False,122.0,-1.0,19.5,1.1006840436101744
64,-29.312589449933952,153,False,142.0,-1.0,19.5,1.2582665054298405
65,-31.471043691546434,146,False,135.0,-1.0,19.5,1.0297119388552558
66,-31.768837671951346,131,False,145.0,-1.0,19.5,0.7387699269403677
67,-28.16215950690352,158,False,144.0,-1.0,19.5,1.0340818097583158
68,-29.711131788524845,142,False,138.0,-1.0,19.5,1.0650247036383071
69,-29.294446553949086,170,False,133.0,-1.0,19.5,0.8853890794486848
70,-25.274788767522296,194,False,-136.0,-1.0,19.5,1.0878479244404131
71,-27.36072812567332,172,False,143.0,-1.0,19.5,0.9809997644997989
72,-28.73948415110651,137,False,147.0,-1.0,19.5,1.5545287240283006
73,-34.38688822478623,86,False,149.0,-1.0,19.5,1.2848494001203974
74,-17.31989359574516,252,False,139.0,-1.0,19.5,1.2131398833545741
75,-30.120384622502183,130,False,135.0,-1.0,19.5,1.0053263981151688
76,-33.87713912540532,84,False,148.0,-1.0,19.5,1.0583486252795264
77,-30.10533908500841,140,False,146.0,-1.0,19.5,1.0262723398052913
78,-28.002668150299357,145,False,143.0,-1.0,19.5,1.0412090046897307
79,-33.751744856412216,105,False,139.0,-1.0,19.5,1.0227473647555425
80,-33.76089548019852,101,False,142.0,-1.0,19.5,1.3668860154146314
81,-28.523458671720263,134,False,140.0,-1.0,19.5,1.1381742983772276
82,-30.605116027992395,106,False,145.0,-1.0,19.5,1.289832100610442
83,-35.68515045563947,74,False,146.0,-1.0,19.5,1.217273625469691
84,-30.037162471542757,135,False,135.0,-1.0,19.5,1.0604862172096208
85,-28.090398459461476,142,False,124.0,-1.0,19.5,1.5193450901813925
86,-27.49279680249804,163,False,135.0,-1.0,19.5,1.6818338959907526
87,-29.05648035740711,103,False,148.0,-1.0,19.5,1.032931120600123
88,-32.63460024712625,109,False,146.0,-1.0,19.5,0.9489801466492315
89,-27.32234187559996,167,False,141.0,-1.0,19.5,0.9098550878475806
90,-31.484677734980977,110,False,128.0,-1.0,19.5,1.4121848363035083
91,-33.39336102833492,98,False,140.0,-1.0,19.5,1.3218745611936487
92,-27.49866588521146,208,False,120.0,-1.0,19.5,1.2586548654245353
93,-11.046968812251386,283,False,132.0,-1.0,19.5,1.9685919609516465
94,-24.426620876748636,166,False,149.0,-1.0,19.5,1.174988236161294
95,-32.163392702306304,96,False,143.0,-1.0,19.5,1.281254318239083
96,-27.22038910354674,157,False,158.0,-1.0,19.5,1.203805359821006
97,-31.896104672307057,119,False,147.0,-1.0,19.5,1.0386961483301875
98,-33.99032073743003,89,False,153.0,-1.0,19.5,1.188539896541657
99,-31.160192558495776,122,False,138.0,-1.0,19.5,1.15978657650059
100,-30.84494835756364,137,False,139.0,-1.0,19.5,1.133558612589403
101,-30.3854952626874,122,False,149.0,-1.0,19.5,1.0002296702637068
102,-28.652506579577924,142,False,144.0,-1.0,19.5,1.0335006071937116
103,-24.527265751508025,194,False,134.0,-1.0,19.5,1.3080335230374236
104,-33.615440634862296,103,False,139.0,-1.0,19.5,0.9144378264709347
105,-29.80662389938817,142,False,135.0,-1.0,19.5,1.1157288832782029
106,-31.553824956183632,82,False,136.0,-1.0,19.5,2.0361258625973013
107,-26.65613366780466,161,False,145.0,-1.0,19.5,1.2967516152675616
108,-26.63369638836597,168,False,145.0,-1.0,19.5,1.0382036057639024
109,-10.328400364619625,275,False,-134.0,-1.0,19.5,1.2226265350847494
110,-29.508540006783747,167,False,116.0,-1.0,19.5,1.2973130075306716
111,-31.134955142717637,102,False,156.0,-1.0,19.5,1.3192038807798834
112,-17.112105286954428,221,False,135.0,-1.0,19.5,1.1430636653487198
113,-26.975307085322484,154,False,140.0,-1.0,19.5,0.8412802034798467
114,-29.056787836097534,153,False,129.0,-1.0,19.5,0.9633291684779882
115,-22.54742823874421,242,False,123.0,-1.0,19.5,1.0892306595457386
116,-35.68659409981682,71,False,143.0,-1.0,19.5,1.562528847998769
117,-25.03227958053173,187,False,133.0,-1.0,19.5,1.2342280076278491
118,-31.367936916962265,157,False,137.0,-1.0,19.5,1.0051859581326195
119,-17.27295971869784,277,False,154.0,-1.0,19.5,0.9611355052600791
120,-21.58683373397306,207,False,145.0,-1.0,19.5,1.174853326200512
121,-35.38026059669327,65,False,150.0,-1.0,19.5,1.5762945412331297
122,-31.13108150688239,86,False,143.0,-1.0,19.5,1.3862485414209131
123,-31.13100065387431,122,False,130.0,-1.0,19.5,1.2196599475737233
124,-26.073180526580124,217,False,128.0,-1.0,19.5,0.9981339976507932
125,-28.948529317512396,141,False,141.0,-1.0,19.5,1.5253800541129503
126,-19.68042936183156,243,False,129.0,-1.0,19.5,1.1921103205585433
127,-18.35749362121948,361,False,119.0,-1.0,19.5,1.0675442508960094
128,-12.625603888579079,305,False,136.0,-1.0,19.5,1.475468935319092
129,-32.77125960712135,82,False,135.0,-1.0,19.5,1.739127871934282
130,-31.771962516954257,139,False,-136.0,-1.0,19.5,0.9240552809877817
131,-25.829357643344576,200,False,-127.0,-1.0,19.5,1.2179232641756972
132,-33.41223396305527,103,False,-152.0,-1.0,19.5,0.9482453918000864
133,19.297613800722985,654,False,-101.0,-1.0,19.5,1.1971469103072965
134,-8.711722666116678,369,False,128.0,-1.0,19.5,1.1876691575248872
135,-31.788927533393107,90,False,-149.0,-1.0,19.5,1.3381482319699394
136,-28.1840222260221,161,False,133.0,-1.0,19.5,1.874498667158246
137,-29.896282300792983,143,False,137.0,-1.0,19.5,1.0965930154737187
138,-1.2373800794482293,446,False,125.0,-1.0,19.5,1.338585349332025
139,-18.144786352657842,264,False,-144.0,-1.0,19.5,1.2286571038489094
140,-33.19071127397106,97,False,-144.0,-1.0,19.5,1.268285971498324
141,-26.09138810773193,186,False,-140.0,-1.0,19.5,0.9720328616681546
142,-26.009757856491774,267,False,-183.0,-1.0,19.5,1.0422274470024075
143,-28.12444267854378,148,False,-133.0,-1.0,19.5,1.63809064342309
144,-29.254219139914433,156,False,-148.0,-1.0,19.5,0.8264792513427659
145,-17.18144696241902,345,False,-178.0,-1.0,19.5,1.336777010719242
146,-21.63638045562131,236,False,-136.0,-1.0,19.5,1.1459670565493643
147,-24.055921568317075,184,False,-134.0,-1.0,19.5,1.0313148064020479
148,-9.138642079735408,413,False,-129.0,-1.0,19.5,1.0232267942062097
149,-11.867981933208998,337,False,129.0,-1.0,19.5,0.9022840271497339
150,-22.367892161982233,205,False,138.0,-1.0,19.5,0.9713641638571107
151,-11.775548746099439,298,False,-122.0,-1.0,19.5,1.2352113937674873
152,-8.945197547871306,422,False,-184.0,-1.0,19.5,1.2550524939117633
153,-21.45107811477604,339,False,-136.0,-1.0,19.5,1.1313237846177553
154,-26.582021953645203,134,False,150.0,-1.0,19.5,1.3313141001528914
155,-11.497014497416004,385,False,124.0,-1.0,19.5,1.1437508110948778
156,-24.965605982201076,297,False,-180.0,-1.0,19.5,0.9012631822764611
157,-13.22252476228417,390,False,-121.0,-1.0,19.5,0.7711799444132678
158,-27.343574784518722,332,False,120.0,-1.0,19.5,0.7955263776208326
159,-7.975608504034952,352,False,134.0,-1.0,19.5,0.9522239954448072
160,3.5108280045546465,450,False,-135.0,-1.0,19.5,0.9284034095455395
161,-18.80566544273212,290,False,-184.0,-1.0,19.5,0.8524575138777826
162,-12.968652469261805,387,False,-152.0,-1.0,19.5,1.1770537081149735
