Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser
1,-54.803809086634544,47,False,-151.0,-1.0,3.857765580363005,1.1741506712848042,100.0
2,19.70572866900705,113,False,-129.0,-1.0,10.52367535496172,4.313685975696859,100.0
3,34.203200166275465,149,False,-123.0,-1.0,10.279062662352416,4.342570804314408,94.63087248322147
4,-51.411783837073756,65,False,-158.0,-1.0,3.9781149518192973,1.8343096485903236,100.0
5,-50.3088464901826,64,False,-161.0,-1.0,3.833280162063353,2.2288636300727376,100.0
6,-49.83197733932995,73,False,-159.0,-1.0,3.9429467415925274,1.950655356567825,100.0
7,29.439636049319944,167,False,-116.0,-1.0,11.797688582183222,5.0035057117013,85.62874251497006
8,16.48864095492023,119,False,-116.0,-1.0,12.566593517779546,4.198906961073238,90.75630252100841
9,39.24852093835315,140,False,-125.0,-1.0,11.015289310632399,4.031954610556256,74.28571428571429
10,22.125200491849185,122,False,-126.0,-1.0,10.346270094552429,4.099759096832474,100.0
11,42.92032891455412,153,False,-122.0,-1.0,10.643800731139955,5.007927824269822,83.00653594771242
12,130.77594093910372,250,False,-120.0,-1.0,11.061929461130656,7.183792338650673,70.0
13,29.794175381306573,127,False,-121.0,-1.0,10.966218684552876,3.854164067636781,85.8267716535433
14,45.53560228963548,184,False,-116.0,-1.0,12.524099107898941,5.95434257895787,85.86956521739131
15,-49.30530245312694,76,False,-160.0,-1.0,3.9198219158175416,1.8790197773031603,100.0
16,37.29984452734341,157,False,-120.0,-1.0,10.810678678949891,4.559664613478174,92.35668789808918
