Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel
1,2.097722489426914,107,False,-103.0,-1.0,3.7974474270017984,4.85688837334975
2,-32.68274989288044,107,False,-108.0,-1.0,3.724796234239183,4.278033830573626
3,-34.6624921654418,99,False,-102.0,-1.0,3.7733185307284356,4.170866389601312
4,-11.11066220400928,103,False,-113.0,-1.0,3.7467965471628855,4.667070828384982
5,-8.705947195697455,111,False,-106.0,-1.0,3.780621464011743,4.672752867691924
6,-36.876075577903805,96,False,-106.0,-1.0,3.917759329326522,4.145457721650018
7,30.283264012082796,133,False,-106.0,-1.0,3.9574060578389783,4.836966559782806
8,-8.911658391414498,113,False,-90.0,-1.0,3.771778864669891,4.7782490280976075
9,-29.029758183137265,106,False,-111.0,-1.0,3.9072703188646662,4.274677374964703
10,-2.726642927289852,110,False,-106.0,-1.0,3.9911694139629628,4.6566531604769725
11,-8.361133279991712,105,False,-101.0,-1.0,3.717491380290736,4.671176106500484
12,-32.251465110506636,110,False,-87.0,-1.0,3.9880673874577375,4.17204378682866
13,-13.811445317588593,105,False,-109.0,-1.0,3.7652238347235665,4.6101279141935745
14,-18.968660048672184,95,False,-103.0,-1.0,3.789567398525689,4.581297590708556
15,-15.26251513842221,99,False,-105.0,-1.0,3.6568055710191483,4.6711264795487315
16,-34.771793716374475,98,False,-103.0,-1.0,3.70028747868917,4.1842699787646
17,7.212401435913435,110,False,-108.0,-1.0,3.8525529983235822,4.8574540991632436
18,-34.36883394212592,98,False,-107.0,-1.0,3.7894710444688444,4.173372571884027
19,-29.88371455782308,96,False,-100.0,-1.0,3.952667892260956,4.372039295015081
20,-32.09332953760551,100,False,-101.0,-1.0,3.6558886530256403,4.198991961965803
21,-36.33959603213097,91,False,-94.0,-1.0,3.8095687812658885,4.069525956391142
22,-28.367585336161692,100,False,-97.0,-1.0,3.9241304859334223,4.395321879358963
23,-35.87884233835139,99,False,-107.0,-1.0,3.8035089078831987,4.22491322831025
24,-36.198013271444964,93,False,-99.0,-1.0,3.9339434380259637,4.063289609517382
25,-39.47355856586739,87,False,-99.0,-1.0,3.919612621678616,4.122168679860817
26,-10.39377337909685,113,False,-100.0,-1.0,3.647205826142473,4.78232498634483
27,-29.756858818922726,98,False,-103.0,-1.0,3.9946674820023667,4.327868425075858
28,-27.822767699759964,106,False,-93.0,-1.0,3.694673400437485,4.392726949451245
29,-15.001695088099957,103,False,-107.0,-1.0,3.690313068406717,4.788787242599302
30,16.93647875079057,118,False,-105.0,-1.0,3.972566387035475,4.840222971648041
31,-1.8763637165966713,123,False,-110.0,-1.0,3.870613926397409,4.624592238001722
32,-15.106538423053792,102,False,-109.0,-1.0,3.8372110723183392,4.592629922841511
33,-30.05487837747018,102,False,-95.0,-1.0,3.8649099261284707,4.256978688289083
34,15.590411083068574,119,False,-108.0,-1.0,3.689104867680534,4.868536290284168
35,-4.0795811318245825,106,False,-107.0,-1.0,3.8782346920538258,4.662330036800583
36,-33.341130958713066,98,False,-103.0,-1.0,3.7319562086194042,4.224132723550369
37,-24.71695587328913,108,False,-108.0,-1.0,3.866729912545804,4.291681712801585
38,-30.720216267830025,102,False,-102.0,-1.0,3.9801410597990343,4.226767627081797
39,-5.32929543838852,106,False,-98.0,-1.0,3.778765167829168,4.664494742683293
40,-34.5722032729347,96,False,-101.0,-1.0,3.881458500469031,4.194089578326384
41,-14.938870280306816,97,False,-95.0,-1.0,3.9632281618304877,4.63974465279043
42,-3.403329512192407,114,False,-101.0,-1.0,3.875233460235665,4.669300459474407
43,-30.288157008792613,102,False,-100.0,-1.0,3.8231536558907093,4.195214220824853
44,-6.935796615550068,117,False,-103.0,-1.0,3.7106421205813804,4.690251970456706
45,-15.20465167834957,96,False,-109.0,-1.0,3.654588661025975,4.592685026720574
46,-15.049446934854004,100,False,-99.0,-1.0,3.8421301358373134,4.653019081621896
47,-28.244409500788116,102,False,-97.0,-1.0,3.9224423740834786,4.253817087322401
48,-17.72293919069631,119,False,-95.0,-1.0,3.8036994735005742,4.469901615931817
49,-27.462845506492087,110,False,-98.0,-1.0,3.8618946186457204,4.292291009273718
50,-15.636729624036285,100,False,-93.0,-1.0,3.7985794174873306,4.658685565851629
51,-10.327716192215185,106,False,-100.0,-1.0,3.6190318537530435,4.686436882220595
52,-5.805981617726523,108,False,-100.0,-1.0,3.9633852186118514,4.6487364816410395
