Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel
1,3.9030970828678804,110,False,-101.0,-1.0,3.838868302554578,4.848865498223511
2,-33.49090286273614,104,False,-111.0,-1.0,3.755562901435741,4.267201026653101
3,-28.641214385110963,118,False,-102.0,-1.0,3.9853448155147433,4.25846019385864
4,-11.990925624303443,107,False,-106.0,-1.0,3.9213947962724998,4.6591285181288375
5,-5.386929094558646,108,False,-106.0,-1.0,3.724261576436226,4.720372626760595
6,-31.751690420398912,107,False,-96.0,-1.0,3.7822100905296376,4.223115290493365
7,10.028093918265057,113,False,-104.0,-1.0,3.9428007828433675,4.836322695663842
8,-12.273982660528667,108,False,-96.0,-1.0,3.9603263364941066,4.714793814665258
9,-31.222459379904684,101,False,-106.0,-1.0,3.7147138297884275,4.2661856363532085
10,-6.030781772579765,108,False,-109.0,-1.0,3.9516838069762352,4.654901655781066
11,-8.870284469057808,109,False,-107.0,-1.0,3.7429422947904327,4.678059275379541
12,-32.240204637726194,108,False,-88.0,-1.0,3.875858706724406,4.220520033912854
13,-17.670954171572284,102,False,-112.0,-1.0,3.7279446768847833,4.6065503770517475
14,-19.693703810291737,96,False,-104.0,-1.0,3.7628781278706245,4.579709828448055
15,-16.24052033268722,97,False,-104.0,-1.0,3.98460237377511,4.637516948953751
16,-39.19693464700836,87,False,-99.0,-1.0,3.668571381176,4.112086071333066
17,0.024503460737371086,103,False,-109.0,-1.0,3.9784628676620746,4.844564338684878
18,-38.95442526912333,87,False,-103.0,-1.0,3.714477160873859,4.110629497979093
19,-30.32662208657051,97,False,-101.0,-1.0,3.904616143168373,4.391324080781263
20,-33.86143093077643,101,False,-100.0,-1.0,3.7075858426683888,4.200751148436292
21,-38.63363034473902,87,False,-100.0,-1.0,3.8140079742136894,4.094987310281816
22,-36.410918076797245,86,False,-101.0,-1.0,3.7864095789382284,4.342994199332045
23,-42.8588289572897,79,False,-104.0,-1.0,3.873514667829015,4.058911242522299
24,-38.20885488522468,93,False,-94.0,-1.0,3.903172919382393,4.125407759941393
25,-44.56439857947669,75,False,-100.0,-1.0,3.7343209588837207,4.041091076241186
26,-19.74172438612966,98,False,-94.0,-1.0,3.714868498043541,4.781629635619798
27,-27.603751536238157,101,False,-91.0,-1.0,3.979491280146911,4.39073614803567
28,-34.08493436945276,85,False,-92.0,-1.0,3.8545295221413265,4.3379067992627185
29,-13.523527440246852,111,False,-93.0,-1.0,3.6721477467768024,4.78539331577433
30,1.2916297541761779,104,False,-113.0,-1.0,3.778496861357602,4.8715287615777925
31,-12.940609594094774,107,False,-107.0,-1.0,3.883147682297224,4.594075175211112
32,-22.02278539317414,96,False,-98.0,-1.0,3.6460178589428844,4.6010822168318555
33,-37.57305865093996,85,False,-97.0,-1.0,3.9480833546134577,4.139562458271051
34,0.31750838606988196,105,False,-103.0,-1.0,3.9105118426761076,4.852853505096088
35,-15.62973230531216,98,False,-95.0,-1.0,3.910068883105073,4.641352180890473
36,-40.99024849647558,84,False,-97.0,-1.0,3.692471116197928,4.1289981843105386
37,-39.330542064588045,83,False,-107.0,-1.0,3.907048501747799,4.131912916332079
38,-45.0145697977195,70,False,-105.0,-1.0,3.9816001900157754,3.9583697332867556
39,-10.967489436850059,108,False,-104.0,-1.0,3.9128683185253266,4.65908774835299
40,-42.28876506477484,79,False,-99.0,-1.0,3.9674739269110924,4.046932968346378
41,-17.477371887060883,98,False,-100.0,-1.0,3.615848867792252,4.6749262515198895
42,-12.93253952005864,103,False,-113.0,-1.0,3.753437249522126,4.671217411629928
43,-41.043976335824794,80,False,-97.0,-1.0,3.734522321379857,4.048911534770741
44,-26.8462708478566,86,False,-98.0,-1.0,3.904664735503458,4.628161801485518
45,-18.669281809313112,100,False,-110.0,-1.0,3.9104853599244738,4.584058826086111
46,-8.121473287936311,107,False,-100.0,-1.0,3.94009805220301,4.661018548611656
47,-42.67660016112819,76,False,-107.0,-1.0,3.818571994323144,4.07965396630492
48,-30.482011628500565,94,False,-91.0,-1.0,3.9238758445464703,4.371924255944868
49,-43.190964192490895,76,False,-105.0,-1.0,3.8840872206805384,4.0697503796913415
50,-20.45685649697677,94,False,-107.0,-1.0,3.6819452977633276,4.666603286502922
51,-16.818891621977237,101,False,-113.0,-1.0,3.6448851892818666,4.680245369363871
52,-8.455679270466149,107,False,-106.0,-1.0,3.992623020362624,4.654019574051566
53,18.277140285772887,126,False,-105.0,-1.0,3.883629382097649,4.849261576788397
54,5.092309735108515,108,False,-106.0,-1.0,3.8515323717551047,4.8591959260110915
55,-19.88212122266132,95,False,-101.0,-1.0,3.7138285693452078,4.669217822766912
56,-35.264179925790216,88,False,-97.0,-1.0,3.7822292452130655,4.359763037886958
57,-30.119418060576642,85,False,-103.0,-1.0,3.5886059619823096,4.575319775640416
58,16.473665894711615,129,False,-114.0,-1.0,3.657424338098227,4.869682766859918
59,-39.89914097867262,80,False,-101.0,-1.0,3.9847149266326443,4.098785195109667
60,-44.114970296076876,76,False,-105.0,-1.0,3.9727209072130862,4.013908305836498
61,-36.712062430856435,91,False,-97.0,-1.0,3.792947185537807,4.124652379929283
62,-39.122474577118936,85,False,-110.0,-1.0,3.7277905178071866,4.1661773843882495
63,-31.688692595616395,94,False,-89.0,-1.0,3.6160610651890748,4.405989608905734
64,3.733019410121173,107,False,-111.0,-1.0,3.9903415546299423,4.848497951938553
65,-11.676060806993704,112,False,-101.0,-1.0,3.679658731213249,4.787939181767537
66,-20.82203367572108,94,False,-108.0,-1.0,3.6631249701747453,4.593651742446534
67,-16.868888484963804,105,False,-99.0,-1.0,3.6972907406419075,4.746943605110227
68,12.705667824068698,121,False,-110.0,-1.0,3.611128374793653,4.8746074695440305
69,-42.26493886331656,78,False,-104.0,-1.0,3.9042794857976264,4.001370037720801
70,-28.95357148958971,97,False,-97.0,-1.0,3.7486788941582327,4.408878277070321
71,-39.28167383076488,83,False,-106.0,-1.0,3.9814627261469164,4.124966308115477
72,-12.920839153848917,103,False,-100.0,-1.0,3.70749036719349,4.669593906667518
73,-41.38477433824502,81,False,-103.0,-1.0,3.932394432638836,3.9634931298708658
74,-41.153474181356515,81,False,-108.0,-1.0,3.811980699737661,4.132136620195974
75,10.888331079242647,117,False,-108.0,-1.0,3.620827345116993,4.869749966079497
76,-21.219409155561046,92,False,-100.0,-1.0,3.822807853840269,4.646334980153884
77,-10.795604683123905,104,False,-106.0,-1.0,3.662226206452252,4.719654231359107
78,-32.368821263076114,93,False,-102.0,-1.0,3.8274901977387583,4.3265143673346245
79,-33.290291139646044,86,False,-101.0,-1.0,3.8049010393421745,4.35037154922002
80,-32.927294236671884,90,False,-101.0,-1.0,3.9802845468050614,4.29339629348057
81,-42.524209580004936,76,False,-98.0,-1.0,3.937487127278541,4.018313214452447
82,-39.04189388191635,86,False,-91.0,-1.0,3.88789977123334,4.07770910509862
83,-31.135049486634262,84,False,-110.0,-1.0,3.76861767161124,4.498736887460663
84,-16.561181789828396,96,False,-100.0,-1.0,3.588385765794125,4.679713750852291
85,-40.90884377729435,79,False,-94.0,-1.0,3.9627794321237233,4.00439500698195
86,-43.27945819989314,75,False,-94.0,-1.0,3.713005624214297,4.03785010482495
87,-44.200989138847596,74,False,-98.0,-1.0,3.782329724474175,4.018954918442948
88,-42.968410067467175,78,False,-105.0,-1.0,3.6399364795858724,4.082433507079259
89,-38.5989601922765,86,False,-88.0,-1.0,3.829956698160431,4.0850006837863475
90,-20.92474582126959,98,False,-98.0,-1.0,3.7915735669056287,4.585680738438339
91,-15.810393344311336,107,False,-90.0,-1.0,3.7463170419583443,4.7380065861110205
92,-31.500564985059814,93,False,-91.0,-1.0,3.9134167087415883,4.367978548185439
93,10.611315494393736,115,False,-101.0,-1.0,3.8246052641247745,4.85506022424923
94,-30.696615885066894,93,False,-96.0,-1.0,3.845820356606759,4.377480310738407
95,-12.311781738668927,107,False,-99.0,-1.0,3.9338760678157305,4.650477434347479
96,-16.079199033249154,99,False,-96.0,-1.0,3.752702126759211,4.662674636326053
97,-12.82217134451352,107,False,-92.0,-1.0,3.642089241354135,4.788785582162422
98,-29.491406813463986,96,False,-102.0,-1.0,3.7153831215120947,4.403566773156247
99,-34.395622976506445,90,False,-89.0,-1.0,3.826191897539481,4.30933559069203
100,-25.636959294399418,89,False,-106.0,-1.0,3.9501704520078857,4.548507351056788
101,-40.9206538781971,78,False,-95.0,-1.0,3.8738356450587244,4.000068160117221
102,-43.30187301053833,75,False,-105.0,-1.0,3.6704148781406936,4.050536929642161
103,-16.789568281441063,97,False,-111.0,-1.0,3.930833476727217,4.63804817442859
104,-17.35440972007617,100,False,-114.0,-1.0,3.697550752642315,4.776288847667165
105,-28.59466296107548,98,False,-102.0,-1.0,3.997478111261232,4.3819527224856145
106,9.769396157683815,113,False,-105.0,-1.0,3.90354146245623,4.850624875557007
107,-25.64021238247191,87,False,-106.0,-1.0,3.6343329094333914,4.576300774256688
108,0.26839279365196234,106,False,-103.0,-1.0,3.5718575012777762,4.885254977762981
109,-43.65352616323218,75,False,-103.0,-1.0,3.811125686117997,4.029034891985357
110,-40.00621409606893,80,False,-99.0,-1.0,3.841860068889209,4.111460197810084
111,-18.020720350423417,104,False,-93.0,-1.0,3.6258188284104778,4.797312972525385
112,-19.200428604108282,96,False,-101.0,-1.0,3.964130778060377,4.761055442919314
113,-40.04605259548045,82,False,-93.0,-1.0,3.8483567620168477,4.044429646929863
114,-36.18090028868898,88,False,-95.0,-1.0,3.97851719843394,4.1626781537091695
115,-14.157479912918866,103,False,-87.0,-1.0,3.9204121076003555,4.759065473831973
116,-40.797628516879186,82,False,-106.0,-1.0,3.8871693958820024,4.087932993231977
117,-24.93807516913278,85,False,-97.0,-1.0,3.80529802768254,4.634582301629159
118,-6.136668124698701,111,False,-93.0,-1.0,3.8131518178681176,4.67164457955834
119,-41.79447466443736,77,False,-100.0,-1.0,3.7341642723691995,4.016452457879779
120,-41.06503545702333,80,False,-96.0,-1.0,3.815290970013839,4.1179710696393155
121,-17.995600261429445,99,False,-109.0,-1.0,3.623018194312402,4.608533089900521
122,-16.78611868390579,95,False,-94.0,-1.0,3.635813125669959,4.672730448141106
123,-17.575125796095165,98,False,-104.0,-1.0,3.9811177716318693,4.636220314749042
124,-39.59457229771948,82,False,-102.0,-1.0,3.9370672271843077,4.116024311631918
125,-40.8260249493578,81,False,-95.0,-1.0,3.9999009475429372,4.102828061920993
126,-12.906450703124598,101,False,-92.0,-1.0,3.626198242537683,4.679404861736342
127,-39.91991288160072,81,False,-92.0,-1.0,3.8522784528392955,4.034839477602761
128,-44.29574128488531,75,False,-102.0,-1.0,3.8426830776099514,3.9645275590382516
129,-44.1047659511194,74,False,-96.0,-1.0,3.9507127078044775,3.993345577785796
130,-17.62015169629626,100,False,-98.0,-1.0,3.619022246647227,4.681305070971138
131,-35.5072907349041,93,False,-80.0,-1.0,3.825818300889368,4.134299608252903
132,-43.75108007091849,73,False,-100.0,-1.0,3.6796095687111467,4.067784475934475
133,-45.19428544240687,70,False,-96.0,-1.0,3.9624699210680325,3.955304083001933
134,-28.570276462446593,84,False,-97.0,-1.0,3.7857257129604656,4.549553736828135
135,-23.817064863803225,87,False,-96.0,-1.0,3.950007886245614,4.541362987761653
136,-30.646510380876542,92,False,-97.0,-1.0,3.7402491074473887,4.379882508170103
137,-32.49164916154869,89,False,-91.0,-1.0,3.872875615737374,4.346417003912914
138,-15.660172901794311,100,False,-95.0,-1.0,3.967870789668544,4.755835018258076
139,-40.94687166657454,80,False,-103.0,-1.0,3.76409497685008,4.126660470012576
140,-41.19609138991379,78,False,-97.0,-1.0,3.693614123696964,4.113998459222225
141,-43.736307996275954,74,False,-101.0,-1.0,3.8957152988298067,4.0077373931071145
142,-42.55245677271256,77,False,-101.0,-1.0,3.7526438385679595,4.0982166573332695
143,-18.4940030036119,99,False,-105.0,-1.0,3.6802009470742103,4.73782746106706
144,-43.366519685870486,75,False,-97.0,-1.0,3.8822841699926496,4.021866500501831
145,-42.712243965437295,76,False,-104.0,-1.0,3.713105548311959,4.054074654435298
146,-9.400044306047903,114,False,-100.0,-1.0,3.804996510830735,4.772445197090539
147,-40.16925283591151,84,False,-99.0,-1.0,3.732795759158296,4.1193178201238405
148,-21.893923478685586,94,False,-110.0,-1.0,3.7052654434723613,4.594673805696731
149,-11.52491274816262,110,False,-95.0,-1.0,3.666293858853523,4.775830762896856
150,-37.605269713622256,88,False,-97.0,-1.0,3.9059536496036737,4.090036868403496
151,-12.676987137682126,96,False,-97.0,-1.0,3.8816629074515565,4.645856340182945
152,-41.852764181543634,77,False,-94.0,-1.0,3.7600171251967685,3.9434469274680626
153,-37.38666947119437,87,False,-96.0,-1.0,3.9913995086025955,4.014798304834136
154,-41.25947188456936,79,False,-97.0,-1.0,3.889402855792808,4.093536455137066
155,-40.44017791810895,79,False,-92.0,-1.0,3.8364742731987063,3.9520401394030054
156,-32.59314219542935,96,False,-97.0,-1.0,3.934139043881783,4.143788171253012
157,-5.555778378839506,110,False,-103.0,-1.0,3.6633772443642987,4.624022421215407
158,-42.35971040597789,77,False,-98.0,-1.0,3.744273354280477,4.0540687200347225
159,-17.87129716676833,96,False,-113.0,-1.0,3.945641861427399,4.567563109691643
160,-16.124640902561374,93,False,-102.0,-1.0,3.779831543733061,4.574062212650734
161,-27.853431289498538,91,False,-86.0,-1.0,3.7367495133739648,4.375356935461021
162,-16.90976141781605,92,False,-88.0,-1.0,3.562420544666262,4.791860017037202
163,-18.8294485108388,92,False,-96.0,-1.0,3.5972546216594727,4.587161352979424
164,-20.13054638047378,89,False,-99.0,-1.0,3.6445016448456062,4.711460690665467
165,-33.21579138055684,86,False,-93.0,-1.0,3.661306950530843,4.30815270113174
166,-7.644652365814885,103,False,-103.0,-1.0,3.8340288409503707,4.665738905167424
167,-11.963866612068209,99,False,-101.0,-1.0,3.7053505245316796,4.664921362856121
168,-33.00281490412982,86,False,-97.0,-1.0,3.956827685600879,4.327582063554072
169,-39.49069037225817,82,False,-106.0,-1.0,3.9379343492731667,4.113033436244445
170,-10.050734084796304,103,False,-101.0,-1.0,3.8161429406855496,4.6656885685950735
171,-2.224695686647479,115,False,-101.0,-1.0,3.685010010661,4.685694959373011
172,-19.130035416115916,96,False,-106.0,-1.0,3.6061664529500126,4.606151674042242
173,-26.314098758508898,81,False,-102.0,-1.0,3.7336521888634695,4.544558695436995
174,-1.7019333402185666,108,False,-95.0,-1.0,3.804985262329876,4.665319152611859
175,-38.561837236510556,84,False,-93.0,-1.0,3.7917983565309203,4.072307086837966
176,-8.438785412135978,105,False,-95.0,-1.0,3.6186797303363925,4.794857242295429
177,-15.814471634356828,97,False,-104.0,-1.0,3.9931875506188623,4.555542212771732
178,-13.397335042512744,97,False,-108.0,-1.0,3.8085976148931513,4.581055881541952
179,-34.488599481453164,95,False,-101.0,-1.0,3.807628076482252,4.154316679417695
180,15.506412833507355,116,False,-113.0,-1.0,3.8986407704191186,4.8474524686121025
181,-27.550893532344517,95,False,-93.0,-1.0,3.876144236141816,4.3740680156716785
182,12.48376312624093,113,False,-106.0,-1.0,3.767913487940108,4.855490518395945
183,-9.827472221642324,108,False,-88.0,-1.0,3.8704647583828824,4.730518036707373
184,-34.976251760179295,91,False,-95.0,-1.0,3.881312414894724,4.106887650466268
185,-9.063442189736556,106,False,-94.0,-1.0,3.8344659082775667,4.6642978708567275
186,-7.410456167530008,105,False,-85.0,-1.0,3.900139065888135,4.767097559056821
187,-9.170989169055886,106,False,-95.0,-1.0,3.9243700375600943,4.7518799653307555
188,-7.606507505068173,104,False,-105.0,-1.0,3.9756935551258996,4.647922379831121
189,-12.7324165133994,108,False,-105.0,-1.0,3.7959122620430716,4.606284194395239
190,-18.986118885589804,92,False,-111.0,-1.0,3.7603671082279506,4.577811578688536
191,-36.25913128149127,89,False,-100.0,-1.0,3.8303689714551745,4.1841015433840285
192,-37.59847040996844,88,False,-102.0,-1.0,3.998337810759204,4.125341935093854
193,-10.74199898482835,99,False,-95.0,-1.0,3.9915466844559138,4.749800052032853
194,-17.987239357655127,92,False,-107.0,-1.0,3.6565050149778697,4.5893446268442935
195,-24.479456168983504,100,False,-94.0,-1.0,3.944541201388048,4.394642548491247
196,-26.467185113787593,96,False,-102.0,-1.0,3.6209498967259415,4.4151686357193585
197,-12.852278303767037,101,False,-101.0,-1.0,3.7943591420213933,4.656445694817599
198,-36.59297052233437,84,False,-104.0,-1.0,3.9907751416404356,4.121892244923704
199,-23.000833586492888,107,False,-96.0,-1.0,3.7615451881879904,4.43675128614234
200,-23.821078582706484,106,False,-100.0,-1.0,3.668882425650736,4.442974437265393
201,15.219774942493117,114,False,-108.0,-1.0,3.78545676405897,4.852396338892153
202,17.088869366633688,114,False,-104.0,-1.0,3.5971728816197097,4.870325953127784
203,19.635695278223977,120,False,-104.0,-1.0,3.8810541345703142,4.847555596975144
204,-8.027297232002049,100,False,-105.0,-1.0,3.9064774529109805,4.653578606576193
205,-21.357120230435456,107,False,-102.0,-1.0,3.649463097518006,4.447715589278334
206,3.3513195540101606,118,False,-96.0,-1.0,3.9837589523730905,4.765516714970344
207,-7.271650793743007,106,False,-109.0,-1.0,3.842452216230567,4.662656301843389
208,-34.7579538546273,96,False,-96.0,-1.0,3.9229219582791766,4.091976051405557
209,-14.709607500604456,97,False,-107.0,-1.0,3.962049413567956,4.56230921970594
210,-37.14728195192614,89,False,-104.0,-1.0,3.885910873133509,4.101653716699587
211,-27.558405135731725,100,False,-109.0,-1.0,3.7912113020624916,4.409691980592907
212,-34.79521184412178,95,False,-106.0,-1.0,3.7307038052065553,4.207550596776663
213,-20.183810837420758,112,False,-99.0,-1.0,3.780208013243172,4.448214596835896
214,-33.89092854922826,96,False,-104.0,-1.0,3.816837818383172,4.229576881431664
215,-26.183546834037145,100,False,-104.0,-1.0,3.831163120960196,4.41021637278609
216,-6.173757943274786,105,False,-108.0,-1.0,3.729147676892347,4.6755703625801415
217,-27.30389248103142,99,False,-112.0,-1.0,3.9168242861128233,4.3979612688458705
218,-6.014630614493825,105,False,-107.0,-1.0,3.9413831597420903,4.651921741640018
219,-9.900767338453498,104,False,-110.0,-1.0,3.741343414422312,4.6086535949210745
220,-32.04451902251463,105,False,-105.0,-1.0,3.8868555805597804,4.206443592646559
221,-40.52075793482869,87,False,-115.0,-1.0,3.777315907645847,4.1463992965686
222,-27.38705772084944,120,False,-115.0,-1.0,3.8091478576090174,4.28497643096683
223,-33.143504337454274,103,False,-104.0,-1.0,3.7162479489403286,4.249431965122162
224,-27.331580257775784,95,False,-109.0,-1.0,3.7006556752341773,4.3964345846080075
225,-33.06411774783015,96,False,-108.0,-1.0,3.938475990014119,4.217359239291302
226,-19.498403312874522,118,False,-106.0,-1.0,3.802921667353377,4.419479438529934
227,-38.57437435336141,87,False,-105.0,-1.0,3.961745514353412,4.11969106194788
228,17.219091637271063,115,False,-100.0,-1.0,3.8666627140600993,4.88511468470704
229,-32.740485440456354,99,False,-98.0,-1.0,3.758291292202809,4.186581815757572
230,-1.9829320476198262,111,False,-99.0,-1.0,3.893002978395565,4.661473318397462
231,0.11129136642671966,127,False,-107.0,-1.0,3.905662862551282,4.629529228525632
232,-33.741939824816534,100,False,-108.0,-1.0,3.937871299485082,4.215430538351647
233,-31.96950668301297,95,False,-106.0,-1.0,3.8195017241094913,4.223578925901338
234,-4.87945937403191,106,False,-104.0,-1.0,3.9569650971698436,4.649643111699437
235,-6.495726237406821,106,False,-105.0,-1.0,3.8186400795090107,4.666013761375205
236,16.085489250357895,116,False,-114.0,-1.0,3.6301928105278014,4.874160598497838
237,-21.373138681828607,108,False,-105.0,-1.0,3.887109846106795,4.427910708820154
238,-4.648870728026118,111,False,-114.0,-1.0,3.8086814685042554,4.674548964074871
239,-17.363164880480426,113,False,-106.0,-1.0,3.616283294822456,4.469936744099796
240,-2.4298958802096493,111,False,-98.0,-1.0,3.9924918051343794,4.647691332995221
241,-1.8381714592609697,113,False,-110.0,-1.0,3.945668829229339,4.656579529345283
242,-24.04500395111522,116,False,-109.0,-1.0,3.7675178711502464,4.328902601145995
243,-25.61137730844431,128,False,-97.0,-1.0,3.9711775913426233,4.304951400659775
244,9.645141936361625,107,False,-108.0,-1.0,3.9081225271383397,4.849339591678684
245,-35.05220817159489,102,False,-104.0,-1.0,3.831896120416532,4.2416597730183385
246,-28.723814380417146,114,False,-103.0,-1.0,3.9115903331472586,4.2474314784140965
247,-1.609817386904652,113,False,-112.0,-1.0,3.7798254306838497,4.670607282534918
248,8.535098920847375,128,False,-109.0,-1.0,3.7274733609444044,4.700723587156972
249,-1.0499353981133766,112,False,-101.0,-1.0,3.793078114423896,4.667259453178433
250,-25.994281406407694,118,False,-102.0,-1.0,3.9397821455939837,4.322599311568379
251,-2.7953016389635863,120,False,-109.0,-1.0,3.7619365614339366,4.635518308635801
252,-15.83785464591189,114,False,-102.0,-1.0,3.6596805723623063,4.468053367826271
253,-18.835006345866844,110,False,-95.0,-1.0,3.9413699017825614,4.431197748930109
254,-2.321627129506865,113,False,-100.0,-1.0,3.7813450874353287,4.7744571257844175
255,10.921952018159558,131,False,-106.0,-1.0,3.768825470992263,4.691263455346596
256,16.274045131632604,115,False,-107.0,-1.0,3.803559098648155,4.853982859461204
257,-1.2501931955708088,115,False,-103.0,-1.0,3.8386764913554514,4.669983233369725
258,-36.48369139663197,95,False,-107.0,-1.0,3.8862497993498444,4.191012166484602
259,16.377842566521025,116,False,-109.0,-1.0,3.797166585301168,4.850268734221603
260,2.4443335721336723,109,False,-104.0,-1.0,3.903870311192548,4.66068324642555
261,3.204094951578078,117,False,-108.0,-1.0,3.7551369427707755,4.781481926896586
262,-30.951307690843553,101,False,-108.0,-1.0,3.7106821795087983,4.27638154944617
263,-13.734981661055066,130,False,-115.0,-1.0,3.9597710037760914,4.8021963425661225
264,-3.006158578915681,114,False,-101.0,-1.0,3.8989851060042997,4.663943312841615
265,-40.787114674012884,85,False,-118.0,-1.0,3.8702849959376366,4.114115931477179
266,-10.334684779250665,110,False,-113.0,-1.0,3.8214272058137406,4.612842037930915
267,1.1570568913534984,118,False,-113.0,-1.0,3.9910933964993065,4.661342677167001
268,-23.27064906464937,134,False,-107.0,-1.0,3.7957783393992957,4.389389965002105
269,-31.056921175025213,101,False,-115.0,-1.0,3.853989611678787,4.226951708288698
270,-36.278408089753455,95,False,-110.0,-1.0,3.910313376240436,4.192311516580613
271,-29.17683751004985,112,False,-112.0,-1.0,3.920260933193189,4.299973150918959
272,-28.427221478592745,107,False,-113.0,-1.0,3.8198435162069746,4.289843198560422
273,-4.408289397014222,111,False,-102.0,-1.0,3.9338614051655867,4.759769613340682
274,-21.547767908164886,107,False,-105.0,-1.0,3.711621123824695,4.444140798531943
275,-5.325422368377168,114,False,-102.0,-1.0,3.9233425498547154,4.760405044349139
276,6.399468410674032,103,False,-107.0,-1.0,3.7926237906568456,4.862153394771649
277,2.1373013683846906,120,False,-103.0,-1.0,3.859745497016085,4.668726803796987
278,20.31337569755354,118,False,-108.0,-1.0,3.643181779183734,4.865575680594055
279,-10.801758930201515,111,False,-110.0,-1.0,3.8777541024578666,4.604377212078386
280,3.912794642132603,127,False,-108.0,-1.0,3.88203642787102,4.62713366794202
281,118.00886341625844,367,False,-93.0,-1.0,3.91787303109372,7.034298968094094
282,-14.652081773271938,142,False,-104.0,-1.0,3.8286917715680264,4.362856221063928
283,13.940463579790162,124,False,-106.0,-1.0,3.706416070902268,4.730264641877804
284,-23.902201503693988,112,False,-114.0,-1.0,3.754122203300755,4.316023958206642
285,-31.779189546594612,100,False,-117.0,-1.0,3.7417120887689883,4.239144623186439
286,-14.501399987020385,118,False,-104.0,-1.0,3.8514191600250105,4.458504036595745
287,-25.660509874258587,119,False,-113.0,-1.0,3.932066700013885,4.319396665536979
288,3.5841062502953847,110,False,-115.0,-1.0,3.7089426928432854,4.684553594709459
289,-14.278247549352997,116,False,-107.0,-1.0,3.737950522533257,4.426798463373541
290,-17.923410055347254,120,False,-102.0,-1.0,3.734298293735655,4.297793793012776
291,15.102501841037693,129,False,-109.0,-1.0,3.9915786375479634,4.765366683369358
292,10.91412470307003,119,False,-124.0,-1.0,3.692730773085639,4.697688232168179
293,18.965802525493558,135,False,-112.0,-1.0,3.8747816506795862,4.775175069607104
294,-15.216015311431839,131,False,-112.0,-1.0,3.7652667128388932,4.338706637078626
295,8.616210407888573,121,False,-107.0,-1.0,3.922650967046436,4.769664405541079
296,11.996350731025274,123,False,-116.0,-1.0,3.8238252954721945,4.722761243661275
297,-2.5068814082088053,113,False,-126.0,-1.0,3.7662467209100248,4.6161922984674115
298,-25.77225634687732,120,False,-121.0,-1.0,3.9492514780638253,4.320056052102397
299,6.816165995620224,115,False,-121.0,-1.0,3.9039238827713194,4.673940488202092
300,-33.80232525331746,92,False,-118.0,-1.0,3.962701690168972,4.196277108772294
301,-21.757006600024646,108,False,-122.0,-1.0,3.694327360488791,4.3106611376322155
302,-5.2672791707068995,100,False,-117.0,-1.0,3.8991847781384066,4.651669758972712
303,10.075127647703013,119,False,-103.0,-1.0,3.839906469202918,4.772176712927479
304,-3.7693190470192306,113,False,-123.0,-1.0,3.783055318303125,4.672728914598547
305,7.224253111984069,123,False,-112.0,-1.0,3.785046432249913,4.689138860286524
306,-22.13065523848845,105,False,-118.0,-1.0,3.843113226514144,4.421905147510448
307,86.19231074395768,218,False,-126.0,-1.0,4.09143851929177,6.214661962696599
308,-5.175318483664121,109,False,-121.0,-1.0,3.689742723354136,4.621958427259339
309,-30.80055863891605,101,False,-114.0,-1.0,3.806573376596602,4.260670898936339
310,20.59733987212192,120,False,-116.0,-1.0,3.670324974131989,4.864678552758415
311,-37.20669167871021,87,False,-118.0,-1.0,3.693453261975889,4.188503441283072
312,17.020714101951242,131,False,-107.0,-1.0,3.8347658379862057,4.782439982196856
313,35.22796984239237,152,False,-112.0,-1.0,3.7967996908980024,4.704860642428302
314,4.567513710333415,122,False,-107.0,-1.0,3.987248575159241,4.663861199469138
315,-22.212007887547202,110,False,-109.0,-1.0,3.8773757751805586,4.234321942284111
316,6.500309716374261,113,False,-113.0,-1.0,3.801239857574492,4.671920429707084
317,13.065822281286515,126,False,-108.0,-1.0,3.633353715030649,4.791155618390009
318,14.147897620567605,125,False,-111.0,-1.0,3.762473970051,4.692157218584791
319,-34.82945332804251,92,False,-122.0,-1.0,3.831758604769141,4.182414671973042
320,-15.295977757482603,107,False,-100.0,-1.0,3.9807762256161507,4.415974892928291
321,4.136951025319291,120,False,-116.0,-1.0,3.6104112889519566,4.634892335270221
322,-32.20499934129557,96,False,-113.0,-1.0,3.8133188318538824,4.229868712497894
323,13.661567056721253,126,False,-101.0,-1.0,3.984262106330942,4.761830699840738
324,19.1478794320997,118,False,-113.0,-1.0,3.737732974012592,4.8632011819804495
325,26.132513471254725,127,False,-116.0,-1.0,3.6511212759214526,4.8644552747389
326,-35.51054715779837,89,False,-109.0,-1.0,3.837274229034541,4.1793864650384975
