Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser
33,41.48379105798779,163,False,-87.0,-1.0,3.9329366587206294,6.6772064215237945,79.14110429447852
34,62.870929848772406,192,False,-103.0,-1.0,3.8083529621091965,6.832790154881271,78.64583333333334
35,124.97610200279905,253,False,-97.0,-1.0,3.795106545304754,8.603729797331175,66.79841897233202
36,57.346755025166544,175,False,-105.0,-1.0,3.8056990886327173,6.987778884772477,75.42857142857143
37,75.4246906030238,230,False,-91.0,-1.0,3.6081624384118505,7.6862819782154554,99.1304347826087
38,41.44544482988023,159,False,-104.0,-1.0,3.8917639673669564,6.223164937015237,77.35849056603774
39,68.53748149326236,241,False,-98.0,-1.0,3.9408230522895082,7.112829000871683,82.98755186721992
40,35.0038502853408,148,False,-108.0,-1.0,3.779094237240336,4.839909243257401,100.0
41,74.32865915740615,216,False,-94.0,-1.0,3.800822485576416,7.377377414826899,98.61111111111111
42,60.16364004900217,182,False,-116.0,-1.0,3.6989895059600997,6.936393715643355,50.0
43,4.748717364623701,273,False,-95.0,-1.0,3.99573630973274,4.548439246169104,100.0
44,41.92739333791701,175,False,-108.0,-1.0,3.9826359418754214,6.724252446087609,69.14285714285714
45,6.665134916542257,137,False,-91.0,-1.0,3.988436135290669,5.236798258042847,100.0
46,53.484467409156935,159,False,-105.0,-1.0,3.857601100081924,6.357802710654038,64.15094339622641
47,6.980883593239653,111,False,-101.0,-1.0,3.7373057617391794,4.858014231606445,100.0
48,49.18494222421181,191,False,-85.0,-1.0,3.7375275773819867,7.157867142872115,98.95287958115183
49,76.91642342916344,178,False,-103.0,-1.0,3.5625391466005008,7.42484319233074,41.57303370786517
50,40.26897644928124,184,False,-99.0,-1.0,3.983651522604516,6.880375151041612,99.45652173913044
51,46.686435145755155,194,False,-94.0,-1.0,3.943015331818455,6.617832837394707,67.5257731958763
52,61.7468858874397,216,False,-94.0,-1.0,3.794735190687055,6.9435376935677295,97.68518518518519
53,134.94342160876505,421,False,-105.0,-1.0,3.750736872575547,8.28905933712733,84.56057007125891
54,28.961268462291912,158,False,-101.0,-1.0,3.7833170966157037,5.953243033692265,82.91139240506328
55,52.08250876690623,162,False,-104.0,-1.0,3.7456967166009614,6.238769190654699,74.69135802469135
56,45.078327575875875,172,False,-110.0,-1.0,3.8044104279587194,6.7364967643177724,76.74418604651163
57,77.47130029270835,400,False,-102.0,-1.0,3.786301250181824,6.220498159089475,100.0
58,18.66122806356691,150,False,-101.0,-1.0,3.948054625053713,5.904101965789062,100.0
59,60.28240478229486,213,False,-103.0,-1.0,3.4910343037677203,8.372020215878237,98.59154929577466
60,78.61497648823962,206,False,-107.0,-1.0,3.645048206352586,8.339076176351298,48.05825242718447
61,-7.452531200720443,136,False,-95.0,-1.0,3.835713040128537,5.098059888870921,100.0
62,-19.625286622568716,142,False,-104.0,-1.0,3.815292975548891,4.400568366773807,100.0
