Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel
1,1.7351271946780642,106,False,-102.0,-1.0,3.931795578764702,4.844795147231604
2,-30.017058345584708,108,False,-113.0,-1.0,3.9816767307317997,4.254058106241886
3,-28.72628788103345,119,False,-103.0,-1.0,3.817969029320906,4.269075135459747
4,-5.754669577399071,115,False,-100.0,-1.0,3.7814050192649,4.710005771555006
5,-9.05114136928617,108,False,-103.0,-1.0,3.9600956875722204,4.652886267548807
6,-20.825734090931867,135,False,-97.0,-1.0,3.9717276354507245,4.327428958151075
7,6.807152389833732,109,False,-109.0,-1.0,3.8491397806503054,4.859352789227552
8,-11.14512486083008,115,False,-91.0,-1.0,3.899086009699853,4.762827912736279
9,-19.40811910043282,129,False,-102.0,-1.0,3.7741473434977375,4.374848313353479
10,-5.168689800710588,117,False,-100.0,-1.0,3.881453132225509,4.663014217994263
11,-6.251692902322667,115,False,-100.0,-1.0,3.7633192557478528,4.6828202523027915
12,-24.977435291219265,125,False,-99.0,-1.0,3.984542463691261,4.293281026305631
13,-15.46002883903082,101,False,-95.0,-1.0,3.9859412745951754,4.571240100073674
14,-17.690102506120695,99,False,-104.0,-1.0,3.9033320674631438,4.578779668892931
15,-9.851658171723145,110,False,-101.0,-1.0,3.734104220760479,4.680668437999504
16,-31.100509100610836,106,False,-108.0,-1.0,3.8169149717338997,4.219521567390195
17,4.164501496623316,107,False,-111.0,-1.0,3.9834581927202484,4.840685179853098
18,-33.35396680237011,100,False,-100.0,-1.0,3.982719634242435,4.165305540878325
19,-25.439841902371157,102,False,-99.0,-1.0,3.869414918236866,4.410990492504674
20,-38.70730101452804,89,False,-97.0,-1.0,3.7457757737727517,4.057949191014272
21,-32.74394930371194,103,False,-105.0,-1.0,3.95822319877394,4.138346343534067
22,-27.13334498468248,110,False,-85.0,-1.0,3.9198191139838414,4.431099089357833
23,-37.99547948386386,91,False,-109.0,-1.0,3.7658403458277108,4.181277970220525
24,-34.884735456973914,96,False,-89.0,-1.0,3.96020510652819,4.138454842245362
25,-32.90178106130473,97,False,-100.0,-1.0,3.8523930397674078,4.203179946591713
26,-24.1619410267366,97,False,-102.0,-1.0,3.8858222273563103,4.754525651867242
27,-26.55298081299427,112,False,-87.0,-1.0,3.864350528475917,4.44099521714088
28,-24.209988413086847,120,False,-94.0,-1.0,3.8731023098450468,4.463111096139376
29,-22.169498037448946,101,False,-95.0,-1.0,3.9232302184519936,4.759138833196594
30,-5.9051994852950855,106,False,-101.0,-1.0,3.8060070885715747,4.862274730540724
31,-17.787349645753025,105,False,-116.0,-1.0,3.6701640043470505,4.618054071476772
32,-13.769747839456109,109,False,-109.0,-1.0,3.9751422209407767,4.597351242187903
33,-29.857044848740752,109,False,-101.0,-1.0,3.909103232313438,4.29470756453667
34,-7.057144465421089,103,False,-99.0,-1.0,3.959549983699393,4.852456897843032
35,-16.666521898708048,106,False,-109.0,-1.0,3.9224302600929404,4.658439759037651
36,-35.03204482003332,99,False,-98.0,-1.0,3.690006216880439,4.231723753810681
37,-29.571922525593997,111,False,-104.0,-1.0,3.867751242127094,4.301456151733611
38,-30.204644875194013,109,False,-111.0,-1.0,3.7169439254533243,4.291071409434337
39,-21.457775382074743,95,False,-104.0,-1.0,3.638448346128331,4.671538638384817
40,-42.4979883834017,82,False,-103.0,-1.0,3.7712008197085702,4.105867221247314
41,-11.55093410019316,112,False,-109.0,-1.0,3.8214841047564607,4.673846560203986
42,-9.336597361012728,105,False,-109.0,-1.0,3.899846942808351,4.662285861521516
43,-33.29122898418973,105,False,-93.0,-1.0,3.991489374840454,4.19442811516291
44,-19.318350525041517,94,False,-107.0,-1.0,3.878607553212823,4.638756694254822
45,-31.898855664188027,87,False,-105.0,-1.0,3.8885613175213387,4.492519115625035
46,-20.08011868124865,101,False,-107.0,-1.0,3.7116280350622057,4.668767098673979
47,-35.07176409868089,101,False,-102.0,-1.0,3.8899413752707908,4.241346612372113
48,-29.417280243178478,101,False,-96.0,-1.0,3.6683537637843546,4.42466885807675
49,-38.95686404670517,85,False,-104.0,-1.0,3.902949116858469,4.1494252365548165
50,-25.190756467246217,90,False,-105.0,-1.0,3.6400535038337685,4.660721751923362
51,-24.494330972681603,89,False,-104.0,-1.0,3.7237291599319033,4.644877857355966
52,-24.201532734641233,92,False,-101.0,-1.0,3.984240764721411,4.626765524725551
53,-17.94888032777081,87,False,-92.0,-1.0,3.8700200252260277,4.8068962850308194
54,-11.257291628928137,95,False,-97.0,-1.0,3.9123204686165227,4.853567927546407
55,-20.096827520613033,96,False,-100.0,-1.0,3.674755605705854,4.672716322354972
56,-39.06881294580289,77,False,-94.0,-1.0,3.8406641363498704,4.288044882227679
57,-25.657403454788202,90,False,-99.0,-1.0,3.803721462584883,4.5638460520499695
