Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate
1,213.17994817264685,592,False,144.0,0.9997826206896552
2,162.84633483691323,464,False,-194.0,0.9996119540229885
3,406.84154257659395,765,False,-133.0,0.9993305747126436
4,483.3709637063728,1045,False,165.0,0.9989462068965518
5,523.8581792563521,961,False,167.0,0.9985927356321839
6,50.44627690174062,122,False,53.0,0.9985478620689656
7,112.47586382913087,333,False,-112.0,0.9984253793103449
8,196.8466276682031,493,False,-119.0,0.9982440459770114
9,248.35921960125603,544,False,-123.0,0.9980439540229885
10,382.6817728014854,919,False,132.0,0.9977059310344828
11,258.5785002822587,607,False,-125.0,0.9974826666666666
12,156.21995565045714,354,False,-155.0,0.997352459770115
13,82.37208738128848,382,False,179.0,0.9972119540229886
14,122.4465875491446,338,False,-129.0,0.9970876321839082
15,513.3618826707175,970,False,163.0,0.9967308505747126
16,95.64350600127403,386,False,161.0,0.9965888735632183
17,357.7306669817471,679,False,-121.0,0.9963391264367817
18,362.8501568477555,937,False,138.0,0.9959944827586207
19,109.13275000992238,372,False,-142.0,0.9958576551724139
20,476.4716956340767,837,False,-130.0,0.9955497931034484
21,217.8899499118906,540,False,149.0,0.9953511724137931
22,550.8494169442009,1008,False,-114.0,0.9949804137931035
23,126.15230567946654,345,False,-125.0,0.9948535172413793
24,210.22197000292968,565,False,-127.0,0.9946457011494253
25,136.41078555765506,419,False,-154.0,0.9944915862068965
26,173.16935146115145,445,False,129.0,0.994327908045977
27,112.96969738354346,386,False,165.0,0.9941859310344828
28,537.6700952040145,971,False,-128.0,0.9938287816091954
29,291.47895473973176,752,False,145.0,0.9935521839080459
30,268.7657951620035,723,False,161.0,0.9932862528735632
31,151.86179639003987,480,False,181.0,0.9931097011494253
32,524.4173721562005,960,False,-128.0,0.9927565977011494
33,92.21198117592736,304,False,-147.0,0.9926447816091953
34,198.33830389490063,529,False,149.0,0.9924502068965517
35,361.6505730992282,840,False,163.0,0.9921412413793104
36,232.126836238282,479,False,-101.0,0.9919650574712644
37,89.63762462516223,359,False,154.0,0.9918330114942528
38,96.48762732433944,338,False,-141.0,0.9917086896551724
39,311.6605518524302,673,False,-133.0,0.9914611494252873
40,223.02874073476744,581,False,-124.0,0.9912474482758621
41,332.69112281098114,816,False,152.0,0.9909473103448276
42,529.4358361897985,875,False,149.0,0.9906254712643678
43,57.22207711248031,129,False,54.0,0.9905780229885058
44,233.71574114229833,673,False,143.0,0.9903304827586207
45,460.30278848137795,928,False,-128.0,0.9899891494252875
46,525.9270499760663,916,False,-136.0,0.9896522298850574
47,95.40487935637968,460,False,147.0,0.9894830344827586
48,140.26323215022768,402,False,-161.0,0.9893351724137932
49,165.685035636093,467,False,-182.0,0.9891634022988506
50,103.61967723997908,395,False,163.0,0.9890181149425288
51,57.42403500798564,135,False,54.0,0.9889684597701149
52,115.53183932082467,414,False,166.0,0.988816183908046
53,531.789056792549,959,False,169.0,0.988463448275862
54,118.21838808024017,363,False,161.0,0.9883299310344827
55,83.63970889146428,347,False,168.0,0.9882022988505748
