Episode,Reward,Steps,Finish,Deviation,Exploration_rate
1,290.44687048775484,697,False,126.0,0.9998912500000001
2,187.37847314770144,476,False,-139.0,0.9998168749999999
3,173.97383114752856,509,False,-129.0,0.9997373437500001
4,1058.187135957929,2619,False,124.0,0.999328125
5,102.05578100636839,342,False,-140.0,0.9992746875
6,120.06776194313892,391,False,-141.0,0.99921359375
7,123.52428291513098,361,False,-144.0,0.9991571875
8,213.7556101989968,792,False,119.0,0.9990334375000001
9,528.329913216484,1057,False,124.0,0.99886828125
10,1209.493801112427,2436,False,-133.0,0.99848765625
11,332.04686514145516,818,False,116.0,0.99835984375
12,355.87801129968733,833,False,-124.0,0.9982296875
13,449.5216233313456,1212,False,125.0,0.9980403125
14,134.61336729546625,454,False,-135.0,0.9979693749999999
15,1199.6293980739088,2590,False,123.0,0.9975646875
16,285.0939198256984,662,False,122.0,0.99746125
17,115.94703834660257,402,False,-136.0,0.9973984375
18,267.160047693434,723,False,126.0,0.99728546875
19,822.0285052733743,1664,False,-121.0,0.99702546875
20,212.48846586739154,812,False,119.0,0.99689859375
21,741.277885355723,2438,False,126.0,0.99651765625
22,908.4407872565821,1823,False,124.0,0.9962328125
23,103.43290200170239,353,False,-136.0,0.99617765625
24,156.86919649668718,454,False,-137.0,0.9961067187499999
25,368.3174115870641,821,False,136.0,0.9959784375
26,290.77429565957726,653,False,128.0,0.99587640625
27,601.1163011962778,1742,False,129.0,0.9956042187499999
28,487.2058980463041,1703,False,131.0,0.995338125
29,351.41774497426354,820,False,-129.0,0.99521
30,371.1819128928501,1019,False,120.0,0.99505078125
31,307.3361595073874,799,False,126.0,0.9949259375
32,504.81917848159765,1862,False,127.0,0.994635
33,220.91414752306412,548,False,-135.0,0.9945493750000001
34,559.4416674725571,1275,False,128.0,0.9943501562500001
35,1001.6968659695629,1676,False,120.0,0.9940882812499999
36,145.60461959826733,424,False,-141.0,0.99402203125
37,180.02130816246512,521,False,125.0,0.993940625
38,600.3473378300338,1179,False,-123.0,0.9937564062500001
39,1340.1931900815644,2782,False,113.0,0.99332171875
40,393.52516852853364,1288,False,116.0,0.9931204687499999
41,284.4663386946173,635,False,127.0,0.99302125
42,139.15708029934083,426,False,-137.0,0.9929546874999999
43,106.16136154274633,341,False,-140.0,0.99290140625
44,394.5253336183959,858,False,123.0,0.99276734375
45,484.7308447968745,2150,False,134.0,0.9924314062499999
46,960.6945424852983,1801,False,121.0,0.9921500000000001
47,109.19476350205261,357,False,-142.0,0.99209421875
48,151.84281142722514,441,False,-141.0,0.9920253125
49,237.82278485535113,614,False,123.0,0.991929375
50,136.97993175151996,426,False,-136.0,0.9918628125
51,350.69197603973277,805,False,123.0,0.99173703125
52,311.27977813097345,851,False,-128.0,0.9916040625
53,818.9390802676902,1918,False,-124.0,0.9913043749999999
54,97.97043410575886,319,False,-141.0,0.99125453125
55,494.17242365392553,1212,False,134.0,0.9910651562499999
56,471.0045577638072,1134,False,117.0,0.9908879687500001
57,535.0518339004266,1005,False,130.0,0.9907309375
58,425.94329670678457,846,False,126.0,0.99059875
59,240.0817479936298,569,False,129.0,0.9905098437500001
60,189.37345025690192,496,False,-138.0,0.99043234375
61,208.0487408713611,585,False,123.0,0.9903409375000001
62,170.27393859058276,661,False,120.0,0.99023765625
63,149.68666768675854,423,False,-142.0,0.9901715624999999
64,755.2351024210548,1877,False,129.0,0.98987828125
65,444.97553452586607,858,False,126.0,0.9897442187500001
66,383.6640251874656,1025,False,-122.0,0.9895840625
67,142.84411322454935,474,False,-131.0,0.9895100000000001
68,543.2640618227687,991,False,127.0,0.98935515625
69,167.24903668263252,542,False,-132.0,0.98927046875
70,132.65564960629928,364,False,-142.0,0.98921359375
71,406.48019801762183,883,False,121.0,0.989075625
72,359.8757993697889,690,False,130.0,0.9889678125000001
73,714.7381386353517,1512,False,123.0,0.9887315625
74,113.54666034314357,395,False,-137.0,0.98866984375
75,198.39584050281346,506,False,-139.0,0.9885907812499999
76,600.6608383796822,1160,False,122.0,0.98840953125
77,312.0664496900355,667,False,128.0,0.9883053125
78,505.8625350978498,1168,False,120.0,0.9881228125
79,182.81782143781322,598,False,122.0,0.988029375
80,542.4610400700528,1052,False,130.0,0.987865
81,268.41868133543704,673,False,-133.0,0.9877598437499999
82,404.46424463067063,930,False,-121.0,0.98761453125
83,620.4710449740901,1427,False,-133.0,0.9873915624999999
84,168.7858276176321,451,False,-138.0,0.98732109375
85,349.1580017862352,818,False,-135.0,0.9871932812499999
86,393.24491786948784,846,False,126.0,0.98706109375
87,107.72535598638163,343,False,-144.0,0.9870075
88,309.2877818309175,1638,False,-171.0,0.9867515625000001
89,649.7778055308805,1655,False,131.0,0.9864929687499999
90,112.24228633185214,337,False,-144.0,0.9864403125
91,160.21011217781177,434,False,-142.0,0.9863725000000001
92,138.4784919903546,437,False,-137.0,0.98630421875
93,122.24404946901163,395,False,-140.0,0.9862425
94,319.616617023817,742,False,125.0,0.9861265625
95,782.3247931925565,1463,False,126.0,0.98589796875
96,954.3839276015835,1842,False,128.0,0.98561015625
97,436.83887203751846,881,False,125.0,0.9854725
98,513.9726005950687,1231,False,117.0,0.98528015625
99,684.5398172905327,1433,False,132.0,0.98505625
100,965.3968061577717,1719,False,134.0,0.98478765625
101,304.9432274680433,822,False,119.0,0.98465921875
102,275.35906102125347,718,False,-126.0,0.98454703125
103,362.0323127480617,797,False,123.0,0.9844225
104,215.69791457929927,602,False,-129.0,0.9843284374999999
105,766.9706928449108,1994,False,123.0,0.984016875
106,114.32498655660822,329,False,-143.0,0.98396546875
107,656.874807129141,1450,False,120.0,0.9837389062499999
108,441.54508524158916,991,False,124.0,0.9835840625
