Step,Reward,Accumulated reward,Velocity,Steer,Deviation,Speed
1,0.9717962905871885,0.9717962905871885,4.5,-0.14,1.0,0.0
2,0.9718359482274515,1.94363223881464,4.5,-0.14,1.0,0.0030725097749382257
3,0.9719043006586564,2.9155365394732966,4.5,-0.14,1.0,0.0010339260334149003
4,0.9718671321137317,3.887403671587028,4.5,-0.14,1.0,0.0009417247492820024
5,0.9718580137979671,4.859261685384995,4.5,-0.14,1.0,0.00045921324635855854
6,0.971841961662957,5.831103647047952,4.5,-0.14,1.0,0.00023816108296159655
7,0.9719140909762392,6.803017738024191,4.5,-0.14,1.0,0.00012613297440111637
8,0.9719760836609133,7.774993821685104,4.5,-0.14,1.0,2.347008376091253e-05
9,0.9720228540791128,8.747016675764216,4.5,-0.14,1.0,0.00018512728274799883
10,0.9720382356612257,9.719054911425442,4.5,-0.14,1.0,0.2525000274181366
11,0.9723905498242315,10.691445461249673,4.5,-0.14,1.0,0.6385866403579712
12,0.9767398159522434,11.668185277201916,4.5,-0.14,0.0,0.9766187071800232
13,0.9734064997151403,12.641591776917057,4.5,-0.14,1.0,1.2243540287017822
14,0.9702338556200252,13.611825632537082,4.5,-0.14,2.0,1.4943739175796509
15,0.9618129634902878,14.57363859602737,4.5,-0.14,5.0,1.7296745777130127
16,0.9570889654703206,15.530727561497692,4.5,-0.14,7.0,1.9249175786972046
17,0.9378454881375669,16.468573049635257,4.5,-0.14,13.0,2.417619466781616
18,0.9332074960196455,17.4017805456549,6.5,0.16000000000000003,16.0,2.7490692138671875
19,0.9220963895321737,18.323876935187076,6.5,0.16000000000000003,20.0,3.0749120712280273
20,0.9130536953480083,19.236930630535085,6.5,0.16000000000000003,22.0,3.385186195373535
21,0.9212576196565122,20.158188250191596,6.5,0.16000000000000003,20.0,3.7074201107025146
22,0.9324545519647248,21.09064280215632,6.5,0.16000000000000003,17.0,4.017775535583496
23,0.9594645336918859,22.050107335848207,6.5,0.16000000000000003,9.0,4.350399494171143
24,0.9781925099068656,23.028299845755072,6.5,0.16000000000000003,2.0,5.048094272613525
25,0.9552533357891282,23.9835531815442,5.5,-0.08000000000000002,7.0,5.616052627563477
26,0.9236667962141893,24.907219977758388,6.5,-0.2,14.0,5.6104044914245605
27,0.9056154310811784,25.812835408839565,6.5,-0.2,18.0,5.536917686462402
28,0.9069259306824455,26.71976133952201,6.5,-0.2,18.0,5.536604881286621
29,0.9353876909390743,27.655149030461082,6.5,-0.2,12.0,6.099517822265625
30,0.9730166406330966,28.62816567109418,6.5,-0.2,4.0,6.62138032913208
31,0.9298029974311863,29.557968668525366,5.5,-0.08000000000000002,16.0,6.909515380859375
32,0.8772734680018509,30.435242136527215,6.5,0.16000000000000003,27.0,6.8803253173828125
33,0.8178935438493405,31.253135680376555,6.5,0.16000000000000003,39.0,6.626288890838623
34,0.8243521910713288,32.077487871447886,6.5,0.16000000000000003,37.0,6.351367950439453
35,0.8592547184589933,32.93674258990688,6.5,0.16000000000000003,29.0,6.330209732055664
36,0.905130750777357,33.84187334068424,6.5,0.16000000000000003,19.0,5.573033332824707
37,0.9274782090881112,34.76935154977235,6.5,0.16000000000000003,14.0,5.281466484069824
38,0.9878478723503448,35.757199422122696,6.5,0.16000000000000003,1.0,5.072890281677246
39,0.9463711475987601,36.70357056972146,1.5,-0.18,11.0,5.132994651794434
40,0.913777753625236,37.61734832334669,1.5,-0.18,18.0,5.237102508544922
41,0.8936035924868586,38.51095191583355,1.5,-0.18,22.0,5.146934509277344
42,0.9258663313837212,39.436818247217275,6.5,-0.14,17.0,4.182523250579834
43,0.9365341134888714,40.37335236070614,1.5,-0.18,13.0,3.361416816711426
44,0.9377387376646099,41.31109109837075,1.5,-0.18,13.0,1.750450611114502
45,0.9375372639929993,42.24862836236375,1.5,-0.18,13.0,0.9915891289710999
46,0.9341066041252186,43.18273496648897,1.5,-0.18,14.0,0.8050369620323181
47,0.9302438674578122,44.112978833946784,1.5,-0.18,15.0,1.1204251050949097
48,0.9440110643701258,45.05698989831691,1.5,-0.18,12.0,1.417084813117981
49,0.951329654152871,46.00831955246978,1.5,-0.18,10.0,1.4661816358566284
50,0.9544358262837804,46.962755378753556,1.5,-0.18,9.0,1.4812113046646118
51,0.964762793747487,47.927518172501046,1.5,-0.18,6.0,1.471997857093811
52,0.9677895888868058,48.895307761387855,1.5,-0.18,5.0,1.4129735231399536
53,0.9743313585140787,49.86963911990193,1.5,-0.18,3.0,1.3550783395767212
54,0.9789403565405966,50.84857947644253,1.5,-0.18,1.0,1.3057239055633545
55,0.9783943966958473,51.82697387313838,1.5,-0.18,1.0,1.256232500076294
56,0.9688600025595842,52.795833875697966,1.5,-0.18,3.0,1.2029409408569336
57,0.9586858706689365,53.7545197463669,1.5,-0.18,5.0,1.1719671487808228
58,0.958842186681897,54.7133619330488,6.5,0.0,7.0,1.139925241470337
59,0.9538332946449681,55.66719522769377,6.5,0.0,8.0,1.1186842918395996
60,0.9495975017750107,56.61679272946878,6.5,0.16000000000000003,9.0,1.2301145792007446
61,0.9498830812287409,57.56667581069752,6.5,0.16000000000000003,9.0,1.386031150817871
62,0.9503358364584216,58.51701164715594,6.5,0.16000000000000003,9.0,1.6548285484313965
63,0.9588238264611239,59.47583547361706,6.5,0.16000000000000003,7.0,1.879233717918396
64,0.9719689751835653,60.447804448800625,6.5,0.0,4.0,2.3627307415008545
65,0.9852562131246018,61.433060661925225,6.5,0.0,2.0,2.7659544944763184
66,0.9700722556246795,62.403132917549904,1.5,-0.18,4.0,3.16025972366333
67,0.9708190156027808,63.37395193315268,1.5,-0.18,4.0,3.428582191467285
68,0.972639088229282,64.34659102138197,1.5,-0.18,2.0,3.522103786468506
69,0.9571801118164948,65.30377113319847,5.5,-0.08000000000000002,7.0,3.1887691020965576
70,0.9349272386928594,66.23869837189133,6.5,0.16000000000000003,12.0,3.0219573974609375
71,0.9204260633107558,67.15912443520209,6.5,0.16000000000000003,15.0,2.8949639797210693
72,0.9410454016713343,68.10016983687342,6.5,0.16000000000000003,11.0,2.9615464210510254
73,0.9555434475212795,69.0557132843947,6.5,0.16000000000000003,8.0,3.14123797416687
74,0.9734481915240473,70.02916147591874,6.5,0.16000000000000003,4.0,3.396829128265381
75,0.991071048754986,71.02023252467373,6.5,0.0,0.0,3.7109687328338623
