Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake
1,0.7840165953316416,0.7840165953316416,0.0,0.3,2.0,0.0012446498731151223,-1.0
2,0.7840173491798341,1.5680339445114757,1.0,-0.3,2.0,0.001301188487559557,-1.0
3,0.7840114689503487,2.3520454134618243,1.0,-0.3,2.0,0.0008601712761446834,-1.0
4,0.7840017523447362,3.1360471658065605,1.0,-0.3,2.0,0.00013142585521563888,-1.0
5,0.7840152396519359,3.9200624054584963,1.0,-0.3,2.0,0.0011429738951846957,-1.0
6,0.7840239006678263,4.704086306126323,1.0,-0.3,2.0,0.0017925500869750977,-1.0
7,0.7840099745431605,5.488096280669483,1.0,-0.3,2.0,0.0007480907370336354,-1.0
8,0.7840069533032366,6.27210323397272,1.0,-0.3,2.0,0.0005214977427385747,-1.0
9,0.7840016691207808,7.056104903093501,1.0,-0.3,2.0,0.0001251840585609898,-1.0
10,0.7840020342512289,7.840106937344729,1.0,-0.3,2.0,0.00015256884216796607,-1.0
11,0.7840041315075942,8.624111068852324,1.0,-0.3,2.0,0.0003098630695603788,-1.0
12,0.784001609166405,9.408112678018728,1.0,-0.3,2.0,0.00012068748037563637,-1.0
13,0.7840069131213241,10.192119591140052,1.0,-0.3,2.0,0.0005184840993024409,-1.0
14,0.7882767282327017,10.980396319372755,1.0,-0.3,2.0,0.32075461745262146,-1.0
15,0.7930063603719076,11.773402679744663,1.0,-0.3,2.0,0.6754770278930664,-1.0
16,0.7877886066436769,12.56119128638834,1.0,-0.3,3.0,0.8841454982757568,-1.0
17,0.7830296799341839,13.344220966322524,0.0,0.3,4.0,1.1272259950637817,-1.0
18,0.7776612933476766,14.121882259670201,0.0,0.3,5.0,1.3245970010757446,-1.0
19,0.7708399330774943,14.892722192747696,0.0,0.3,6.0,1.4129949808120728,-1.0
20,0.7796324952443441,15.67235468799204,0.0,0.3,5.0,1.4724371433258057,-1.0
21,0.7797968022028605,16.4521514901949,0.0,0.3,5.0,1.4847601652145386,-1.0
22,0.7958161665598553,17.247967656754756,0.0,0.3,3.0,1.4862124919891357,-1.0
23,0.8115705159505209,18.059538172705278,0.0,0.3,1.0,1.4677886962890625,-1.0
24,0.8190315437316895,18.878569716436967,1.0,-0.3,0.0,1.427365779876709,-1.0
25,0.8025497744878134,19.68111949092478,1.0,-0.3,-2.0,1.3912330865859985,-1.0
26,0.8020975039800008,20.48321699490478,1.0,-0.3,-2.0,1.357312798500061,-1.0
27,0.8020456972122193,21.285262692116998,1.0,-0.3,-2.0,1.3534272909164429,-1.0
28,0.8102135979334514,22.09547629005045,1.0,-0.3,-1.0,1.36601984500885,-1.0
29,0.8111760635375977,22.906652353588047,1.0,-0.3,-1.0,1.4382047653198242,-1.0
