Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed,Brake
1,0.6860196732522453,0.6860196732522453,1.0,-0.3,2.0,0.0006557750748470426,0.0
2,0.6860082174301496,1.372027890682395,1.0,-0.3,2.0,0.00027391433832235634,0.0
3,0.686026996898232,2.058054887580627,1.0,-0.3,2.0,0.0008998966077342629,0.0
4,0.6860284613127586,2.7440833488933856,1.0,-0.3,2.0,0.0009487104252912104,0.0
5,0.6860535597780253,3.430136908671411,1.0,-0.3,2.0,0.0017853259341791272,0.0
6,0.6860171020510606,4.116154010722472,1.0,-0.3,2.0,0.0005700683686882257,0.0
7,0.6860238886824809,4.802177899404953,1.0,-0.3,2.0,0.0007962894160300493,0.0
8,0.6860054634096159,5.488183362814569,1.0,-0.3,2.0,0.0001821136538637802,0.0
9,0.6859999999999999,6.174183362814569,1.0,-0.3,2.0,0.0,0.0
10,0.6860134835721109,6.86019684638668,1.0,-0.3,2.0,0.0004494524036999792,0.0
11,0.6860121001241495,7.54620894651083,1.0,-0.3,2.0,0.000403337471652776,0.0
12,0.694359942138195,8.240568888649024,1.0,-0.3,2.0,0.2786647379398346,0.0
13,0.7046830413341522,8.945251929983176,1.0,-0.3,2.0,0.6227680444717407,0.0
14,0.704530497431755,9.64978242741493,1.0,-0.3,3.0,0.8510165810585022,0.0
15,0.7073016185760498,10.35708404599098,1.0,-0.3,4.0,1.1767206192016602,0.0
16,0.7053935921192169,11.062477638110197,1.0,-0.3,5.0,1.346453070640564,0.0
17,0.6963681135177612,11.758845751627959,1.0,-0.3,7.0,1.512270450592041,0.0
18,0.6865328581333161,12.445378609761274,1.0,0.3,9.0,1.6510952711105347,0.0
19,0.6845074152946471,13.12988602505592,1.0,0.3,10.0,1.8169138431549072,0.0
20,0.6846541075706482,13.814540132626568,1.0,0.3,11.0,2.0551369190216064,0.0
21,0.6896535878181458,14.504193720444714,1.0,0.3,11.0,2.2217862606048584,0.0
22,0.7012932300567626,15.205486950501477,1.0,0.3,10.0,2.37644100189209,0.0
23,0.7203259053230284,15.925812855824505,1.0,0.3,8.0,2.544196844100952,0.0
24,0.7450285053253174,16.670841361149822,1.0,0.3,5.0,2.667616844177246,0.0
25,0.7716624746322631,17.442503835782084,1.0,-0.3,2.0,2.8554158210754395,0.0
26,0.7894773411750793,18.231981176957163,1.0,-0.3,0.0,2.9825780391693115,0.0
27,0.7815012106895446,19.013482387646707,1.0,-0.3,-2.0,3.1833736896514893,0.0
28,0.788305109500885,19.801787497147593,1.0,-0.3,-2.0,3.410170316696167,0.0
29,0.7990393095016479,20.60082680664924,1.0,-0.3,-1.0,3.5346436500549316,0.0
30,0.7993490014076232,21.400175808056865,1.0,-0.3,2.0,3.7783000469207764,0.0
31,0.7828616929054261,22.183037500962293,1.0,-0.3,5.0,3.928723096847534,0.0
32,0.7566507196426391,22.939688220604932,1.0,-0.3,10.0,4.221690654754639,0.0
33,0.7266686105728148,23.666356831177747,1.0,0.3,15.0,4.388953685760498,0.0
34,0.6988352584838868,24.365192089661633,1.0,0.3,20.0,4.627841949462891,0.0
35,0.6791204376220702,25.044312527283704,1.0,0.3,24.0,4.904014587402344,0.0
