Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake
1,0.5880063889819042,0.5880063889819042,0.0,0.3,2.0,0.00047917364281602204,-1.0
2,0.5880059211095019,1.176012310091406,0.0,0.3,2.0,0.0004440832126419991,-1.0
3,0.588013489977767,1.7640258000691729,0.0,0.3,2.0,0.00101174833253026,-1.0
4,0.5880102205908236,2.3520360206599964,0.0,0.3,2.0,0.000766544311773032,-1.0
5,0.5880069733297763,2.9400429939897728,0.0,0.3,2.0,0.0005229997332207859,-1.0
6,0.588004789797822,3.5280477837875948,0.0,0.3,2.0,0.0003592348366510123,-1.0
7,0.5880021161397065,4.116049899927301,0.0,0.3,2.0,0.0001587104779900983,-1.0
8,0.5880033702216266,4.704053270148927,0.0,0.3,2.0,0.00025276662199757993,-1.0
9,0.5880017853422711,5.292055055491199,0.0,0.3,2.0,0.00013390067033469677,-1.0
10,0.5880092912038477,5.880064346695047,0.0,0.3,2.0,0.0006968402885831892,-1.0
11,0.5880073019663492,6.468071648661396,0.0,0.3,2.0,0.0005476474761962891,-1.0
12,0.5880011390049864,7.056072787666382,0.0,0.3,2.0,8.54253739817068e-05,-1.0
13,0.5880118096669514,7.644084597333333,0.0,0.3,2.0,0.0008857250213623047,-1.0
14,0.588001868311859,8.232086465645192,0.0,0.3,2.0,0.00014012338942848146,-1.0
15,0.5880090915042285,8.82009555714942,0.0,0.3,2.0,0.000681862817145884,-1.0
16,0.5880142154687394,9.40810977261816,0.0,0.3,2.0,0.0010661601554602385,-1.0
17,0.5880015942891089,9.996111366907268,0.0,0.3,2.0,0.00011957168317167088,-1.0
18,0.5880079040524239,10.584119270959691,0.0,0.3,2.0,0.0005928039317950606,-1.0
19,0.5880023377735245,11.172121608733216,0.0,0.3,2.0,0.00017533301434013993,-1.0
20,0.5880034814836301,11.760125090216846,0.0,0.3,2.0,0.0002611112722661346,-1.0
21,0.5880001772562609,12.348125267473106,0.0,0.3,2.0,1.3294219570525456e-05,-1.0
22,0.5880045146940586,12.936129782167164,0.0,0.3,2.0,0.0003386020543985069,-1.0
23,0.5880049044925254,13.52413468665969,0.0,0.3,2.0,0.00036783693940378726,-1.0
24,0.5880008820215589,14.112135568681248,0.0,0.3,2.0,6.61516169202514e-05,-1.0
25,0.5880143808995684,14.700149949580817,0.0,0.3,2.0,0.0010785674676299095,-1.0
26,0.5880033627826875,15.288153312363505,0.0,0.3,2.0,0.00025220870156772435,-1.0
27,0.5880152319592113,15.876168544322717,0.0,0.3,2.0,0.0011423969408497214,-1.0
28,0.588015681075553,16.46418422539827,0.0,0.3,2.0,0.0011760806664824486,-1.0
29,0.588005860455567,17.052190085853837,0.0,0.3,2.0,0.0004395341675262898,-1.0
30,0.588001523590084,17.64019160944392,0.0,0.3,2.0,0.00011426925630075857,-1.0
31,0.5880194891604285,18.228211098604348,0.0,0.3,2.0,0.0014616870321333408,-1.0
32,0.588,18.81621109860435,0.0,0.3,2.0,0.0,-1.0
33,0.588000635402927,19.404211734007276,0.0,0.3,2.0,4.765521953231655e-05,-1.0
34,0.5880012324022827,19.99221296640956,0.0,0.3,2.0,9.243017120752484e-05,-1.0
35,0.58800257867175,20.58021554508131,0.0,0.3,2.0,0.00019340038124937564,-1.0
36,0.5880096319196746,21.168225177000984,0.0,0.3,2.0,0.0007223939755931497,-1.0
37,0.5880055913922067,21.75623076839319,0.0,0.3,2.0,0.0004193544154986739,-1.0
38,0.5880013366701508,22.34423210506334,0.0,0.3,2.0,0.00010025026131188497,-1.0
39,0.5880143834436312,22.932246488506973,0.0,0.3,2.0,0.0010787582723423839,-1.0
