Step,Reward,Accumulated reward,Throttle,Steer,deviation,velocity,Brake,Dist
44,0.8932024360959019,39.3040582604089,0.5254660248756409,-0.02585187926888466,-7.0,0.34924644231796265,-1.0,10.0
45,0.893246051129486,40.19730431153839,0.5253594517707825,-0.025812534615397453,-7.0,0.34924644231796265,-1.0,10.0
46,0.8951825274080039,41.09248683894639,0.525253176689148,-0.02471322938799858,-7.0,0.34924644231796265,-1.0,10.0
47,0.8951825274080039,41.987669366354396,0.525253176689148,-0.02471322938799858,-7.0,0.34924644231796265,-1.0,10.0
48,0.8951825274080039,42.8828518937624,0.525253176689148,-0.02471322938799858,-7.0,0.34924644231796265,-1.0,10.0
49,0.8951825274080039,43.7780344211704,0.525253176689148,-0.02471322938799858,-7.0,0.34924644231796265,-1.0,10.0
50,0.8951825274080039,44.67321694857841,0.525253176689148,-0.02471322938799858,-7.0,0.34924644231796265,-1.0,10.0
51,0.8951825274080039,45.56839947598641,0.525253176689148,-0.02471322938799858,-7.0,0.34924644231796265,-1.0,10.0
52,0.8951825274080039,46.463582003394414,0.525253176689148,-0.02471322938799858,-7.0,0.6968237161636353,-1.0,10.0
53,0.8952813456558756,47.35886334905029,0.5250222682952881,-0.024625563994050026,-7.0,0.7237679958343506,-1.0,10.0
54,0.9016433112259421,48.26050666027623,0.5248058438301086,-0.024392563849687576,-6.0,0.7775808572769165,-1.0,10.0
55,0.9012136971780231,49.16172035745425,0.5248862504959106,-0.024644404649734497,-6.0,0.8323281407356262,-1.0,10.0
56,0.902018222312842,50.06373857976709,0.5247234106063843,-0.024171072989702225,-6.0,0.8839792013168335,-1.0,10.0
57,0.9025766260325908,50.96631520579968,0.524762749671936,-0.02386387437582016,-6.0,0.8839792013168335,-1.0,10.0
58,0.9032873224137085,51.86960252821339,0.5247828960418701,-0.023468704894185066,-6.0,1.0099385976791382,-1.0,10.0
59,0.9033228000828197,52.77292532829621,0.5246986150741577,-0.02343703806400299,-6.0,1.0649064779281616,-1.0,10.0
60,0.9033382395484617,53.67626356784467,0.5246618390083313,-0.023423243314027786,-6.0,1.0825237035751343,-1.0,10.0
61,0.9033434115818568,54.57960697942653,0.5246500372886658,-0.023418694734573364,-6.0,1.1097337007522583,-1.0,10.0
62,0.9033510371180516,55.48295801654458,0.5246318578720093,-0.023411879315972328,-6.0,1.112376093864441,-1.0,10.0
63,0.9038097894553627,56.386767805999945,0.5245593190193176,-0.02314482256770134,-6.0,1.1445791721343994,-1.0,10.0
64,0.9054209229605538,57.2921887289605,0.5245858430862427,-0.02224630117416382,-6.0,1.1912102699279785,-1.0,10.0
65,0.9072041087320872,58.199392837692585,0.524425745010376,-0.021225303411483765,-6.0,1.213440179824829,-1.0,10.0
66,0.9074023109397718,59.10679514863236,0.5245329141616821,-0.021129313856363297,-6.0,1.238535761833191,-1.0,10.0
67,0.9089058484818253,60.01570099711418,0.5245444774627686,-0.020288951694965363,-6.0,1.277374505996704,-1.0,10.0
68,0.9089174724519252,60.924618469566106,0.5245184898376465,-0.020278804004192352,-6.0,1.288500189781189,-1.0,10.0
69,0.9153850009079489,61.84000347047405,0.5244399309158325,-0.02000598981976509,-5.0,1.322607159614563,-1.0,10.0
70,0.9169613763902869,62.75696484686434,0.5243976712226868,-0.01911730319261551,-5.0,1.3507381677627563,-1.0,10.0
71,0.9173111242055892,63.67427597106993,0.5243220329284668,-0.018910855054855347,-5.0,1.364820122718811,-1.0,10.0
72,0.917316441525306,64.59159241259523,0.5243126749992371,-0.018906567245721817,-5.0,1.3966078758239746,-1.0,10.0
73,0.9201924909651279,65.51178490356035,0.5242927670478821,-0.017293192446231842,-5.0,1.4173146486282349,-1.0,10.0
74,0.9266653684058359,66.43845027196619,0.524206280708313,-0.017016272991895676,-4.0,1.4697128534317017,-1.0,10.0
75,0.9283375328098025,67.366787804776,0.5241201519966125,-0.016067802906036377,-4.0,1.4826222658157349,-1.0,10.0
76,0.9285499903729983,68.295337795149,0.5241398811340332,-0.01595158874988556,-4.0,1.5119789838790894,-1.0,10.0
77,0.9294226505351918,69.22476044568418,0.524137556552887,-0.015462573617696762,-4.0,1.5345592498779297,-1.0,10.0
78,0.9293526906477553,70.15411313633194,0.5241875648498535,-0.015508752316236496,-4.0,1.5507302284240723,-1.0,10.0
79,0.9306232772724968,71.08473641360445,0.5239462852478027,-0.014763444662094116,-4.0,1.5670433044433594,-1.0,10.0
80,0.9318820241263934,72.01661843773084,0.5239124298095703,-0.01405380666255951,-4.0,1.5674835443496704,-1.0,10.0
81,0.9330703382470777,72.94968877597792,0.5238828659057617,-0.01338421180844307,-4.0,1.6010527610778809,-1.0,10.0
82,0.9334962996478591,73.88318507562578,0.5238714814186096,-0.013144079595804214,-4.0,1.6098864078521729,-1.0,10.0
83,0.9393493196495941,74.82253439527537,0.5238676071166992,-0.013225845992565155,-3.0,1.6253718137741089,-1.0,10.0
84,0.9433333127328327,75.7658677080082,0.5237188935279846,-0.010973989963531494,-3.0,1.6504148244857788,-1.0,10.0
85,0.9373416172031845,76.70320932521139,0.5237018465995789,-0.0109669528901577,-4.0,1.6605567932128906,-1.0,10.0
86,0.9425555961174624,77.64576492132885,0.5238432288169861,-0.01142691820859909,-3.0,1.6861190795898438,-1.0,10.0
87,0.9431757372106824,78.58894065853953,0.5237255096435547,-0.011063158512115479,-3.0,1.7178877592086792,-1.0,10.0
88,0.9443799394283976,79.53332059796793,0.5236744284629822,-0.010381653904914856,-3.0,1.7248015403747559,-1.0,10.0
89,0.9463410682146038,80.47966166618254,0.5235332250595093,-0.009263653308153152,-3.0,1.732115626335144,-1.0,10.0
90,0.9476748831272125,81.42733654930974,0.5235052108764648,-0.008512794971466064,-3.0,1.7728838920593262,-1.0,10.0
91,0.9487440717773777,82.37608062108713,0.5237164497375488,-0.007943622767925262,-3.0,1.7843376398086548,-1.0,10.0
92,0.9490564272574016,83.32513704834453,0.5237672328948975,-0.007775813341140747,-3.0,1.8257174491882324,-1.0,10.0
93,0.955072530356901,84.28020957870143,0.5237393379211426,-0.007762890309095383,-2.0,1.848215937614441,-1.0,10.0
94,0.9508479526234525,85.23105753132488,0.5236480236053467,-0.006755869835615158,-3.0,1.8755743503570557,-1.0,10.0
95,0.958369803160429,86.1894273344853,0.5234755277633667,-0.005879484117031097,-2.0,1.919438362121582,-1.0,10.0
96,0.9593874228830848,87.14881475736838,0.5234470963478088,-0.005305636674165726,-2.0,1.9318228960037231,-1.0,10.0
97,0.9610746723179306,88.10988942968632,0.5233318209648132,-0.0043446384370327,-2.0,1.9620459079742432,-1.0,10.0
98,0.9621756571190697,89.0720650868054,0.5233152508735657,-0.003725767135620117,-2.0,1.9773030281066895,-1.0,10.0
99,0.9621815127432346,90.03424659954862,0.5233048796653748,-0.0037210360169410706,-2.0,1.9924356937408447,-1.0,10.0
100,0.9609573924626622,90.99520399201128,0.5234493017196655,-0.0044267624616622925,-2.0,2.003217935562134,-1.0,10.0
101,0.963420082360506,91.95862407437178,0.5232270359992981,-0.003016538918018341,-2.0,2.021012783050537,-1.0,10.0
102,0.9634269709544522,92.92205104532624,0.5232149958610535,-0.0030109956860542297,-2.0,2.0328359603881836,-1.0,10.0
103,0.9634319325089454,93.88548297783518,0.5232070088386536,-0.0030070990324020386,-2.0,2.0436530113220215,-1.0,10.0
104,0.964204835783158,94.84968781361835,0.5232365131378174,-0.002578403800725937,-2.0,2.0536415576934814,-1.0,10.0
105,0.9648038523516484,95.81449166597,0.5232574939727783,-0.0022458918392658234,-2.0,2.0821609497070312,-1.0,10.0
