Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
1,32.3220633552086,111,False,11.0,1.0,3.747455135263286,5.3536656224714205,0,False
2,44.11762397249623,125,False,0.0,1.0,3.599563246838123,5.403542555034161,0,False
3,-19.792866225867485,89,False,-8.0,1.0,3.155886462580982,4.164984214590507,0,False
4,-15.280561923745175,69,False,-9.0,1.0,3.072872722816354,4.057246012424213,0,False
5,-15.27024736815411,73,False,2.0,1.0,3.118953517394693,3.8981507738465315,0,False
6,35.815668905140356,117,False,-1.0,1.0,nan,5.496751265504804,0,False
7,-7.060077282113859,126,False,-7.0,1.0,3.1050235655165794,4.604766364312834,0,False
8,48.340681594948805,133,False,9.0,1.0,3.3547968160165955,5.148390228643005,0,False
9,37.128053248546976,118,False,-5.0,1.0,3.379996769352097,5.390940985973861,0,False
10,-15.227598486129423,100,False,-8.0,1.0,3.0679563364835745,4.577140749581158,0,False
11,38.901519812566605,118,False,-5.0,1.0,3.4342181405047505,5.604564329798697,0,False
12,43.0097801539866,124,False,-1.0,1.0,3.259443125015687,5.318703742127024,0,False
13,45.820310654519005,124,False,10.0,1.0,3.712616925789915,5.57331552338456,0,False
14,-19.51292303094106,55,False,-5.0,1.0,3.515197222827545,4.291032757610083,0,False
15,24.342230162462442,103,False,2.0,1.0,3.6604088566313484,5.778595597419924,0,False
16,-20.583724377363204,54,False,-11.0,1.0,3.3480489903012876,3.8745218235309475,0,False
17,36.37685655625842,115,False,-8.0,1.0,nan,5.6355534971408225,0,False
18,42.982883873655084,125,False,3.0,1.0,3.2350762668862076,5.355059708416462,0,False
19,-22.1087664932189,59,False,-10.0,1.0,3.120301074064258,4.001623978869895,0,False
20,32.12794003488705,114,False,-2.0,1.0,3.3712992845111542,5.442582172848153,0,False
21,25.47929660520417,104,False,-13.0,1.0,3.3085847103860746,5.577952609916863,0,False
22,-22.41897959181776,55,False,-7.0,1.0,3.123240515732072,4.209624028205871,0,False
23,-21.63523242177338,58,False,-7.0,1.0,3.0878726592451557,3.9397463110628825,0,False
24,-18.079390600027736,59,False,-11.0,1.0,3.5320427601425526,4.0565347107664005,0,False
25,34.6772478907493,117,False,1.0,1.0,3.6595376690307364,5.477833478655826,0,False
26,-24.103368445073336,52,False,-9.0,1.0,3.264815442621244,4.023061901223487,0,False
27,35.39024466540512,118,False,4.0,1.0,3.278457005653847,5.506225236928311,0,False
28,-9.670315035311042,82,False,-11.0,1.0,3.1207209978810098,3.987448057614085,0,False
29,27.801024114921276,104,False,-18.0,1.0,nan,5.927961604096568,0,False
30,-23.892514809437934,56,False,-6.0,1.0,3.123188842918794,3.7871311956550926,0,False
