Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
37,-22.637327668809526,67,False,-16.0,1.0,3.096354657715468,3.9342151891940564,0,False
38,-20.104756667592845,79,False,-13.0,1.0,3.3223476109152266,3.9628388960904712,0,False
39,-28.417949777384006,54,False,-6.0,1.0,3.0794824316029272,3.8156159629148467,0,False
40,-23.915503653647967,86,False,-19.0,1.0,3.1878030653586173,4.407334300451154,0,False
41,-22.616346946881258,66,False,-2.0,1.0,3.1191096734630768,3.953530556494088,0,False
42,-27.140599628622624,73,False,-8.0,1.0,3.42408310050894,4.379039985829428,0,False
43,-16.16317596649766,75,False,-11.0,1.0,3.107164153947942,4.062949498246113,0,False
44,-24.53403369743338,57,False,-3.0,1.0,3.120863978735964,3.774118474047435,0,False
45,-29.30275075172348,59,False,-9.0,1.0,3.0796367006242504,3.907263018317142,0,False
46,-19.876741890348818,93,False,-4.0,1.0,3.221044035326257,4.437793091300033,0,False
47,-28.033283958985656,67,False,-4.0,1.0,3.0610601978238323,4.0320813013101695,0,False
48,-26.626461362105005,54,False,-7.0,1.0,3.044789923069258,3.764583821511931,0,False
49,-31.06569408423456,66,False,-7.0,1.0,3.354239625947178,4.020946805111387,0,False
50,-26.26459511822179,82,False,-4.0,1.0,3.142639865774182,4.320154225408304,0,False
51,-28.406658556258446,70,False,3.0,1.0,18.866161744555132,4.094638693139755,0,False
52,-28.147929738814042,72,False,3.0,1.0,3.1786520145084767,4.416995077393949,0,False
53,-22.009661615701148,56,False,-12.0,1.0,3.3259333741548134,3.844233170484326,0,False
54,-24.18957951425186,82,False,-5.0,1.0,3.095822891196887,4.239146901521741,0,False
55,-26.7648989213545,57,False,3.0,1.0,3.107847452611335,3.757399837600819,0,False
56,-20.64324377897111,60,False,2.0,1.0,3.040238102349711,3.934808756224811,0,False
57,-33.6999496070774,68,False,-4.0,1.0,3.2229485471778103,4.176484296920107,0,False
58,-29.28284619035998,65,False,3.0,1.0,3.369491105525239,4.110782091033,0,False
59,-29.36388961713131,77,False,0.0,1.0,3.102692556508475,4.122716771172626,0,False
60,-33.16516897304145,45,False,-6.0,1.0,3.1106837291158134,3.889675569285949,0,False
61,-34.24087116357772,49,False,-18.0,1.0,3.2489887628414396,3.81114206516317,0,False
62,-28.899147506541276,53,False,-3.0,1.0,3.1002561652609093,3.9214231644598945,0,False
63,-23.796626989011173,77,False,-7.0,1.0,3.264971674922627,4.1284140739348025,0,False
64,-21.837012713122213,86,False,2.0,1.0,3.0545660265009777,4.449463880036113,0,False
65,-23.9244889633015,65,False,-16.0,1.0,3.133272747806783,4.095714533214386,0,False
66,-24.826291334404814,80,False,2.0,1.0,3.0966462081867507,4.336360576329753,0,False
67,-30.08190598374071,68,False,-7.0,1.0,3.1094728742672064,4.17332890728379,0,False
68,-29.658575649196,55,False,-7.0,1.0,3.1031803923796026,3.78235526511615,0,False
69,-28.334627277416534,56,False,7.0,1.0,3.080317892228853,4.030620341222467,0,False
70,-32.565761761305595,45,False,-5.0,1.0,3.1034386356696757,3.8285577807161544,0,False
71,-29.416054514462235,70,False,-10.0,1.0,3.1425400004742685,4.562926054320165,0,False
72,-37.95584011040467,51,False,1.0,1.0,3.2295110786142347,4.171717808234925,0,False
73,-22.76626482460265,63,False,-9.0,1.0,3.044116005147034,3.7649515671507707,0,False
74,-22.476822457890087,58,False,-2.0,1.0,3.095517484065929,3.923472429529346,0,False
75,-23.959418573345168,83,False,-8.0,1.0,3.4037427503197044,4.595395024731217,0,False
76,-26.53604587531511,67,False,0.0,1.0,3.1018503012959866,4.1981192853357365,0,False
77,-30.921172628787726,53,False,-12.0,1.0,3.099896595875077,3.9085704124058194,0,False
78,-27.52807132318459,51,False,1.0,1.0,3.398194180854347,3.813414265858192,0,False
79,-23.188206244279854,60,False,-5.0,1.0,3.1850282015424662,4.027673191825548,0,False
80,-24.58404537018169,62,False,-17.0,1.0,3.119246055749095,3.814738703531123,0,False
81,-31.87105900093733,60,False,-12.0,1.0,3.0726582788156005,4.2182766622553265,0,False
82,-26.960590475586606,59,False,2.0,1.0,3.0446138323672485,3.902624227169712,0,False
83,-30.2170337000821,72,False,-10.0,1.0,3.259511637269987,4.282436819022728,0,False
84,-30.25844402918884,61,False,-6.0,1.0,3.1996669833961517,4.076282732860475,0,False
85,-26.703814287955858,56,False,-11.0,1.0,3.082969184957234,3.7121950110886246,0,False
86,-25.830872585201078,58,False,-8.0,1.0,3.097761303979494,4.078164520191735,0,False
87,-30.004800725724163,63,False,-6.0,1.0,3.1187866549065166,4.056958940057528,0,False
88,-31.026651938890183,79,False,-3.0,1.0,3.119294705513262,4.328785971844498,0,False
89,-15.777130787305545,106,False,-8.0,1.0,3.04344271865203,4.282448345162678,0,False
90,-27.48339955823362,52,False,-10.0,1.0,3.1925631190351114,3.7767978343539514,0,False
91,-23.118945165808285,58,False,-10.0,1.0,3.1784585328384978,3.8378264358395646,0,False
92,-31.28026063913831,55,False,-5.0,1.0,3.1204680322777367,3.85361133732579,0,False
93,-19.43037813251042,78,False,-12.0,1.0,3.0967893635923125,4.144402012467767,0,False
94,-20.41196745776554,98,False,-11.0,1.0,3.0709172917473007,4.654472348717403,0,False
95,-29.110901778527406,64,False,-15.0,1.0,3.390585576745394,3.9763818462379277,0,False
96,-25.40928695133298,65,False,-12.0,1.0,3.0732209301308604,4.004210684620417,0,False
97,-28.573224491979854,76,False,-6.0,1.0,3.0747971203062336,4.353955855691119,0,False
98,-20.83254920729972,74,False,-12.0,1.0,3.098230709330338,4.147375429804261,0,False
99,-31.068586681869142,66,False,8.0,1.0,3.472318989917457,4.246356506295728,0,False
100,-29.45181819763974,69,False,6.0,1.0,18.907474815710216,4.214432491826407,0,False
101,-23.768228431622674,59,False,-15.0,1.0,3.0948534624004793,3.805273897251335,0,False
102,-29.81999340903491,69,False,-1.0,1.0,3.4119150567518632,4.162044218322937,0,False
103,-23.790103861625617,67,False,-14.0,1.0,3.0960219671440186,4.0896529031834055,0,False
104,-25.2569142924643,52,False,-3.0,1.0,3.2357463628841643,3.5999081721529365,0,False
105,-29.507414532773677,70,False,-15.0,1.0,3.1801815108467917,4.1103605063898225,0,False
106,-27.42694251049631,82,False,-19.0,1.0,3.1132873520602242,4.4106691876744355,0,False
107,-28.801749524025134,66,False,-3.0,1.0,3.3547074386251197,4.294497821141373,0,False
108,-24.064511468876596,57,False,-5.0,1.0,3.1811121339927753,3.8094664459165775,0,False
109,-29.2261896538256,54,False,-10.0,1.0,3.1224266578115336,4.003993784732841,0,False
110,-28.470864743029015,50,False,-9.0,1.0,3.434120648921684,3.9929697082936766,0,False
111,-27.743528275377336,55,False,-11.0,1.0,3.187288877166911,3.8140685538676653,0,False
112,-19.96349536663204,70,False,-2.0,1.0,3.0766528418671895,3.9671419760079254,0,False
113,-31.815495393823753,57,False,-7.0,1.0,3.1776379822376777,3.75460218357151,0,False
114,-29.097615419219444,55,False,-17.0,1.0,3.2037060840220346,3.910284011201425,0,False
115,-24.265547842149175,55,False,-10.0,1.0,3.1555821948050977,3.7896581746637823,0,False
116,-22.407866925239503,77,False,-2.0,1.0,3.1007798883166497,4.116019424051046,0,False
117,-28.165602212964,72,False,-12.0,1.0,3.0997068442051527,4.233606817718181,0,False
118,-24.21909288526654,61,False,-7.0,1.0,3.1207895000593333,3.7710098131391847,0,False
119,-19.097597082153662,67,False,-6.0,1.0,3.0995362299287814,4.004411325136672,0,False
