Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
1,889.5581196059333,1342,True,-6.0,1.0,17.76503308926005,4.02409158515204,0,True
2,638.4469546895409,1138,True,1.0,1.0,10.192394712268845,4.7418557896732185,0,True
3,875.5220333349291,1341,True,-4.0,1.0,17.59780635107959,4.0247214029527125,0,True
4,747.827409173541,1188,True,-4.0,1.0,17.529712706973356,4.528188650130987,0,True
5,862.4087531373044,1337,True,-2.0,1.0,17.787942092075486,4.034766199060617,0,True
6,807.0718649203213,1246,True,-5.0,1.0,17.78267092231376,4.333689072764334,0,True
7,268.69049205932856,643,False,-20.0,1.0,3.1624368507901788,4.034073004536737,0,False
8,850.6611599962577,1308,True,-8.0,1.0,18.024900844034143,4.123720056462794,0,True
9,736.0767127876142,1185,True,6.0,1.0,17.751404511363386,4.551422584660446,0,True
10,299.8840186513367,692,False,-12.0,1.0,3.252628441562694,4.096380838795937,0,False
11,653.5690442456864,1057,True,12.0,1.0,17.737723006535266,5.099922423757605,0,True
12,745.4669988166062,1205,True,-12.0,1.0,18.38920462988646,4.476795653519665,0,True
13,811.0353155928042,1240,True,5.0,1.0,17.913130245043934,4.348616224357618,0,True
14,84.11346575026002,268,False,-2.0,1.0,3.097544619204476,4.085166872444271,0,False
15,840.1720160991038,1283,True,-1.0,1.0,17.735729448466792,4.2138508415130564,0,True
16,787.2465377573981,1242,True,3.0,1.0,17.61931518989285,4.3481798889700345,0,True
17,867.4467025821084,1332,True,3.0,1.0,17.946002102927864,4.054216274780476,0,True
18,875.643570185841,1346,True,9.0,1.0,17.29273427548751,4.007222559781507,0,True
19,943.934665984063,1385,True,1.0,1.0,17.50777088002438,3.895290177749194,0,True
20,901.1876103354883,1352,True,4.0,1.0,17.55091662807099,3.9886618616781337,0,True
21,800.1769837751216,1235,True,-2.0,1.0,17.737050312018635,4.357629038949086,0,True
22,762.3299977234134,1209,True,8.0,1.0,17.804636950282763,4.4646615186156176,0,True
23,767.7129390229225,1210,True,4.0,1.0,17.964977409398845,4.46847702964894,0,True
24,864.2220015822037,1310,True,2.0,1.0,17.749191358212297,4.113121271048822,0,True
25,893.3745085773189,1355,True,4.0,1.0,18.188368356880986,3.9839861304970023,0,True
26,816.3213620738574,1257,True,1.0,1.0,17.650390928462652,4.288180624922425,0,True
27,765.8470547897174,1196,True,-1.0,1.0,18.879102682574512,4.520100857106264,0,True
28,210.31791100447123,543,False,3.0,1.0,3.083995852292311,4.11964543807984,0,False
29,39.70894007455529,190,False,4.0,1.0,3.1222910861100943,4.034971245142974,0,False
30,-0.33224481550670504,102,False,-7.0,1.0,3.3028902645063853,3.795685031031277,0,False
31,278.48718197594366,692,False,-19.0,1.0,3.1007494057409963,4.18764726253431,0,False
32,16.356200321381706,127,False,-15.0,1.0,3.1007549405379238,3.909430402030391,0,False
33,95.44880323405292,321,False,2.0,1.0,3.1847451362781354,4.063373264865341,0,False
34,135.86806447405806,378,False,0.0,1.0,3.2140524830163684,4.0268229355237315,0,False
35,52.546905633055886,209,False,3.0,1.0,3.2021332238388243,4.07751680594205,0,False
36,106.56052989024525,314,False,-12.0,1.0,3.1848720027736337,4.094414437889673,0,False
37,230.14649751954636,621,False,-12.0,1.0,3.1421213259921346,4.574458160538124,0,False
