Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
1,-58.939766893920975,41,False,-141.0,1.0,nan,1.733693491304066,0,False
2,-56.408299250925225,121,False,-130.0,1.0,nan,0.886957155956217,0,False
3,-57.747781521830795,68,False,140.0,1.0,11.5177656623083,0.9120373662136605,0,False
4,-57.68543653804915,142,False,-184.0,1.0,3.0935527182474716,0.7609380022688231,0,False
5,-55.31332764136827,164,False,123.0,1.0,12.60970586000436,0.8228209436553099,0,False
6,-58.44401340627387,73,False,185.0,1.0,3.1078108754980316,1.0049781665008208,0,False
7,-55.64999436131936,163,False,120.0,1.0,13.245338806853432,0.8014413968212131,0,False
8,-54.02834214946912,196,False,52.0,1.0,3.094266296025146,0.737916871433726,0,False
9,-56.576780031790335,154,False,-143.0,1.0,nan,0.6962148927805292,0,False
10,-58.26428431478426,54,False,152.0,1.0,10.129642093233128,1.1540581063729607,0,False
11,-57.55208361956122,76,False,-154.0,1.0,14.406798866751224,0.9692560240234199,0,False
12,-53.047751735491055,341,False,176.0,1.0,4.898291468973756,1.1449921605098021,0,False
13,-57.09166365296713,114,False,-157.0,1.0,14.855539711464559,0.7750730447373108,0,False
14,-58.21274462841806,70,False,148.0,1.0,9.9176413871794,1.000688712862653,0,False
15,-57.42397071960072,56,False,189.0,1.0,3.0812345066548374,1.3773657350805113,0,False
16,-55.34570368641686,132,False,139.0,1.0,11.578274396304169,1.0513468072369057,0,False
17,-58.32928559658712,53,False,188.0,1.0,3.1174988374017247,1.2588766505766027,0,False
18,-57.18092046691477,80,False,-140.0,1.0,18.75594912834538,1.4690838971873745,0,False
19,-57.404858426415494,84,False,-147.0,1.0,13.160227760878431,1.7717600129766478,0,False
20,-59.00985357765641,32,False,-123.0,1.0,nan,2.186057072132826,0,False
21,-55.83683053048593,98,False,197.0,1.0,3.262617550670539,1.607033783736017,0,False
22,-58.34829422453472,42,False,-158.0,1.0,13.908136904405579,0.9594358555872792,0,False
23,-56.886564667925946,114,False,-147.0,1.0,16.71970302594882,1.0148598888333429,0,False
24,-57.10352165180374,67,False,145.0,1.0,10.600606719540076,1.2902128876312011,0,False
25,-53.079819109045324,232,False,187.0,1.0,3.7149675481807605,1.15134351418739,0,False
26,-53.430298286716145,209,False,166.0,1.0,8.627029160487174,0.9801637726305632,0,False
