Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
1,-27.271600030756673,78,False,-11.0,1.0,3.122421244808735,4.354769802007538,0,False
2,-24.225685255156712,70,False,-3.0,1.0,3.2771482260646305,3.9867168873016325,0,False
3,-16.250026221691584,104,False,-7.0,1.0,3.2647553632946456,4.488579105335073,0,False
4,-13.278626730876695,117,False,-8.0,1.0,3.0965538063238354,4.346814266955241,0,False
5,-21.471274380964893,82,False,-4.0,1.0,3.0759271841834814,4.240864863482917,0,False
6,-25.95557551421654,72,False,-8.0,1.0,3.1196680685342204,4.091683492581877,0,False
7,-28.69890066248601,52,False,-12.0,1.0,3.23012029472297,3.73027521214233,0,False
8,-21.060091926602965,97,False,-12.0,1.0,3.081410712788074,4.264264525653622,0,False
9,-24.634189776386457,84,False,0.0,1.0,3.11054316497402,4.199448387626381,0,False
10,-26.633676464230724,78,False,-4.0,1.0,3.0978371904040096,4.355555389076471,0,False
11,-18.59177498707554,80,False,-3.0,1.0,3.130232683917817,3.813244768185541,0,False
12,-17.828079587410485,92,False,-6.0,1.0,3.178651163258466,4.351287737731701,0,False
13,-18.136434782730028,64,False,-4.0,1.0,3.201729869900994,3.9099001371650957,0,False
14,-16.160501974689915,76,False,-6.0,1.0,3.11097453580426,3.964975802350397,0,False
15,-33.02014020005314,54,False,0.0,1.0,3.084747587981455,3.9010321946331747,0,False
16,-22.688799858835267,82,False,-11.0,1.0,3.1068709318375207,4.541116580611277,0,False
17,-19.996324111746617,76,False,-8.0,1.0,3.103064266815289,4.100459436224283,0,False
18,-19.854099464024287,76,False,-12.0,1.0,3.1071648858112018,3.9998531404294466,0,False
19,-29.12727239385991,62,False,-1.0,1.0,3.1030715350133353,4.179403600102711,0,False
20,-24.995051224484428,80,False,-12.0,1.0,3.2066878240318584,4.198441168572754,0,False
21,-25.974800810018195,79,False,-15.0,1.0,3.0719006453426534,4.461105737174991,0,False
22,-23.692445917651185,59,False,-11.0,1.0,3.098677946508028,3.748306221376031,0,False
23,-16.615807260165077,107,False,-10.0,1.0,3.0963961599843195,4.260970466152251,0,False
24,-13.79612917888744,74,False,-11.0,1.0,3.2151703510526546,3.8273325211091622,0,False
25,-22.41896909237557,73,False,-4.0,1.0,3.108164429701434,4.143195572730205,0,False
26,-29.428105125727882,55,False,-6.0,1.0,3.0766427429713175,3.83715024265376,0,False
