Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser
0,10.820176515006168,1024,False,45.0,1.0,3.162528326478593,1.0541777525249074,0
0,-40.17539771285229,234,False,128.0,1.0,12.508822607637304,1.1235945764411033,0
0,-39.71340284051283,240,False,133.0,1.0,12.669971420873088,1.030589668717021,0
0,-47.84180902146016,143,False,137.0,1.0,11.955778371669274,1.1666097587557471,0
0,-41.655115714922545,238,False,24.0,1.0,3.1381589862008132,1.3455850061707484,0
0,-41.38560367348577,221,False,200.0,1.0,3.0651954957507495,1.6001263718623058,0
0,-26.017983469726794,461,False,59.0,1.0,3.6405703513044902,2.253441556169799,0
0,-41.86478904883208,177,False,150.0,1.0,10.368015915419038,1.210020749727521,0
0,-38.142688742705744,237,False,142.0,1.0,11.561482333482052,1.4025301628850937,0
0,-41.69735707784905,180,False,140.0,1.0,10.958412509684438,1.3635508378928742,0
0,-0.7046126061796798,1132,False,54.0,1.0,3.365896502619231,1.2052157397518228,0
0,-20.236794199033838,570,False,46.0,1.0,3.548025490271284,1.2978581713228012,0
0,-31.248820785408213,321,False,-112.0,1.0,15.210482114389453,1.1992775254302444,0
0,-36.455966312230345,329,False,-122.0,1.0,13.784090337245262,1.4298663116373793,0
0,-45.860772190313966,202,False,-184.0,1.0,3.2823725739733214,1.0392986036200131,0
0,-52.12621929992097,84,False,-184.0,1.0,3.1464120046576425,2.378563461335274,0
0,-23.25466109521974,418,False,-174.0,1.0,3.1386260915790385,0.9652039854930123,0
0,-15.756290790159838,446,False,-190.0,1.0,3.2156525810949117,1.0329927642472723,0
0,-18.576758251311574,530,False,-181.0,1.0,3.1455627213599073,1.2065172073798027,0
0,-47.652726975106056,141,False,-184.0,1.0,3.098481538906695,1.5290314328818786,0
0,-1.9645850152863318,686,False,-89.0,1.0,3.087271643882839,1.488402137490857,0
0,-48.12514457468049,165,False,131.0,1.0,14.782313372098367,1.3853058570415229,0
0,-36.74485262276799,272,False,-188.0,1.0,3.1524047006281903,2.0038199931512763,0
0,-51.50363332781763,160,False,127.0,1.0,13.188988138335285,1.2414643440247346,0
0,-38.2889871120006,359,False,-183.0,1.0,3.1298972288927454,1.2948033821951026,0
0,-31.434813588529817,292,False,-182.0,1.0,3.163225627905417,1.034925359789705,0
0,-23.530123656403482,400,False,148.0,1.0,10.569272530498498,1.7161873098675187,0
0,-47.5357444131275,147,False,131.0,1.0,12.55153632517284,1.6688678068308624,0
0,-40.759868998107464,216,False,133.0,1.0,12.036552491562608,1.1531638326861648,0
0,-52.311753042596436,95,False,-192.0,1.0,3.0815636239586612,1.640770843947451,0
0,-53.00254772424414,63,False,151.0,1.0,10.21418379829723,1.4239300284976393,0
0,-39.93358727834125,250,False,82.0,1.0,3.146552133662698,2.3422848850356357,0
0,-36.82861434254015,237,False,-180.0,1.0,3.1321475587129544,1.7345902486574003,0
0,-30.14632001848447,478,False,-180.0,1.0,3.140944227073152,1.450553729884105,0
0,-29.01509933884407,398,False,-129.0,1.0,13.406972679439495,1.8500628172348377,0
0,-50.159028874802445,168,False,131.0,1.0,12.63235802777713,1.2354579568511672,0
0,-32.37233474906581,368,False,52.0,1.0,3.1369674180544522,1.723292692488228,0
0,-52.879463136227,114,False,-176.0,1.0,3.193737561868782,2.1005367573369744,0
0,-10.57025377696533,787,False,194.0,1.0,3.0343109723203323,1.5010709530548731,0
0,-50.86893395625409,120,False,140.0,1.0,10.943302481617499,1.0084025479067955,0
0,-48.04932740910989,183,False,130.0,1.0,12.809267647295677,0.9518308509036764,0
0,-50.56823513025897,137,False,135.0,1.0,11.828141144926745,1.2229793823914628,0
0,-38.660918224646935,218,False,150.0,1.0,10.333549392870092,2.002391913965082,0
0,-45.935079350401956,198,False,129.0,1.0,12.84322504010703,1.011291282628541,0
0,-44.410941540366125,221,False,132.0,1.0,11.6571471405108,1.3715380849343528,0
0,-52.79867645810615,80,False,132.0,1.0,12.686330739589296,1.7356566699441829,0
0,-50.67884077824297,122,False,130.0,1.0,12.96354342339511,1.3337150881913553,0
0,-44.05751652091742,135,False,149.0,1.0,10.64555261444774,1.372284135538525,0
0,-46.22510873627521,216,False,126.0,1.0,13.578709317652907,1.1725640123749683,0
0,-50.34030860281275,124,False,129.0,1.0,13.02645238700531,1.2813126581930727,0
0,-42.62363700888413,337,False,214.0,1.0,3.489272235001586,1.9816762628922417,0
