Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
1,-16.278035606991175,118,False,5.0,1.0,3.045796809561331,5.575357777934711,0,False
2,-23.68254588046411,60,False,-5.0,1.0,3.0855922171994137,3.8349755528693397,0,False
3,-18.057258544988436,110,False,6.0,1.0,3.1072330518358062,5.238720423440364,0,False
4,-16.259148266908916,72,False,-5.0,1.0,3.0994231494260283,3.747071561325962,0,False
5,-26.56054506140631,55,False,-3.0,1.0,3.2051065655741504,3.9648065767674283,0,False
6,-21.995219571862904,64,False,-14.0,1.0,3.104313993202098,3.934922655695118,0,False
7,-21.084840604212296,73,False,-11.0,1.0,3.094780926616272,4.062815863613601,0,False
8,20.75747618749527,139,False,-5.0,1.0,3.2707101329259953,4.673816175474752,0,False
9,45.84532245575488,210,False,-8.0,1.0,3.0967541728656256,5.984191150673931,0,False
10,78.876689028632,213,False,-12.0,1.0,3.4831363056237667,5.481423156637646,0,False
11,-16.679486282904563,66,False,-8.0,1.0,3.0782599954446592,3.8106148733164775,0,False
12,1.2314375227792809,179,False,-4.0,1.0,3.0775117139945514,5.350508646300718,0,False
13,-4.606328603706459,122,False,-4.0,1.0,3.098967949105607,4.900171948993792,0,False
14,-17.61754240283669,63,False,4.0,1.0,3.1934461104695306,3.9402591134938927,0,False
15,3.390748519291236,115,False,6.0,1.0,3.4264158447308826,4.528503508153169,0,False
16,-18.600606903920948,79,False,-10.0,1.0,3.119395405803852,4.154672997237384,0,False
17,-17.63094702208017,78,False,-9.0,1.0,3.0803934163907187,4.141323700045737,0,False
18,6.361358155159465,158,False,1.0,1.0,3.227159310405314,5.338689174432354,0,False
19,35.144731538454835,175,False,7.0,1.0,3.150176321648691,5.56423131732004,0,False
20,-23.21332782796447,92,False,-5.0,1.0,3.166551524823153,5.0088987962302305,0,False
21,4.718819096529572,117,False,-11.0,1.0,3.0715743805727764,4.4177938842843485,0,False
22,28.702186730128446,202,False,-4.0,1.0,3.121199583065469,5.720599735423111,0,False
23,75.18435843752039,422,False,-10.0,1.0,3.0838049168816113,6.207403397387317,0,False
24,72.72018178441772,227,False,-3.0,1.0,3.1231783599180862,5.648829775398786,0,False
25,46.50669941636612,218,False,2.0,1.0,3.0849521660786654,5.851089641990123,0,False
26,50.05656824449909,276,False,-1.0,1.0,3.3192137011517713,6.004206159449034,0,False
27,86.31984817535772,416,False,-9.0,1.0,3.1332260921768955,5.750993186661687,0,False
28,-15.382677681755553,68,False,-6.0,1.0,3.05795235893028,3.8023879807442427,0,False
29,-26.227463190691267,52,False,-10.0,1.0,3.16460763193584,3.689578317463971,0,False
30,10.260486037998817,133,False,-19.0,1.0,3.098693742047843,4.528073300264384,0,False
31,97.57298147912837,412,False,-1.0,1.0,3.070115243914709,5.850450763625242,0,False
32,22.96644975006882,200,False,-13.0,1.0,3.087416700463449,4.838935966249555,0,False
33,56.9465522744719,202,False,-8.0,1.0,3.16033008565646,5.786154802446023,0,False
34,49.59534122188619,342,False,11.0,1.0,3.0965232507633678,6.1134861087786,0,False
35,53.71796663343622,220,False,-1.0,1.0,3.1044304508198652,4.306536378468048,0,False
36,42.37731231983906,210,False,2.0,1.0,3.146666301776899,4.326084691552179,0,False
37,58.99811049215967,256,False,-1.0,1.0,3.392371141250033,5.402236731093581,0,False
38,19.778652810473673,129,False,-6.0,1.0,3.2237222636207963,4.0086734199882015,0,False
39,46.91379881591625,203,False,-2.0,1.0,3.1219422326658983,4.313288657609465,0,False
40,64.48325261242655,236,False,-12.0,1.0,3.2919014499866015,4.77773542028173,0,False
41,63.935670420262156,230,False,-5.0,1.0,3.048697607614085,4.460241957154611,0,False
42,6.252375975001073,119,False,-5.0,1.0,3.0814905248699764,4.060057180487559,0,False
43,30.023383968186195,171,False,-6.0,1.0,3.0984846970629376,4.411130636995821,0,False
44,81.75110165282072,327,False,7.0,1.0,3.0906249968329385,6.195906260408267,0,False
45,7.981255551349221,127,False,-4.0,1.0,3.088023055230222,4.177842790627573,0,False
46,11.920334974218932,127,False,-16.0,1.0,3.1037610151314183,4.365870900921465,0,False
47,42.13249188609909,166,False,4.0,1.0,3.405014502260286,5.159631184964295,0,False
48,22.126441304588013,235,False,-9.0,1.0,3.3180817540303806,5.780160171774394,0,False
49,47.76546131840925,189,False,-6.0,1.0,3.099926570966971,5.065427599721169,0,False
50,73.99332422639083,275,False,-18.0,1.0,3.121177132911853,4.961551035984673,0,False
51,46.84485473314382,197,False,-20.0,1.0,3.094850926781515,4.206740920843207,0,False
52,28.069075300633514,154,False,-14.0,1.0,3.095417026895943,4.954733831058075,0,False
53,-11.475884771744028,86,False,-13.0,1.0,3.0960276713450146,4.129850533162785,0,False
54,11.85824636780275,115,False,-13.0,1.0,3.0963846306885148,4.190593089098516,0,False
55,113.57163022728199,274,False,-9.0,1.0,3.1057975200636183,5.491269243459632,0,False
56,-18.769480343294546,58,False,-11.0,1.0,3.144388321441303,3.9262559385649087,0,False
57,10.650337989398963,124,False,-9.0,1.0,3.108771446845274,4.746260242596749,0,False
58,8.877817736666998,105,False,-4.0,1.0,19.407522246940953,4.070219091787225,0,False
59,77.32802924437348,232,False,-10.0,1.0,3.292743344591947,4.675348448952468,0,False
60,-14.326875000165813,89,False,-16.0,1.0,3.1063698518574796,4.257154705400548,0,False
61,-1.84823610990955,156,False,-13.0,1.0,3.2905565534011183,5.546407459864918,0,False
62,39.39845671566444,250,False,10.0,1.0,3.0843337702316287,5.092617517158389,0,False
63,-24.919119708904574,59,False,-5.0,1.0,3.097318412847654,3.6872589276566847,0,False
64,3.620537430773446,113,False,-11.0,1.0,3.0400685427715244,4.061368961497086,0,False
65,51.90402470126486,219,False,-5.0,1.0,3.0962720029454576,4.307618180260096,0,False
66,28.013766893295895,197,False,-18.0,1.0,3.078398495214457,5.8114588958433435,0,False
67,38.495993198232185,224,False,7.0,1.0,3.0689393033051546,6.279108866517033,0,False
68,7.035583538681934,185,False,-13.0,1.0,3.0980324795720917,5.62793032232974,0,False
69,-17.412955411876098,82,False,-24.0,1.0,3.105507418853953,4.240868979201811,0,False
70,24.080410562049266,195,False,-14.0,1.0,3.0581821380101712,5.6890299754647105,0,False
71,13.545622677171195,128,False,2.0,1.0,3.210399501054686,4.815583475341555,0,False
72,-7.384234324877255,156,False,-5.0,1.0,3.076150889884918,5.723976712984343,0,False
73,-20.189376311312408,62,False,-14.0,1.0,3.0873001930839554,3.8601240221591246,0,False
74,-16.68162996477816,61,False,-6.0,1.0,3.0680856605556275,3.606022642955917,0,False
75,12.742923552252876,107,False,-11.0,1.0,3.1527817618184217,4.083258107722362,0,False
76,-25.033148020938626,56,False,-5.0,1.0,3.16416853133752,3.731161102685811,0,False
77,-12.798260199661598,138,False,-4.0,1.0,3.204403465136218,5.349074907141967,0,False
78,-15.709711625258421,69,False,4.0,1.0,3.0946604168782867,3.768876315749156,0,False
79,4.372839258820747,159,False,-18.0,1.0,3.148610512799187,5.366908212151355,0,False
80,45.73760546753644,279,False,-2.0,1.0,3.093417210019716,5.940819642489849,0,False
81,12.528413161146673,177,False,-13.0,1.0,3.0785954457558224,6.067583102648709,0,False
