Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.8901868748288779,0.8901868748288779,0.0,0.4725417196750641,-0.04463856294751167,3.0,nan,19.5,19.5,19.5
2,0.8896508211656694,1.7798376959945474,0.0017616844270378351,0.47289109230041504,-0.04524757340550423,3.0,nan,19.5,19.5,19.5
3,0.8904887624205577,2.670326458415105,4.519463254837319e-05,0.47285863757133484,-0.0444553978741169,3.0,nan,19.5,19.5,19.5
4,0.8903008949664376,3.560627353381543,2.938285979325883e-05,0.473012238740921,-0.04467852786183357,3.0,nan,19.5,19.5,19.5
5,0.8903700441597473,4.45099739754129,2.938285979325883e-05,0.4725720286369324,-0.044477034360170364,3.0,nan,19.5,19.5,19.5
6,0.8902756140821037,5.341273011623393,0.0003127956297248602,0.4729488492012024,-0.04468240216374397,3.0,nan,19.5,19.5,19.5
7,0.8938236990620693,6.235096710685462,0.0011395263718441129,0.47439226508140564,-0.041819918900728226,3.0,nan,19.5,19.5,19.5
8,0.8903504973841565,7.125447208069619,0.00013699530973099172,0.4728181064128876,-0.04457183554768562,3.0,nan,19.5,19.5,19.5
9,0.889669136821514,8.015116344891133,0.0002607536152936518,0.4727615416049957,-0.045190174132585526,3.0,nan,19.5,19.5,19.5
10,0.8893231893345003,8.904439534225634,0.4607533812522888,0.4729696810245514,-0.04557781293988228,3.0,nan,19.5,19.5,19.5
11,0.8912797387632586,9.795719272988894,0.843229353427887,0.47281700372695923,-0.04370420053601265,3.0,nan,19.5,19.5,19.5
12,0.8849896649029992,10.680708937891893,0.9727541208267212,0.47331228852272034,-0.043662358075380325,4.0,nan,19.5,19.5,19.5
13,0.8962991785910867,11.577008116482979,1.079339623451233,0.47471266984939575,-0.0396091528236866,3.0,nan,19.5,19.5,19.5
14,0.8864806417418378,12.463488758224816,1.332781195640564,0.47292476892471313,-0.04215021803975105,4.0,nan,19.5,19.5,19.5
15,0.8911124406336319,13.354601198858449,1.3882029056549072,0.4745400547981262,-0.03832973912358284,4.0,nan,19.5,19.5,19.5
16,0.8927936208610023,14.247394819719451,1.5078898668289185,0.47452667355537415,-0.036756474524736404,4.0,nan,19.5,19.5,19.5
17,0.8872008007161675,15.134595620435618,1.6383090019226074,0.47388797998428345,-0.03571106866002083,5.0,nan,19.5,19.5,19.5
18,0.8904387357653607,16.02503435620098,1.7464110851287842,0.4742474853992462,-0.03280084207653999,5.0,nan,19.5,19.5,19.5
19,0.8851744280393634,16.910208784240343,1.8546065092086792,0.4739496409893036,-0.03155486658215523,6.0,nan,19.5,19.5,19.5
20,0.8884631327639024,17.798671917004246,1.9447736740112305,0.47412052750587463,-0.028538573533296585,6.0,nan,19.5,19.5,19.5
21,0.8860576227016392,18.684729539705884,2.0730369091033936,0.47514891624450684,-0.03110365942120552,6.0,nan,19.5,19.5,19.5
22,0.8784844183659271,19.563213958071813,2.1441547870635986,0.4670187532901764,-0.029575932770967484,7.0,nan,19.5,19.5,19.5
23,0.8849865116696983,20.44820046974151,2.205124855041504,0.4745238721370697,-0.02584223821759224,7.0,nan,19.5,19.5,19.5
24,0.8886177089405911,21.3368181786821,2.288604259490967,0.4732101559638977,-0.022044409066438675,7.0,nan,19.5,19.5,19.5
25,0.8861325315939529,22.222950710276056,2.351311206817627,0.46844181418418884,-0.022880423814058304,7.0,nan,19.5,19.5,19.5
26,0.8840754490430867,23.107026159319144,2.3888893127441406,0.47330743074417114,-0.0202474482357502,8.0,nan,19.5,19.5,19.5
27,0.8932920761924416,24.000318235511585,2.4444591999053955,0.47492584586143494,-0.01821543648838997,7.0,nan,19.5,19.5,19.5
28,0.8851040527841876,24.88542228829577,2.5324547290802,0.4743209481239319,-0.019602734595537186,8.0,nan,19.5,19.5,19.5
29,0.8873590320256496,25.77278132032142,2.584585428237915,0.4761999547481537,-0.018082667142152786,8.0,nan,19.5,19.5,19.5
30,0.8862395397162155,26.659020860037636,2.6779379844665527,0.47360581159591675,-0.018320459872484207,8.0,nan,19.5,19.5,19.5
31,0.8871859607150159,27.54620682075265,2.7559125423431396,0.47380271553993225,-0.01749839261174202,8.0,nan,19.5,19.5,19.5
